ACBK1g00001,Mpyg-1-004012
ACBK1g00103,.
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Mpyg-1-003922
ACBK1g00107,Mpyg-1-003921
ACBK1g00108,Mpyg-1-003920
ACBK1g00109,Mpyg-1-003918
ACBK1g00110,Mpyg-1-003917
ACBK1g00111,Mpyg-1-003916
ACBK1g00112,Mpyg-1-003915
ACBK1g00113,Mpyg-1-003913
ACBK1g00114,.
ACBK1g00115,Mpyg-1-003912
ACBK1g00116,Mpyg-1-003911
ACBK1g00117,Mpyg-1-003910
ACBK1g00118,Mpyg-1-003909
ACBK1g00119,Mpyg-1-003908
ACBK1g00120,Mpyg-1-003907
ACBK1g00121,.
ACBK1g00122,.
ACBK1g00123,Mpyg-1-003906
ACBK1g00124,Mpyg-1-003905
ACBK1g00125,Mpyg-1-003904
ACBK1g00126,.
ACBK1g00127,Mpyg-1-003903
ACBK1g00128,.
ACBK1g00129,.
ACBK1g00130,Mpyg-1-003902
ACBK1g00131,Mpyg-1-003901
ACBK1g00132,Mpyg-1-003900
ACBK1g00133,.
ACBK1g00134,Mpyg-1-003898
ACBK1g00135,.
ACBK1g00136,Mpyg-1-003897
ACBK1g00137,Mpyg-1-003895
ACBK1g00138,Mpyg-1-003894
ACBK1g00139,Mpyg-1-003893
ACBK1g00140,.
ACBK1g00141,Mpyg-1-003892
ACBK1g00142,.
ACBK1g00143,Mpyg-1-003890
ACBK1g00144,Mpyg-1-003889
ACBK1g00145,.
ACBK1g00146,.
ACBK1g00147,Mpyg-1-003887
ACBK1g00148,.
ACBK1g00149,Mpyg-1-003886
ACBK1g00150,Mpyg-1-003885
ACBK1g00151,Mpyg-1-003884
ACBK1g00152,Mpyg-1-003883
ACBK1g00153,.
ACBK1g00154,.
ACBK1g00155,.
ACBK1g00156,Mpyg-1-003882
ACBK1g00157,.
ACBK1g00158,.
ACBK1g00159,Mpyg-1-003881
ACBK1g00160,Mpyg-1-003880
ACBK1g00161,.
ACBK1g00162,Mpyg-1-003879
ACBK1g00163,Mpyg-1-003878
ACBK1g00164,Mpyg-1-003877
ACBK1g00165,Mpyg-1-003876
ACBK1g00166,.
ACBK1g00167,Mpyg-1-003875
ACBK1g00168,Mpyg-1-003874
ACBK1g00169,.
ACBK1g00170,.
ACBK1g00171,Mpyg-1-003872
ACBK1g00172,Mpyg-1-003871
ACBK1g00173,.
ACBK1g00174,Mpyg-1-003870
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,Mpyg-1-003869
ACBK1g00178,Mpyg-1-003868
ACBK1g00179,.
ACBK1g00180,Mpyg-1-003867
ACBK1g00181,Mpyg-1-003866
ACBK1g00182,Mpyg-1-003865
ACBK1g00183,Mpyg-1-003864
ACBK1g00184,Mpyg-1-003863
ACBK1g00185,.
ACBK1g00186,Mpyg-1-003862
ACBK1g00187,Mpyg-1-003861
ACBK1g00188,.
ACBK1g00189,.
ACBK1g00190,Mpyg-1-003860
ACBK1g00191,.
ACBK1g00192,Mpyg-1-003859
ACBK1g00193,Mpyg-1-003858
ACBK1g00194,.
ACBK1g00195,Mpyg-1-003856
ACBK1g00196,.
ACBK1g00197,Mpyg-1-003854
ACBK1g00198,Mpyg-1-003853
ACBK1g00199,Mpyg-1-003852
ACBK1g00200,Mpyg-1-003851
ACBK1g00201,.
ACBK1g00202,Mpyg-1-003850
ACBK1g00203,Mpyg-1-003849
ACBK1g00204,Mpyg-1-003848
ACBK1g00205,.
ACBK1g00206,Mpyg-1-003847
ACBK1g00207,.
ACBK1g00208,Mpyg-1-003846
ACBK1g00209,Mpyg-1-003845
ACBK1g00210,Mpyg-1-003844
ACBK1g00211,Mpyg-1-003843
ACBK1g00212,.
ACBK1g00213,Mpyg-1-003841
ACBK1g00214,Mpyg-1-003840
ACBK1g00215,.
ACBK1g00216,Mpyg-1-003839
ACBK1g00217,.
ACBK1g00218,Mpyg-1-003838
ACBK1g00219,Mpyg-1-003837
ACBK1g00220,Mpyg-1-003836
ACBK1g00221,Mpyg-1-003835
ACBK1g00222,.
ACBK1g00223,Mpyg-1-003834
ACBK1g00224,Mpyg-1-003832
ACBK1g00225,.
ACBK1g00226,Mpyg-1-003830
ACBK1g00227,.
ACBK1g00228,.
ACBK1g00229,Mpyg-1-003829
ACBK1g00230,Mpyg-1-003828
ACBK1g00231,Mpyg-1-003827
ACBK1g00232,Mpyg-1-003826
ACBK1g00233,Mpyg-1-003823
ACBK1g00234,.
ACBK1g00235,Mpyg-1-003822
ACBK1g00236,.
ACBK1g00237,Mpyg-1-003820
ACBK1g00238,Mpyg-1-003818
ACBK1g00239,Mpyg-1-003817
ACBK1g00240,Mpyg-1-003816
ACBK1g00241,Mpyg-1-003815
ACBK1g00242,Mpyg-1-003814
ACBK1g00243,Mpyg-1-003813
ACBK1g00244,.
ACBK1g00245,.
ACBK1g00246,.
ACBK1g00247,.
ACBK1g00248,Mpyg-1-003811
ACBK1g00249,.
ACBK1g00250,Mpyg-1-003810
ACBK1g00251,Mpyg-1-003809
ACBK1g00252,Mpyg-1-003808
ACBK1g00253,.
ACBK1g00254,.
ACBK1g00255,.
ACBK1g00256,Mpyg-1-003804
ACBK1g00257,Mpyg-1-003803
ACBK1g00258,Mpyg-1-003802
ACBK1g00259,.
ACBK1g00260,Mpyg-1-003801
ACBK1g00261,.
ACBK1g00262,Mpyg-1-003800
ACBK1g00263,Mpyg-1-003799
ACBK1g00264,Mpyg-1-003798
ACBK1g00265,Mpyg-1-003797
ACBK1g00266,Mpyg-1-003796
ACBK1g00267,Mpyg-1-003795
ACBK1g00268,Mpyg-1-003794
ACBK1g00269,Mpyg-1-003792
ACBK1g00270,Mpyg-1-003791
ACBK1g00271,Mpyg-1-003790
ACBK1g00272,.
ACBK1g00273,.
ACBK1g00274,Mpyg-1-003789
ACBK1g00275,Mpyg-1-003788
ACBK1g00276,Mpyg-1-003787
ACBK1g00277,Mpyg-1-003785
ACBK1g00278,Mpyg-1-003784
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Mpyg-1-003783
ACBK1g00282,Mpyg-1-003782
ACBK1g00283,Mpyg-1-003781
ACBK1g00284,Mpyg-1-003780
ACBK1g00285,Mpyg-1-003779
ACBK1g00286,Mpyg-1-003778
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,Mpyg-1-003777
ACBK1g00290,Mpyg-1-003776
ACBK1g00291,Mpyg-1-003775
ACBK1g00292,Mpyg-1-003774
ACBK1g00293,Mpyg-1-003773
ACBK1g00294,Mpyg-1-003771
ACBK1g00295,.
ACBK1g00296,Mpyg-1-003770
ACBK1g00297,.
ACBK1g00298,Mpyg-1-003769
ACBK1g00299,Mpyg-1-003768
ACBK1g00300,Mpyg-1-003766
ACBK1g00301,Mpyg-1-003765
ACBK1g00302,.
ACBK1g00303,Mpyg-1-003764
ACBK1g00304,Mpyg-1-003763
ACBK1g00305,.
ACBK1g00306,.
ACBK1g00307,Mpyg-1-003762
ACBK1g00308,Mpyg-1-003761
ACBK1g00309,.
ACBK1g00310,Mpyg-1-003760
ACBK1g00311,.
ACBK1g00312,Mpyg-1-003759
ACBK1g00313,.
ACBK1g00314,Mpyg-1-003758
ACBK1g00315,Mpyg-1-003757
ACBK1g00316,Mpyg-1-003756
ACBK1g00317,Mpyg-1-003755
ACBK1g00318,Mpyg-1-003754
ACBK1g00319,Mpyg-1-003753
ACBK1g00320,Mpyg-1-003752
ACBK1g00321,.
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,Mpyg-1-003751
ACBK1g00327,Mpyg-1-003748
ACBK1g00328,Mpyg-1-003747
ACBK1g00329,Mpyg-1-003746
ACBK1g00330,Mpyg-1-003745
ACBK1g00331,.
ACBK1g00332,Mpyg-1-003744
ACBK1g00333,Mpyg-1-003743
ACBK1g00334,Mpyg-1-003742
ACBK1g00335,Mpyg-1-003741
ACBK1g00336,Mpyg-1-003740
ACBK1g00337,.
ACBK1g00338,Mpyg-1-003739
ACBK1g00339,.
ACBK1g00340,Mpyg-1-003738
ACBK1g00341,Mpyg-1-003737
ACBK1g00342,Mpyg-1-003734
ACBK1g00343,Mpyg-1-003733
ACBK1g00344,Mpyg-1-003731
ACBK1g00345,Mpyg-1-003730
ACBK1g00346,.
ACBK1g00347,Mpyg-1-003728
ACBK1g00348,Mpyg-1-003727
ACBK1g00349,Mpyg-1-003726
ACBK1g00350,Mpyg-1-003725
ACBK1g00351,Mpyg-1-003724
ACBK1g00352,Mpyg-1-003723
ACBK1g00353,Mpyg-1-003722
ACBK1g00354,Mpyg-1-003720
ACBK1g00355,.
ACBK1g00356,Mpyg-1-003719
ACBK1g00357,Mpyg-1-003718
ACBK1g00358,Mpyg-1-003717
ACBK1g00359,.
ACBK1g00360,Mpyg-1-003716
ACBK1g00361,Mpyg-1-003715
ACBK1g00362,Mpyg-1-003714
ACBK1g00363,Mpyg-1-003713
ACBK1g00364,Mpyg-1-003712
ACBK1g00365,Mpyg-1-003711
ACBK1g00366,.
ACBK1g00367,Mpyg-1-003710
ACBK1g00368,Mpyg-1-003709
ACBK1g00369,.
ACBK1g00370,Mpyg-1-003708
ACBK1g00371,.
ACBK1g00372,Mpyg-1-003706
ACBK1g00373,Mpyg-1-003705
ACBK1g00374,Mpyg-1-003704
ACBK1g00375,Mpyg-1-003703
ACBK1g00376,.
ACBK1g00377,.
ACBK1g00378,Mpyg-1-003702
ACBK1g00379,.
ACBK1g00380,.
ACBK1g00381,Mpyg-1-003700
ACBK1g00382,Mpyg-1-003699
ACBK1g00383,Mpyg-1-003698
ACBK1g00384,Mpyg-1-003697
ACBK1g00385,Mpyg-1-003696
ACBK1g00386,Mpyg-1-003695
ACBK1g00387,Mpyg-1-003694
ACBK1g00388,Mpyg-1-003693
ACBK1g00389,Mpyg-1-003692
ACBK1g00390,.
ACBK1g00391,Mpyg-1-003691
ACBK1g00392,Mpyg-1-003690
ACBK1g00393,.
ACBK1g00394,Mpyg-1-003687
ACBK1g00395,Mpyg-1-003685
ACBK1g00396,Mpyg-1-003684
ACBK1g00397,Mpyg-1-003683
ACBK1g00398,Mpyg-1-003681
ACBK1g00399,.
ACBK1g00400,.
ACBK1g00401,Mpyg-1-003680
ACBK1g00402,Mpyg-1-003679
ACBK1g00403,Mpyg-1-003678
ACBK1g00404,Mpyg-1-003677
ACBK1g00405,Mpyg-1-003675
ACBK1g00406,Mpyg-1-003674
ACBK1g00407,Mpyg-1-003673
ACBK1g00408,Mpyg-1-003672
ACBK1g00409,Mpyg-1-003671
ACBK1g00410,Mpyg-1-003670
ACBK1g00411,Mpyg-1-003669
ACBK1g00412,Mpyg-1-003668
ACBK1g00413,Mpyg-1-003667
ACBK1g00414,.
ACBK1g00415,Mpyg-1-003665
ACBK1g00416,.
ACBK1g00417,Mpyg-1-003658
ACBK1g00418,.
ACBK1g00419,.
ACBK1g00420,Mpyg-1-003657
ACBK1g00421,.
ACBK1g00422,Mpyg-1-003655
ACBK1g00423,.
ACBK1g00424,.
ACBK1g00425,Mpyg-1-003654
ACBK1g00426,Mpyg-1-003653
ACBK1g00427,Mpyg-1-003652
ACBK1g00428,Mpyg-1-003650
ACBK1g00429,Mpyg-1-003649
ACBK1g00430,Mpyg-1-003648
ACBK1g00431,Mpyg-1-003647
ACBK1g00432,Mpyg-1-003646
ACBK1g00433,.
ACBK1g00434,Mpyg-1-003645
ACBK1g00435,Mpyg-1-003644
ACBK1g00436,Mpyg-1-003643
ACBK1g00437,Mpyg-1-003641
ACBK1g00438,Mpyg-1-003640
ACBK1g00439,Mpyg-1-003639
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Mpyg-1-003637
ACBK1g00443,Mpyg-1-003636
ACBK1g00444,Mpyg-1-003635
ACBK1g00445,.
ACBK1g00446,.
ACBK1g00447,.
ACBK1g00448,Mpyg-1-003634
ACBK1g00449,Mpyg-1-003632
ACBK1g00450,Mpyg-1-003631
ACBK1g00451,Mpyg-1-003630
ACBK1g00452,Mpyg-1-003629
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Mpyg-1-003628
ACBK1g00457,Mpyg-1-003626
ACBK1g00458,Mpyg-1-003625
ACBK1g00459,Mpyg-1-003624
ACBK1g00460,Mpyg-1-003622
ACBK1g00461,.
ACBK1g00462,Mpyg-1-003621
ACBK1g00463,Mpyg-1-003620
ACBK1g00464,.
ACBK1g00465,Mpyg-1-003619
ACBK1g00466,Mpyg-1-003618
ACBK1g00467,Mpyg-1-003617
ACBK1g00468,Mpyg-1-003616
ACBK1g00469,.
ACBK1g00470,Mpyg-1-003615
ACBK1g00471,.
ACBK1g00472,.
ACBK1g00473,Mpyg-1-003614
ACBK1g00474,Mpyg-1-003613
ACBK1g00475,.
ACBK1g00476,Mpyg-1-003612
ACBK1g00477,Mpyg-1-003611
ACBK1g00478,Mpyg-1-003610
ACBK1g00479,Mpyg-1-003609
ACBK1g00480,Mpyg-1-003608
ACBK1g00481,.
ACBK1g00482,Mpyg-1-003607
ACBK1g00483,Mpyg-1-003606
ACBK1g00484,Mpyg-1-003605
ACBK1g00485,.
ACBK1g00486,Mpyg-1-003604
ACBK1g00487,.
ACBK1g00488,.
ACBK1g00489,Mpyg-1-003603
ACBK1g00490,Mpyg-1-003602
ACBK1g00491,Mpyg-1-003601
ACBK1g00492,Mpyg-1-003600
ACBK1g00493,Mpyg-1-003599
ACBK1g00494,Mpyg-1-003598
ACBK1g00495,.
ACBK1g00496,Mpyg-1-003595
ACBK1g00497,.
ACBK1g00498,Mpyg-1-003585
ACBK1g00499,Mpyg-1-003584
ACBK1g00500,Mpyg-1-003583
ACBK1g00501,.
ACBK1g00502,Mpyg-1-003582
ACBK1g00503,Mpyg-1-003581
ACBK1g00504,.
ACBK1g00505,Mpyg-1-003580
ACBK1g00506,Mpyg-1-003579
ACBK1g00507,Mpyg-1-003578
ACBK1g00508,.
ACBK1g00509,Mpyg-1-003576
ACBK1g00510,Mpyg-1-003575
ACBK1g00511,.
ACBK1g00512,Mpyg-1-003574
ACBK1g00513,Mpyg-1-003573
ACBK1g00514,.
ACBK1g00515,Mpyg-1-003572
ACBK1g00516,Mpyg-1-003571
ACBK1g00517,.
ACBK1g00518,.
ACBK1g00519,.
ACBK1g00520,.
ACBK1g00521,Mpyg-1-003568
ACBK1g00522,Mpyg-1-003566
ACBK1g00523,Mpyg-1-003565
ACBK1g00524,Mpyg-1-003564
ACBK1g00525,Mpyg-1-003563
ACBK1g00526,Mpyg-1-003562
ACBK1g00527,.
ACBK1g00528,Mpyg-1-003561
ACBK1g00529,Mpyg-1-003560
ACBK1g00530,.
ACBK1g00531,.
ACBK1g00532,Mpyg-1-003558
ACBK1g00533,Mpyg-1-003556
ACBK1g00534,Mpyg-1-003555
ACBK1g00535,.
ACBK1g00536,Mpyg-1-003554
ACBK1g00537,.
ACBK1g00538,Mpyg-1-003553
ACBK1g00539,Mpyg-1-003552
ACBK1g00540,Mpyg-1-003551
ACBK1g00541,Mpyg-1-003550
ACBK1g00542,.
ACBK1g00543,Mpyg-1-003548
ACBK1g00544,.
ACBK1g00545,.
ACBK1g00546,Mpyg-1-003546
ACBK1g00547,.
ACBK1g00548,Mpyg-1-003545
ACBK1g00549,Mpyg-1-003544
ACBK1g00550,Mpyg-1-003543
ACBK1g00551,Mpyg-1-003542
ACBK1g00552,.
ACBK1g00553,Mpyg-1-003541
ACBK1g00554,.
ACBK1g00555,Mpyg-1-003539
ACBK1g00556,Mpyg-1-003538
ACBK1g00557,Mpyg-1-003537
ACBK1g00558,Mpyg-1-003536
ACBK1g00559,Mpyg-1-003535
ACBK1g00560,Mpyg-1-003534
ACBK1g00561,.
ACBK1g00562,.
ACBK1g00563,.
ACBK1g00564,Mpyg-1-003533
ACBK1g00565,Mpyg-1-003532
ACBK1g00566,.
ACBK1g00567,Mpyg-1-003531
ACBK1g00568,.
ACBK1g00569,Mpyg-1-003529
ACBK1g00570,Mpyg-1-003528
ACBK1g00571,.
ACBK1g00572,.
ACBK1g00573,.
ACBK1g00574,Mpyg-1-003526
ACBK1g00575,Mpyg-1-003523
ACBK1g00576,Mpyg-1-003522
ACBK1g00577,Mpyg-1-003521
ACBK1g00578,.
ACBK1g00579,Mpyg-1-003520
ACBK1g00580,Mpyg-1-003519
ACBK1g00581,Mpyg-1-003518
ACBK1g00582,Mpyg-1-003516
ACBK1g00583,Mpyg-1-003514
ACBK1g00584,Mpyg-1-003513
ACBK1g00585,Mpyg-1-003512
ACBK1g00586,.
ACBK1g00587,Mpyg-1-003510
ACBK1g00588,Mpyg-1-003509
ACBK1g00589,Mpyg-1-003508
ACBK1g00590,Mpyg-1-003506
ACBK1g00591,Mpyg-1-003504
ACBK1g00592,.
ACBK1g00593,Mpyg-1-003503
ACBK1g00594,Mpyg-1-003502
ACBK1g00595,Mpyg-1-003501
ACBK1g00596,Mpyg-1-003500
ACBK1g00597,Mpyg-1-003499
ACBK1g00598,Mpyg-1-003498
ACBK1g00599,Mpyg-1-003497
ACBK1g00600,.
ACBK1g00601,Mpyg-1-003496
ACBK1g00602,Mpyg-1-003495
ACBK1g00603,Mpyg-1-003494
ACBK1g00604,Mpyg-1-003493
ACBK1g00605,Mpyg-1-003491
ACBK1g00606,Mpyg-1-003490
ACBK1g00607,Mpyg-1-003489
ACBK1g00608,Mpyg-1-003488
ACBK1g00609,Mpyg-1-003487
ACBK1g00610,Mpyg-1-003486
ACBK1g00611,Mpyg-1-003485
ACBK1g00612,Mpyg-1-003484
ACBK1g00613,Mpyg-1-003483
ACBK1g00614,.
ACBK1g00615,Mpyg-1-003482
ACBK1g00616,Mpyg-1-003481
ACBK1g00617,Mpyg-1-003480
ACBK1g00618,.
ACBK1g00619,Mpyg-1-003479
ACBK1g00620,.
ACBK1g00621,Mpyg-1-003476
ACBK1g00622,Mpyg-1-003473
ACBK1g00623,Mpyg-1-003472
ACBK1g00624,Mpyg-1-003471
ACBK1g00625,Mpyg-1-003470
ACBK1g00626,Mpyg-1-003469
ACBK1g00627,.
ACBK1g00628,.
ACBK1g00629,Mpyg-1-003468
ACBK1g00630,Mpyg-1-003466
ACBK1g00631,Mpyg-1-003465
ACBK1g00632,Mpyg-1-003464
ACBK1g00633,Mpyg-1-003463
ACBK1g00634,Mpyg-1-003462
ACBK1g00635,Mpyg-1-003461
ACBK1g00636,Mpyg-1-003460
ACBK1g00637,.
ACBK1g00638,.
ACBK1g00639,Mpyg-1-003459
ACBK1g00640,Mpyg-1-003458
ACBK1g00641,Mpyg-1-003457
ACBK1g00642,.
ACBK1g00643,Mpyg-1-003455
ACBK1g00644,Mpyg-1-003454
ACBK1g00645,Mpyg-1-003453
ACBK1g00646,Mpyg-1-003452
ACBK1g00647,Mpyg-1-003451
ACBK1g00648,Mpyg-1-003450
ACBK1g00649,Mpyg-1-003449
ACBK1g00650,Mpyg-1-003448
ACBK1g00651,Mpyg-1-003447
ACBK1g00652,Mpyg-1-003446
ACBK1g00653,Mpyg-1-003444
ACBK1g00654,Mpyg-1-003443
ACBK1g00655,Mpyg-1-003442
ACBK1g00656,.
ACBK1g00657,.
ACBK1g00658,.
ACBK1g00659,Mpyg-1-003440
ACBK1g00660,Mpyg-1-003439
ACBK1g00661,Mpyg-1-003438
ACBK1g00662,Mpyg-1-003437
ACBK1g00663,Mpyg-1-003436
ACBK1g00664,.
ACBK1g00665,.
ACBK1g00666,.
ACBK1g00667,Mpyg-1-003435
ACBK1g00668,Mpyg-1-003434
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Mpyg-1-003433
ACBK1g00672,Mpyg-1-003432
ACBK1g00673,Mpyg-1-003431
ACBK1g00674,Mpyg-1-003429
ACBK1g00675,Mpyg-1-003428
ACBK1g00676,.
ACBK1g00677,Mpyg-1-003427
ACBK1g00678,.
ACBK1g00679,Mpyg-1-003426
ACBK1g00680,.
ACBK1g00681,.
ACBK1g00682,.
ACBK1g00683,Mpyg-1-003425
ACBK1g00684,Mpyg-1-003424
ACBK1g00685,Mpyg-1-003423
ACBK1g00686,Mpyg-1-003422
ACBK1g00687,Mpyg-1-003421
ACBK1g00688,.
ACBK1g00689,.
ACBK1g00690,Mpyg-1-003420
ACBK1g00691,Mpyg-1-003419
ACBK1g00692,.
ACBK1g00693,Mpyg-1-003418
ACBK1g00694,Mpyg-1-003415
ACBK1g00695,Mpyg-1-003413
ACBK1g00696,Mpyg-1-003412
ACBK1g00697,Mpyg-1-003411
ACBK1g00698,Mpyg-1-003410
ACBK1g00699,Mpyg-1-003409
ACBK1g00700,Mpyg-1-003408
ACBK1g00701,Mpyg-1-003407
ACBK1g00702,.
ACBK1g00703,.
ACBK1g00704,.
ACBK1g00705,.
ACBK1g00706,Mpyg-1-003405
ACBK1g00707,Mpyg-1-003404
ACBK1g00708,Mpyg-1-003403
ACBK1g00709,Mpyg-1-003401
ACBK1g00710,Mpyg-1-003400
ACBK1g00711,Mpyg-1-003399
ACBK1g00712,.
ACBK1g00713,Mpyg-1-003398
ACBK1g00714,.
ACBK1g00715,Mpyg-1-003397
ACBK1g00716,Mpyg-1-003396
ACBK1g00717,Mpyg-1-003395
ACBK1g00718,Mpyg-1-003394
ACBK1g00719,.
ACBK1g00720,Mpyg-1-003393
ACBK1g00721,Mpyg-1-003392
ACBK1g00722,Mpyg-1-003391
ACBK1g00723,Mpyg-1-003390
ACBK1g00724,Mpyg-1-003389
ACBK1g00725,.
ACBK1g00726,.
ACBK1g00727,Mpyg-1-003388
ACBK1g00728,Mpyg-1-003387
ACBK1g00729,Mpyg-1-003386
ACBK1g00730,.
ACBK1g00731,Mpyg-1-003384
ACBK1g00732,Mpyg-1-003383
ACBK1g00733,Mpyg-1-003382
ACBK1g00734,Mpyg-1-003381
ACBK1g00735,Mpyg-1-003380
ACBK1g00736,Mpyg-1-003379
ACBK1g00737,Mpyg-1-003378
ACBK1g00738,Mpyg-1-003376
ACBK1g00739,Mpyg-1-003375
ACBK1g00740,Mpyg-1-003374
ACBK1g00741,Mpyg-1-003373
ACBK1g00742,Mpyg-1-003372
ACBK1g00743,Mpyg-1-003371
ACBK1g00744,.
ACBK1g00745,Mpyg-1-003367
ACBK1g00746,Mpyg-1-003365
ACBK1g00747,Mpyg-1-003364
ACBK1g00748,.
ACBK1g00749,Mpyg-1-003363
ACBK1g00750,Mpyg-1-003361
ACBK1g00751,Mpyg-1-003360
ACBK1g00752,Mpyg-1-003359
ACBK1g00753,Mpyg-1-003358
ACBK1g00754,Mpyg-1-003357
ACBK1g00755,Mpyg-1-003356
ACBK1g00756,Mpyg-1-003355
ACBK1g00757,Mpyg-1-003354
ACBK1g00758,Mpyg-1-003352
ACBK1g00759,Mpyg-1-003351
ACBK1g00760,.
ACBK1g00761,Mpyg-1-003350
ACBK1g00762,Mpyg-1-003349
ACBK1g00763,Mpyg-1-003348
ACBK1g00764,.
ACBK1g00765,Mpyg-1-003347
ACBK1g00766,Mpyg-1-003346
ACBK1g00767,Mpyg-1-003345
ACBK1g00768,Mpyg-1-003344
ACBK1g00769,Mpyg-1-003343
ACBK1g00770,Mpyg-1-003342
ACBK1g00771,Mpyg-1-003341
ACBK1g00772,Mpyg-1-003340
ACBK1g00773,.
ACBK1g00774,Mpyg-1-003339
ACBK1g00775,Mpyg-1-003338
ACBK1g00776,.
ACBK1g00777,Mpyg-1-003337
ACBK1g00778,Mpyg-1-003336
ACBK1g00779,Mpyg-1-003335
ACBK1g00780,Mpyg-1-003334
ACBK1g00781,.
ACBK1g00782,Mpyg-1-003333
ACBK1g00783,.
ACBK1g00784,.
ACBK1g00785,Mpyg-1-003332
ACBK1g00786,.
ACBK1g00787,Mpyg-1-003330
ACBK1g00788,Mpyg-1-003329
ACBK1g00789,Mpyg-1-003328
ACBK1g00790,.
ACBK1g00791,.
ACBK1g00792,Mpyg-1-003327
ACBK1g00793,Mpyg-1-003326
ACBK1g00794,.
ACBK1g00795,Mpyg-1-003325
ACBK1g00796,Mpyg-1-003324
ACBK1g00797,Mpyg-1-003323
ACBK1g00798,Mpyg-1-003322
ACBK1g00799,Mpyg-1-003320
