ACBK1g00001,Aare-1-000009
ACBK1g00124,Aare-1-000121
ACBK1g00125,.
ACBK1g00126,.
ACBK1g00127,Aare-1-000122
ACBK1g00128,.
ACBK1g00129,.
ACBK1g00130,Aare-1-000123
ACBK1g00131,.
ACBK1g00132,.
ACBK1g00133,Aare-1-000126
ACBK1g00134,.
ACBK1g00135,.
ACBK1g00136,Aare-1-000129
ACBK1g00137,Aare-1-000130
ACBK1g00138,Aare-1-000131
ACBK1g00139,Aare-1-000132
ACBK1g00140,.
ACBK1g00141,Aare-1-000133
ACBK1g00142,.
ACBK1g00143,Aare-1-000135
ACBK1g00144,.
ACBK1g00145,.
ACBK1g00146,Aare-1-000137
ACBK1g00147,.
ACBK1g00148,Aare-1-000138
ACBK1g00149,Aare-1-000139
ACBK1g00150,Aare-1-000140
ACBK1g00151,Aare-1-000142
ACBK1g00152,.
ACBK1g00153,.
ACBK1g00154,.
ACBK1g00155,.
ACBK1g00156,Aare-1-000144
ACBK1g00157,Aare-1-000145
ACBK1g00158,.
ACBK1g00159,Aare-1-000148
ACBK1g00160,Aare-1-000149
ACBK1g00161,.
ACBK1g00162,Aare-1-000151
ACBK1g00163,Aare-1-000152
ACBK1g00164,Aare-1-000153
ACBK1g00165,Aare-1-000154
ACBK1g00166,.
ACBK1g00167,Aare-1-000155
ACBK1g00168,.
ACBK1g00169,Aare-1-000157
ACBK1g00170,Aare-1-000158
ACBK1g00171,Aare-1-000159
ACBK1g00172,Aare-1-000160
ACBK1g00173,.
ACBK1g00174,Aare-1-000162
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,Aare-1-000163
ACBK1g00178,.
ACBK1g00179,.
ACBK1g00180,Aare-1-000165
ACBK1g00181,.
ACBK1g00182,Aare-1-000166
ACBK1g00183,Aare-1-000167
ACBK1g00184,Aare-1-000169
ACBK1g00185,Aare-1-000170
ACBK1g00186,Aare-1-000171
ACBK1g00187,.
ACBK1g00188,Aare-1-000173
ACBK1g00189,.
ACBK1g00190,.
ACBK1g00191,.
ACBK1g00192,Aare-1-000177
ACBK1g00193,Aare-1-000178
ACBK1g00194,.
ACBK1g00195,Aare-1-000180
ACBK1g00196,.
ACBK1g00197,Aare-1-000182
ACBK1g00198,Aare-1-000183
ACBK1g00199,Aare-1-000184
ACBK1g00200,Aare-1-000185
ACBK1g00201,.
ACBK1g00202,Aare-1-000186
ACBK1g00203,Aare-1-000187
ACBK1g00204,Aare-1-000188
ACBK1g00205,.
ACBK1g00206,Aare-1-000190
ACBK1g00207,.
ACBK1g00208,Aare-1-000192
ACBK1g00209,Aare-1-000193
ACBK1g00210,Aare-1-000194
ACBK1g00211,Aare-1-000195
ACBK1g00212,Aare-1-000196
ACBK1g00213,Aare-1-000198
ACBK1g00214,Aare-1-000203
ACBK1g00215,Aare-1-000204
ACBK1g00216,Aare-1-000205
ACBK1g00217,.
ACBK1g00218,Aare-1-000206
ACBK1g00219,Aare-1-000207
ACBK1g00220,.
ACBK1g00221,Aare-1-000209
ACBK1g00222,Aare-1-000210
ACBK1g00223,Aare-1-000212
ACBK1g00224,Aare-1-000214
ACBK1g00225,Aare-1-000215
ACBK1g00226,Aare-1-000216
ACBK1g00227,.
ACBK1g00228,Aare-1-000217
ACBK1g00229,Aare-1-000221
ACBK1g00230,.
ACBK1g00231,Aare-1-000223
ACBK1g00232,Aare-1-000224
ACBK1g00233,.
ACBK1g00234,.
ACBK1g00235,Aare-1-000227
ACBK1g00236,.
ACBK1g00237,Aare-1-000229
ACBK1g00238,Aare-1-000231
ACBK1g00239,Aare-1-000232
ACBK1g00240,Aare-1-000233
ACBK1g00241,.
ACBK1g00242,Aare-1-000235
ACBK1g00243,.
ACBK1g00244,.
ACBK1g00245,.
ACBK1g00246,.
ACBK1g00247,Aare-1-000237
ACBK1g00248,Aare-1-000238
ACBK1g00249,.
ACBK1g00250,Aare-1-000240
ACBK1g00251,.
ACBK1g00252,Aare-1-000243
ACBK1g00253,.
ACBK1g00254,Aare-1-000244
ACBK1g00255,.
ACBK1g00256,Aare-1-000246
ACBK1g00257,Aare-1-000247
ACBK1g00258,Aare-1-000248
ACBK1g00259,Aare-1-000249
ACBK1g00260,.
ACBK1g00261,Aare-1-000250
ACBK1g00262,.
ACBK1g00263,Aare-1-000252
ACBK1g00264,Aare-1-000253
ACBK1g00265,Aare-1-000254
ACBK1g00266,Aare-1-000255
ACBK1g00267,Aare-1-000256
ACBK1g00268,.
ACBK1g00269,Aare-1-000258
ACBK1g00270,Aare-1-000259
ACBK1g00271,Aare-1-000260
ACBK1g00272,.
ACBK1g00273,Aare-1-000261
ACBK1g00274,Aare-1-000262
ACBK1g00275,.
ACBK1g00276,Aare-1-000264
ACBK1g00277,Aare-1-000266
ACBK1g00278,.
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Aare-1-000268
ACBK1g00282,.
ACBK1g00283,.
ACBK1g00284,.
ACBK1g00285,Aare-1-000271
ACBK1g00286,Aare-1-000272
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,Aare-1-000273
ACBK1g00290,Aare-1-000274
ACBK1g00291,Aare-1-000275
ACBK1g00292,Aare-1-000276
ACBK1g00293,Aare-1-000277
ACBK1g00294,Aare-1-000278
ACBK1g00295,Aare-1-000279
ACBK1g00296,Aare-1-000280
ACBK1g00297,Aare-1-000281
ACBK1g00298,Aare-1-000283
ACBK1g00299,.
ACBK1g00300,Aare-1-000285
ACBK1g00301,.
ACBK1g00302,Aare-1-000287
ACBK1g00303,.
ACBK1g00304,.
ACBK1g00305,.
ACBK1g00306,Aare-1-000292
ACBK1g00307,Aare-1-000293
ACBK1g00308,Aare-1-000294
ACBK1g00309,Aare-1-000295
ACBK1g00310,Aare-1-000297
ACBK1g00311,Aare-1-000298
ACBK1g00312,Aare-1-000299
ACBK1g00313,Aare-1-000300
ACBK1g00314,Aare-1-000301
ACBK1g00315,Aare-1-000302
ACBK1g00316,Aare-1-000303
ACBK1g00317,Aare-1-000304
ACBK1g00318,Aare-1-000305
ACBK1g00319,Aare-1-000306
ACBK1g00320,Aare-1-000307
ACBK1g00321,Aare-1-000309
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,.
ACBK1g00327,Aare-1-000311
ACBK1g00328,Aare-1-000312
ACBK1g00329,Aare-1-000313
ACBK1g00330,Aare-1-000314
ACBK1g00331,.
ACBK1g00332,Aare-1-000315
ACBK1g00333,Aare-1-000316
ACBK1g00334,Aare-1-000317
ACBK1g00335,Aare-1-000318
ACBK1g00336,.
ACBK1g00337,Aare-1-000321
ACBK1g00338,Aare-1-000322
ACBK1g00339,Aare-1-000323
ACBK1g00340,Aare-1-000324
ACBK1g00341,.
ACBK1g00342,Aare-1-000327
ACBK1g00343,Aare-1-000328
ACBK1g00344,Aare-1-000329
ACBK1g00345,Aare-1-000330
ACBK1g00346,.
ACBK1g00347,Aare-1-000331
ACBK1g00348,Aare-1-000332
ACBK1g00349,Aare-1-000333
ACBK1g00350,Aare-1-000334
ACBK1g00351,Aare-1-000335
ACBK1g00352,Aare-1-000336
ACBK1g00353,Aare-1-000337
ACBK1g00354,Aare-1-000339
ACBK1g00355,.
ACBK1g00356,Aare-1-000340
ACBK1g00357,.
ACBK1g00358,Aare-1-000341
ACBK1g00359,.
ACBK1g00360,Aare-1-000342
ACBK1g00361,Aare-1-000343
ACBK1g00362,Aare-1-000344
ACBK1g00363,Aare-1-000345
ACBK1g00364,Aare-1-000346
ACBK1g00365,.
ACBK1g00366,Aare-1-000348
ACBK1g00367,Aare-1-000349
ACBK1g00368,Aare-1-000350
ACBK1g00369,.
ACBK1g00370,Aare-1-000351
ACBK1g00371,Aare-1-000352
ACBK1g00372,Aare-1-000353
ACBK1g00373,Aare-1-000354
ACBK1g00374,Aare-1-000356
ACBK1g00375,Aare-1-000357
ACBK1g00376,Aare-1-000358
ACBK1g00377,.
ACBK1g00378,Aare-1-000360
ACBK1g00379,.
ACBK1g00380,.
ACBK1g00381,Aare-1-000363
ACBK1g00382,Aare-1-000364
ACBK1g00383,Aare-1-000366
ACBK1g00384,.
ACBK1g00385,.
ACBK1g00386,.
ACBK1g00387,Aare-1-000369
ACBK1g00388,Aare-1-000370
ACBK1g00389,.
ACBK1g00390,.
ACBK1g00391,Aare-1-000373
ACBK1g00392,Aare-1-000375
ACBK1g00393,.
ACBK1g00394,Aare-1-000377
ACBK1g00395,Aare-1-000378
ACBK1g00396,Aare-1-000379
ACBK1g00397,Aare-1-000380
ACBK1g00398,Aare-1-000381
ACBK1g00399,Aare-1-000382
ACBK1g00400,.
ACBK1g00401,.
ACBK1g00402,Aare-1-000385
ACBK1g00403,Aare-1-000386
ACBK1g00404,Aare-1-000387
ACBK1g00405,Aare-1-000389
ACBK1g00406,Aare-1-000390
ACBK1g00407,Aare-1-000391
ACBK1g00408,Aare-1-000392
ACBK1g00409,Aare-1-000394
ACBK1g00410,Aare-1-000395
ACBK1g00411,.
ACBK1g00412,Aare-1-000397
ACBK1g00413,Aare-1-000398
ACBK1g00414,Aare-1-000399
ACBK1g00415,Aare-1-000401
ACBK1g00416,Aare-1-000402
ACBK1g00417,Aare-1-000403
ACBK1g00418,.
ACBK1g00419,.
ACBK1g00420,Aare-1-000404
ACBK1g00421,.
ACBK1g00422,Aare-1-000407
ACBK1g00423,Aare-1-000408
ACBK1g00424,.
ACBK1g00425,Aare-1-000409
ACBK1g00426,Aare-1-000410
ACBK1g00427,Aare-1-000411
ACBK1g00428,Aare-1-000413
ACBK1g00429,Aare-1-000414
ACBK1g00430,Aare-1-000415
ACBK1g00431,Aare-1-000416
ACBK1g00432,Aare-1-000417
ACBK1g00433,.
ACBK1g00434,.
ACBK1g00435,Aare-1-000420
ACBK1g00436,Aare-1-000421
ACBK1g00437,Aare-1-000422
ACBK1g00438,Aare-1-000423
ACBK1g00439,Aare-1-000424
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Aare-1-000425
ACBK1g00443,Aare-1-000426
ACBK1g00444,Aare-1-000427
ACBK1g00445,Aare-1-000428
ACBK1g00446,Aare-1-000429
ACBK1g00447,Aare-1-000430
ACBK1g00448,Aare-1-000431
ACBK1g00449,Aare-1-000432
ACBK1g00450,Aare-1-000433
ACBK1g00451,Aare-1-000434
ACBK1g00452,Aare-1-000435
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Aare-1-000436
ACBK1g00457,Aare-1-000438
ACBK1g00458,.
ACBK1g00459,Aare-1-000440
ACBK1g00460,Aare-1-000442
ACBK1g00461,Aare-1-000443
ACBK1g00462,.
ACBK1g00463,Aare-1-000445
ACBK1g00464,.
ACBK1g00465,.
ACBK1g00466,.
ACBK1g00467,Aare-1-000448
ACBK1g00468,Aare-1-000449
ACBK1g00469,Aare-1-000450
ACBK1g00470,Aare-1-000451
ACBK1g00471,Aare-1-000452
ACBK1g00472,Aare-1-000453
ACBK1g00473,.
ACBK1g00474,.
ACBK1g00475,Aare-1-000457
ACBK1g00476,Aare-1-000458
ACBK1g00477,Aare-1-000459
ACBK1g00478,Aare-1-000460
ACBK1g00479,Aare-1-000461
ACBK1g00480,Aare-1-000462
ACBK1g00481,.
ACBK1g00482,Aare-1-000464
ACBK1g00483,Aare-1-000465
ACBK1g00484,Aare-1-000466
ACBK1g00485,Aare-1-000467
ACBK1g00486,Aare-1-000468
ACBK1g00487,Aare-1-000469
ACBK1g00488,Aare-1-000470
ACBK1g00489,Aare-1-000471
ACBK1g00490,Aare-1-000472
ACBK1g00491,Aare-1-000473
ACBK1g00492,Aare-1-000474
ACBK1g00493,Aare-1-000475
ACBK1g00494,Aare-1-000476
ACBK1g00495,Aare-1-000478
ACBK1g00496,Aare-1-000479
ACBK1g00497,Aare-1-000481
ACBK1g00498,Aare-1-000482
ACBK1g00499,Aare-1-000483
ACBK1g00500,Aare-1-000484
ACBK1g00501,Aare-1-000485
ACBK1g00502,Aare-1-000486
ACBK1g00503,Aare-1-000487
ACBK1g00504,Aare-1-000488
ACBK1g00505,.
ACBK1g00506,Aare-1-000489
ACBK1g00507,Aare-1-000490
ACBK1g00508,.
ACBK1g00509,Aare-1-000493
ACBK1g00510,Aare-1-000494
ACBK1g00511,Aare-1-000495
ACBK1g00512,Aare-1-000496
ACBK1g00513,Aare-1-000498
ACBK1g00514,Aare-1-000499
ACBK1g00515,Aare-1-000501
ACBK1g00516,Aare-1-000502
ACBK1g00517,Aare-1-000503
ACBK1g00518,.
ACBK1g00519,.
ACBK1g00520,Aare-1-000506
ACBK1g00521,Aare-1-000507
ACBK1g00522,Aare-1-000508
ACBK1g00523,Aare-1-000509
ACBK1g00524,Aare-1-000510
ACBK1g00525,Aare-1-000511
ACBK1g00526,Aare-1-000512
ACBK1g00527,Aare-1-000513
ACBK1g00528,Aare-1-000514
ACBK1g00529,Aare-1-000515
ACBK1g00530,Aare-1-000516
ACBK1g00531,Aare-1-000517
ACBK1g00532,Aare-1-000518
ACBK1g00533,.
ACBK1g00534,Aare-1-000519
ACBK1g00535,.
ACBK1g00536,Aare-1-000520
ACBK1g00537,.
ACBK1g00538,.
ACBK1g00539,.
ACBK1g00540,Aare-1-000524
ACBK1g00541,Aare-1-000525
ACBK1g00542,Aare-1-000527
ACBK1g00543,Aare-1-000528
ACBK1g00544,Aare-1-000529
ACBK1g00545,.
ACBK1g00546,Aare-1-000532
ACBK1g00547,Aare-1-000533
ACBK1g00548,Aare-1-000534
ACBK1g00549,.
ACBK1g00550,.
ACBK1g00551,Aare-1-000536
ACBK1g00552,.
ACBK1g00553,.
ACBK1g00554,.
ACBK1g00555,.
ACBK1g00556,.
ACBK1g00557,Aare-1-000541
ACBK1g00558,Aare-1-000542
ACBK1g00559,.
ACBK1g00560,.
ACBK1g00561,.
ACBK1g00562,Aare-1-000544
ACBK1g00563,Aare-1-000545
ACBK1g00564,.
ACBK1g00565,Aare-1-000546
ACBK1g00566,Aare-1-000547
ACBK1g00567,Aare-1-000548
ACBK1g00568,Aare-1-000549
ACBK1g00569,.
ACBK1g00570,Aare-1-000551
ACBK1g00571,.
ACBK1g00572,.
ACBK1g00573,.
ACBK1g00574,Aare-1-000555
ACBK1g00575,Aare-1-000556
ACBK1g00576,Aare-1-000557
ACBK1g00577,Aare-1-000560
ACBK1g00578,.
ACBK1g00579,.
ACBK1g00580,Aare-1-000561
ACBK1g00581,Aare-1-000562
ACBK1g00582,Aare-1-000564
ACBK1g00583,Aare-1-000565
ACBK1g00584,Aare-1-000566
ACBK1g00585,Aare-1-000567
ACBK1g00586,.
ACBK1g00587,Aare-1-000570
ACBK1g00588,Aare-1-000571
ACBK1g00589,Aare-1-000572
ACBK1g00590,Aare-1-000573
ACBK1g00591,.
ACBK1g00592,Aare-1-000576
ACBK1g00593,.
ACBK1g00594,.
ACBK1g00595,Aare-1-000581
ACBK1g00596,.
ACBK1g00597,.
ACBK1g00598,Aare-1-000583
ACBK1g00599,Aare-1-000584
ACBK1g00600,.
ACBK1g00601,.
ACBK1g00602,Aare-1-000588
ACBK1g00603,Aare-1-000589
ACBK1g00604,Aare-1-000591
ACBK1g00605,Aare-1-000592
ACBK1g00606,Aare-1-000593
ACBK1g00607,.
ACBK1g00608,Aare-1-000594
ACBK1g00609,.
ACBK1g00610,Aare-1-000595
ACBK1g00611,Aare-1-000596
ACBK1g00612,Aare-1-000597
ACBK1g00613,.
ACBK1g00614,Aare-1-000599
ACBK1g00615,Aare-1-000600
ACBK1g00616,Aare-1-000601
ACBK1g00617,Aare-1-000602
ACBK1g00618,.
ACBK1g00619,.
ACBK1g00620,.
ACBK1g00621,Aare-1-000604
ACBK1g00622,Aare-1-000605
ACBK1g00623,Aare-1-000606
ACBK1g00624,Aare-1-000607
ACBK1g00625,.
ACBK1g00626,Aare-1-000610
ACBK1g00627,Aare-1-000611
ACBK1g00628,.
ACBK1g00629,Aare-1-000612
ACBK1g00630,Aare-1-000614
ACBK1g00631,.
ACBK1g00632,.
ACBK1g00633,Aare-1-000618
ACBK1g00634,Aare-1-000619
ACBK1g00635,Aare-1-000620
ACBK1g00636,Aare-1-000621
ACBK1g00637,Aare-1-000622
ACBK1g00638,Aare-1-000623
ACBK1g00639,.
ACBK1g00640,.
ACBK1g00641,Aare-1-000626
ACBK1g00642,Aare-1-000627
ACBK1g00643,Aare-1-000628
ACBK1g00644,Aare-1-000629
ACBK1g00645,.
ACBK1g00646,.
ACBK1g00647,.
ACBK1g00648,Aare-1-000630
ACBK1g00649,Aare-1-000631
ACBK1g00650,Aare-1-000632
ACBK1g00651,Aare-1-000633
ACBK1g00652,.
ACBK1g00653,Aare-1-000635
ACBK1g00654,.
ACBK1g00655,Aare-1-000636
ACBK1g00656,Aare-1-000637
ACBK1g00657,.
ACBK1g00658,.
ACBK1g00659,Aare-1-000640
ACBK1g00660,.
ACBK1g00661,.
ACBK1g00662,Aare-1-000642
ACBK1g00663,.
ACBK1g00664,.
ACBK1g00665,.
ACBK1g00666,Aare-1-000645
ACBK1g00667,.
ACBK1g00668,Aare-1-000647
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Aare-1-000648
ACBK1g00672,Aare-1-000649
ACBK1g00673,Aare-1-000650
ACBK1g00674,.
ACBK1g00675,Aare-1-000652
ACBK1g00676,Aare-1-000653
ACBK1g00677,Aare-1-000656
ACBK1g00678,.
ACBK1g00679,Aare-1-000657
ACBK1g00680,.
ACBK1g00681,.
ACBK1g00682,Aare-1-000661
ACBK1g00683,Aare-1-000662
ACBK1g00684,Aare-1-000663
ACBK1g00685,Aare-1-000664
ACBK1g00686,.
ACBK1g00687,.
ACBK1g00688,Aare-1-000668
ACBK1g00689,Aare-1-000670
ACBK1g00690,.
ACBK1g00691,Aare-1-000672
ACBK1g00692,.
ACBK1g00693,Aare-1-000674
ACBK1g00694,Aare-1-000675
ACBK1g00695,Aare-1-000677
ACBK1g00696,Aare-1-000678
ACBK1g00697,Aare-1-000680
ACBK1g00698,Aare-1-000681
ACBK1g00699,Aare-1-000682
ACBK1g00700,Aare-1-000683
ACBK1g00701,Aare-1-000685
ACBK1g00702,Aare-1-000686
ACBK1g00703,Aare-1-000687
ACBK1g00704,Aare-1-000688
ACBK1g00705,.
ACBK1g00706,Aare-1-000689
ACBK1g00707,Aare-1-000690
ACBK1g00708,Aare-1-000691
ACBK1g00709,Aare-1-000692
ACBK1g00710,Aare-1-000693
ACBK1g00711,Aare-1-000694
ACBK1g00712,Aare-1-000695
ACBK1g00713,.
ACBK1g00714,Aare-1-000698
ACBK1g00715,.
ACBK1g00716,Aare-1-000700
ACBK1g00717,.
ACBK1g00718,Aare-1-000703
ACBK1g00719,.
ACBK1g00720,Aare-1-000705
ACBK1g00721,Aare-1-000706
ACBK1g00722,Aare-1-000707
ACBK1g00723,Aare-1-000708
ACBK1g00724,.
ACBK1g00725,.
ACBK1g00726,.
ACBK1g00727,.
ACBK1g00728,Aare-1-000712
ACBK1g00729,.
ACBK1g00730,.
ACBK1g00731,Aare-1-000715
ACBK1g00732,.
ACBK1g00733,Aare-1-000716
ACBK1g00734,.
ACBK1g00735,Aare-1-000718
ACBK1g00736,.
ACBK1g00737,Aare-1-000720
ACBK1g00738,Aare-1-000723
ACBK1g00739,Aare-1-000724
ACBK1g00740,Aare-1-000725
ACBK1g00741,.
ACBK1g00742,Aare-1-000727
ACBK1g00743,Aare-1-000728
ACBK1g00744,Aare-1-000729
ACBK1g00745,Aare-1-000730
ACBK1g00746,.
ACBK1g00747,Aare-1-000732
ACBK1g00748,Aare-1-000733
ACBK1g00749,Aare-1-000734
ACBK1g00750,Aare-1-000736
ACBK1g00751,Aare-1-000737
ACBK1g00752,Aare-1-000738
ACBK1g00753,Aare-1-000740
ACBK1g00754,.
ACBK1g00755,Aare-1-000742
ACBK1g00756,.
ACBK1g00757,.
ACBK1g00758,Aare-1-000745
ACBK1g00759,Aare-1-000746
ACBK1g00760,Aare-1-000747
ACBK1g00761,Aare-1-000748
ACBK1g00762,.
ACBK1g00763,Aare-1-000750
ACBK1g00764,.
ACBK1g00765,Aare-1-000752
ACBK1g00766,Aare-1-000753
ACBK1g00767,.
ACBK1g00768,.
ACBK1g00769,Aare-1-000756
ACBK1g00770,Aare-1-000757
ACBK1g00771,Aare-1-000758
ACBK1g00772,Aare-1-000759
ACBK1g00773,.
ACBK1g00774,Aare-1-000761
ACBK1g00775,.
ACBK1g00776,Aare-1-000763
ACBK1g00777,Aare-1-000764
ACBK1g00778,Aare-1-000766
ACBK1g00779,Aare-1-000767
ACBK1g00780,Aare-1-000768
ACBK1g00781,.
ACBK1g00782,.
ACBK1g00783,Aare-1-000771
ACBK1g00784,Aare-1-000772
ACBK1g00785,.
ACBK1g00786,Aare-1-000773
ACBK1g00787,Aare-1-000774
ACBK1g00788,Aare-1-000775
ACBK1g00789,Aare-1-000776
ACBK1g00790,.
ACBK1g00791,.
ACBK1g00792,.
ACBK1g00793,Aare-1-000777
ACBK1g00794,Aare-1-000778
ACBK1g00795,.
ACBK1g00796,Aare-1-000781
ACBK1g00797,.
ACBK1g00798,.
ACBK1g00799,Aare-1-000783
ACBK1g00800,Aare-1-000784
ACBK1g00801,Aare-1-000785
ACBK1g00802,.
ACBK1g00803,.
ACBK1g00804,.
ACBK1g00805,Aare-1-000788
ACBK1g00806,Aare-1-000790
ACBK1g00807,.
ACBK1g00808,Aare-1-000791
ACBK1g00809,Aare-1-000792
ACBK1g00810,.
ACBK1g00811,Aare-1-000796
ACBK1g00812,Aare-1-000797
ACBK1g00813,Aare-1-000798
ACBK1g00814,.
ACBK1g00815,Aare-1-000799
ACBK1g00816,.
ACBK1g00817,Aare-1-000800
ACBK1g00818,Aare-1-000801
ACBK1g00819,.
ACBK1g00820,.
ACBK1g00821,Aare-1-000804
ACBK1g00822,.
ACBK1g00823,Aare-1-000806
ACBK1g00824,Aare-1-000807
ACBK1g00825,.
ACBK1g00826,.
ACBK1g00827,Aare-1-000809
ACBK1g00828,Aare-1-000810
ACBK1g00829,Aare-1-000811
ACBK1g00830,Aare-1-000812
ACBK1g00831,.
ACBK1g00832,Aare-1-000816
ACBK1g00833,.
ACBK1g00834,Aare-1-000820
ACBK1g00835,Aare-1-000821
ACBK1g00836,.
ACBK1g00837,.
ACBK1g00838,Aare-1-000824
ACBK1g00839,Aare-1-000825
ACBK1g00840,Aare-1-000826
ACBK1g00841,Aare-1-000827
ACBK1g00842,Aare-1-000828
ACBK1g00843,Aare-1-000829
ACBK1g00844,.
ACBK1g00845,Aare-1-000832
ACBK1g00846,Aare-1-000833
ACBK1g00847,.
ACBK1g00848,.
ACBK1g00849,Aare-1-000834
ACBK1g00850,Aare-1-000835
ACBK1g00851,Aare-1-000837
ACBK1g00852,Aare-1-000839
ACBK1g00853,Aare-1-000840
ACBK1g00854,Aare-1-000841
ACBK1g00855,Aare-1-000842
ACBK1g00856,Aare-1-000843
ACBK1g00857,.
ACBK1g00858,Aare-1-000845
ACBK1g00859,.
ACBK1g00860,Aare-1-000847
ACBK1g00861,.
ACBK1g00862,Aare-1-000849
ACBK1g00863,Aare-1-000850
ACBK1g00864,Aare-1-000851
ACBK1g00865,Aare-1-000853
ACBK1g00866,Aare-1-000854
ACBK1g00867,Aare-1-000856
ACBK1g00868,Aare-1-000857
ACBK1g00869,Aare-1-000859
ACBK1g00870,.
ACBK1g00871,Aare-1-000863
ACBK1g00872,Aare-1-000864
ACBK1g00873,Aare-1-000865
ACBK1g00874,Aare-1-000866
ACBK1g00875,Aare-1-000867
ACBK1g00876,Aare-1-000868
ACBK1g00877,Aare-1-000869
ACBK1g00878,Aare-1-000870
ACBK1g00879,Aare-1-000871
ACBK1g00880,.
ACBK1g00881,Aare-1-000875
ACBK1g00882,.
ACBK1g00883,Aare-1-000877
ACBK1g00884,Aare-1-000878
ACBK1g00885,Aare-1-000879
ACBK1g00886,Aare-1-000880
ACBK1g00887,Aare-1-000881
ACBK1g00888,Aare-1-000882
ACBK1g00889,.
ACBK1g00890,.
ACBK1g00891,Aare-1-000884
