ACBK1g00001,Bdiv-1-001721
ACBK1g00361,Bdiv-1-002022
ACBK1g00362,.
ACBK1g00363,Bdiv-1-002024
ACBK1g00364,Bdiv-1-002025
ACBK1g00365,Bdiv-1-002026
ACBK1g00366,Bdiv-1-002027
ACBK1g00367,Bdiv-1-002028
ACBK1g00368,Bdiv-1-002029
ACBK1g00369,.
ACBK1g00370,Bdiv-1-002030
ACBK1g00371,Bdiv-1-002031
ACBK1g00372,Bdiv-1-002032
ACBK1g00373,Bdiv-1-002033
ACBK1g00374,Bdiv-1-002034
ACBK1g00375,Bdiv-1-002035
ACBK1g00376,Bdiv-1-002036
ACBK1g00377,.
ACBK1g00378,Bdiv-1-002038
ACBK1g00379,Bdiv-1-002039
ACBK1g00380,.
ACBK1g00381,.
ACBK1g00382,Bdiv-1-002044
ACBK1g00383,Bdiv-1-002045
ACBK1g00384,.
ACBK1g00385,.
ACBK1g00386,Bdiv-1-002047
ACBK1g00387,Bdiv-1-002048
ACBK1g00388,.
ACBK1g00389,Bdiv-1-002050
ACBK1g00390,.
ACBK1g00391,Bdiv-1-002052
ACBK1g00392,Bdiv-1-002053
ACBK1g00393,.
ACBK1g00394,Bdiv-1-002055
ACBK1g00395,.
ACBK1g00396,Bdiv-1-002057
ACBK1g00397,Bdiv-1-002058
ACBK1g00398,Bdiv-1-002059
ACBK1g00399,Bdiv-1-002060
ACBK1g00400,.
ACBK1g00401,.
ACBK1g00402,Bdiv-1-002064
ACBK1g00403,Bdiv-1-002065
ACBK1g00404,Bdiv-1-002066
ACBK1g00405,Bdiv-1-002069
ACBK1g00406,Bdiv-1-002070
ACBK1g00407,Bdiv-1-002071
ACBK1g00408,Bdiv-1-002072
ACBK1g00409,Bdiv-1-002073
ACBK1g00410,Bdiv-1-002074
ACBK1g00411,Bdiv-1-002075
ACBK1g00412,.
ACBK1g00413,Bdiv-1-002077
ACBK1g00414,.
ACBK1g00415,Bdiv-1-002081
ACBK1g00416,.
ACBK1g00417,Bdiv-1-002083
ACBK1g00418,.
ACBK1g00419,.
ACBK1g00420,.
ACBK1g00421,.
ACBK1g00422,Bdiv-1-002087
ACBK1g00423,.
ACBK1g00424,.
ACBK1g00425,.
ACBK1g00426,.
ACBK1g00427,Bdiv-1-002089
ACBK1g00428,Bdiv-1-002092
ACBK1g00429,.
ACBK1g00430,Bdiv-1-002094
ACBK1g00431,Bdiv-1-002095
ACBK1g00432,Bdiv-1-002096
ACBK1g00433,Bdiv-1-002097
ACBK1g00434,.
ACBK1g00435,Bdiv-1-002099
ACBK1g00436,Bdiv-1-002100
ACBK1g00437,Bdiv-1-002101
ACBK1g00438,.
ACBK1g00439,Bdiv-1-002102
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Bdiv-1-002103
ACBK1g00443,Bdiv-1-002104
ACBK1g00444,Bdiv-1-002105
ACBK1g00445,Bdiv-1-002106
ACBK1g00446,Bdiv-1-002107
ACBK1g00447,.
ACBK1g00448,Bdiv-1-002108
ACBK1g00449,.
ACBK1g00450,Bdiv-1-002110
ACBK1g00451,Bdiv-1-002111
ACBK1g00452,Bdiv-1-002112
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Bdiv-1-002113
ACBK1g00457,Bdiv-1-002114
ACBK1g00458,.
ACBK1g00459,Bdiv-1-002116
ACBK1g00460,Bdiv-1-002117
ACBK1g00461,Bdiv-1-002118
ACBK1g00462,.
ACBK1g00463,Bdiv-1-002119
ACBK1g00464,Bdiv-1-002120
ACBK1g00465,.
ACBK1g00466,.
ACBK1g00467,Bdiv-1-002122
ACBK1g00468,Bdiv-1-002123
ACBK1g00469,.
ACBK1g00470,Bdiv-1-002124
ACBK1g00471,.
ACBK1g00472,.
ACBK1g00473,Bdiv-1-002127
ACBK1g00474,.
ACBK1g00475,Bdiv-1-002129
ACBK1g00476,Bdiv-1-002130
ACBK1g00477,Bdiv-1-002131
ACBK1g00478,Bdiv-1-002132
ACBK1g00479,.
ACBK1g00480,Bdiv-1-002133
ACBK1g00481,.
ACBK1g00482,Bdiv-1-002135
ACBK1g00483,Bdiv-1-002136
ACBK1g00484,Bdiv-1-002137
ACBK1g00485,Bdiv-1-002138
ACBK1g00486,.
ACBK1g00487,Bdiv-1-002140
ACBK1g00488,Bdiv-1-002141
ACBK1g00489,Bdiv-1-002142
ACBK1g00490,Bdiv-1-002143
ACBK1g00491,.
ACBK1g00492,Bdiv-1-002145
ACBK1g00493,.
ACBK1g00494,Bdiv-1-002147
ACBK1g00495,.
ACBK1g00496,Bdiv-1-002148
ACBK1g00497,Bdiv-1-002150
ACBK1g00498,Bdiv-1-002151
ACBK1g00499,Bdiv-1-002152
ACBK1g00500,.
ACBK1g00501,Bdiv-1-002154
ACBK1g00502,Bdiv-1-002155
ACBK1g00503,Bdiv-1-002156
ACBK1g00504,Bdiv-1-002157
ACBK1g00505,.
ACBK1g00506,Bdiv-1-002158
ACBK1g00507,Bdiv-1-002159
ACBK1g00508,Bdiv-1-002161
ACBK1g00509,.
ACBK1g00510,Bdiv-1-002163
ACBK1g00511,Bdiv-1-002164
ACBK1g00512,Bdiv-1-002165
ACBK1g00513,Bdiv-1-002167
ACBK1g00514,Bdiv-1-002169
ACBK1g00515,.
ACBK1g00516,Bdiv-1-002171
ACBK1g00517,Bdiv-1-002172
ACBK1g00518,.
ACBK1g00519,.
ACBK1g00520,Bdiv-1-002177
ACBK1g00521,Bdiv-1-002178
ACBK1g00522,Bdiv-1-002179
ACBK1g00523,Bdiv-1-002180
ACBK1g00524,Bdiv-1-002181
ACBK1g00525,Bdiv-1-002182
ACBK1g00526,Bdiv-1-002183
ACBK1g00527,.
ACBK1g00528,Bdiv-1-002184
ACBK1g00529,Bdiv-1-002185
ACBK1g00530,Bdiv-1-002187
ACBK1g00531,.
ACBK1g00532,Bdiv-1-002189
ACBK1g00533,Bdiv-1-002190
ACBK1g00534,Bdiv-1-002191
ACBK1g00535,.
ACBK1g00536,.
ACBK1g00537,Bdiv-1-002193
ACBK1g00538,Bdiv-1-002194
ACBK1g00539,Bdiv-1-002195
ACBK1g00540,Bdiv-1-002196
ACBK1g00541,Bdiv-1-002197
ACBK1g00542,Bdiv-1-002198
ACBK1g00543,Bdiv-1-002199
ACBK1g00544,Bdiv-1-002200
ACBK1g00545,.
ACBK1g00546,Bdiv-1-002203
ACBK1g00547,.
ACBK1g00548,Bdiv-1-002205
ACBK1g00549,.
ACBK1g00550,Bdiv-1-002208
ACBK1g00551,Bdiv-1-002209
ACBK1g00552,Bdiv-1-002210
ACBK1g00553,.
ACBK1g00554,.
ACBK1g00555,Bdiv-1-002212
ACBK1g00556,.
ACBK1g00557,Bdiv-1-002214
ACBK1g00558,Bdiv-1-002215
ACBK1g00559,.
ACBK1g00560,.
ACBK1g00561,.
ACBK1g00562,Bdiv-1-002217
ACBK1g00563,Bdiv-1-002218
ACBK1g00564,.
ACBK1g00565,Bdiv-1-002219
ACBK1g00566,Bdiv-1-002220
ACBK1g00567,Bdiv-1-002221
ACBK1g00568,Bdiv-1-002222
ACBK1g00569,Bdiv-1-002223
ACBK1g00570,Bdiv-1-002224
ACBK1g00571,Bdiv-1-002225
ACBK1g00572,.
ACBK1g00573,Bdiv-1-002227
ACBK1g00574,.
ACBK1g00575,.
ACBK1g00576,Bdiv-1-002231
ACBK1g00577,Bdiv-1-002233
ACBK1g00578,.
ACBK1g00579,.
ACBK1g00580,.
ACBK1g00581,Bdiv-1-002235
ACBK1g00582,Bdiv-1-002237
ACBK1g00583,Bdiv-1-002238
ACBK1g00584,Bdiv-1-002239
ACBK1g00585,Bdiv-1-002240
ACBK1g00586,.
ACBK1g00587,Bdiv-1-002243
ACBK1g00588,Bdiv-1-002244
ACBK1g00589,Bdiv-1-002245
ACBK1g00590,Bdiv-1-002246
ACBK1g00591,.
ACBK1g00592,.
ACBK1g00593,.
ACBK1g00594,Bdiv-1-002250
ACBK1g00595,Bdiv-1-002251
ACBK1g00596,.
ACBK1g00597,.
ACBK1g00598,Bdiv-1-002253
ACBK1g00599,Bdiv-1-002254
ACBK1g00600,.
ACBK1g00601,.
ACBK1g00602,Bdiv-1-002260
ACBK1g00603,Bdiv-1-002261
ACBK1g00604,Bdiv-1-002263
ACBK1g00605,Bdiv-1-002264
ACBK1g00606,.
ACBK1g00607,Bdiv-1-002266
ACBK1g00608,Bdiv-1-002267
ACBK1g00609,.
ACBK1g00610,Bdiv-1-002269
ACBK1g00611,.
ACBK1g00612,Bdiv-1-002271
ACBK1g00613,Bdiv-1-002272
ACBK1g00614,Bdiv-1-002273
ACBK1g00615,Bdiv-1-002274
ACBK1g00616,Bdiv-1-002275
ACBK1g00617,Bdiv-1-002276
ACBK1g00618,Bdiv-1-002277
ACBK1g00619,.
ACBK1g00620,.
ACBK1g00621,.
ACBK1g00622,Bdiv-1-002280
ACBK1g00623,Bdiv-1-002281
ACBK1g00624,.
ACBK1g00625,Bdiv-1-002283
ACBK1g00626,Bdiv-1-002284
ACBK1g00627,Bdiv-1-002285
ACBK1g00628,.
ACBK1g00629,Bdiv-1-002286
ACBK1g00630,Bdiv-1-002288
ACBK1g00631,.
ACBK1g00632,Bdiv-1-002291
ACBK1g00633,Bdiv-1-002292
ACBK1g00634,.
ACBK1g00635,Bdiv-1-002294
ACBK1g00636,Bdiv-1-002295
ACBK1g00637,Bdiv-1-002296
ACBK1g00638,Bdiv-1-002297
ACBK1g00639,Bdiv-1-002298
ACBK1g00640,.
ACBK1g00641,Bdiv-1-002300
ACBK1g00642,Bdiv-1-002301
ACBK1g00643,Bdiv-1-002302
ACBK1g00644,Bdiv-1-002303
ACBK1g00645,.
ACBK1g00646,.
ACBK1g00647,.
ACBK1g00648,Bdiv-1-002304
ACBK1g00649,Bdiv-1-002305
ACBK1g00650,Bdiv-1-002306
ACBK1g00651,Bdiv-1-002307
ACBK1g00652,Bdiv-1-002308
ACBK1g00653,.
ACBK1g00654,.
ACBK1g00655,.
ACBK1g00656,.
ACBK1g00657,.
ACBK1g00658,.
ACBK1g00659,Bdiv-1-002313
ACBK1g00660,Bdiv-1-002314
ACBK1g00661,Bdiv-1-002315
ACBK1g00662,Bdiv-1-002316
ACBK1g00663,.
ACBK1g00664,Bdiv-1-002320
ACBK1g00665,Bdiv-1-002321
ACBK1g00666,Bdiv-1-002325
ACBK1g00667,.
ACBK1g00668,Bdiv-1-002326
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Bdiv-1-002327
ACBK1g00672,Bdiv-1-002328
ACBK1g00673,Bdiv-1-002329
ACBK1g00674,Bdiv-1-002330
ACBK1g00675,.
ACBK1g00676,.
ACBK1g00677,Bdiv-1-002332
ACBK1g00678,Bdiv-1-002333
ACBK1g00679,Bdiv-1-002336
ACBK1g00680,.
ACBK1g00681,.
ACBK1g00682,Bdiv-1-002340
ACBK1g00683,Bdiv-1-002341
ACBK1g00684,.
ACBK1g00685,Bdiv-1-002343
ACBK1g00686,Bdiv-1-002344
ACBK1g00687,Bdiv-1-002346
ACBK1g00688,.
ACBK1g00689,Bdiv-1-002347
ACBK1g00690,Bdiv-1-002348
ACBK1g00691,Bdiv-1-002350
ACBK1g00692,.
ACBK1g00693,.
ACBK1g00694,Bdiv-1-002352
ACBK1g00695,Bdiv-1-002354
ACBK1g00696,Bdiv-1-002355
ACBK1g00697,Bdiv-1-002357
ACBK1g00698,Bdiv-1-002358
ACBK1g00699,Bdiv-1-002359
ACBK1g00700,Bdiv-1-002360
ACBK1g00701,Bdiv-1-002361
ACBK1g00702,.
ACBK1g00703,Bdiv-1-002364
ACBK1g00704,Bdiv-1-002365
ACBK1g00705,Bdiv-1-002366
ACBK1g00706,.
ACBK1g00707,Bdiv-1-002368
ACBK1g00708,.
ACBK1g00709,Bdiv-1-002370
ACBK1g00710,Bdiv-1-002371
ACBK1g00711,.
ACBK1g00712,.
ACBK1g00713,Bdiv-1-002374
ACBK1g00714,Bdiv-1-002375
ACBK1g00715,.
ACBK1g00716,Bdiv-1-002376
ACBK1g00717,Bdiv-1-002377
ACBK1g00718,.
ACBK1g00719,Bdiv-1-002380
ACBK1g00720,Bdiv-1-002381
ACBK1g00721,Bdiv-1-002382
ACBK1g00722,Bdiv-1-002383
ACBK1g00723,.
ACBK1g00724,.
ACBK1g00725,.
ACBK1g00726,Bdiv-1-002386
ACBK1g00727,Bdiv-1-002387
ACBK1g00728,Bdiv-1-002388
ACBK1g00729,.
ACBK1g00730,.
ACBK1g00731,Bdiv-1-002391
ACBK1g00732,.
ACBK1g00733,Bdiv-1-002392
ACBK1g00734,.
ACBK1g00735,Bdiv-1-002394
ACBK1g00736,Bdiv-1-002395
ACBK1g00737,Bdiv-1-002397
ACBK1g00738,Bdiv-1-002399
ACBK1g00739,.
ACBK1g00740,.
ACBK1g00741,Bdiv-1-002402
ACBK1g00742,Bdiv-1-002403
ACBK1g00743,Bdiv-1-002404
ACBK1g00744,Bdiv-1-002405
ACBK1g00745,Bdiv-1-002406
ACBK1g00746,Bdiv-1-002407
ACBK1g00747,Bdiv-1-002408
ACBK1g00748,Bdiv-1-002409
ACBK1g00749,Bdiv-1-002410
ACBK1g00750,Bdiv-1-002412
ACBK1g00751,Bdiv-1-002413
ACBK1g00752,.
ACBK1g00753,Bdiv-1-002415
ACBK1g00754,Bdiv-1-002416
ACBK1g00755,Bdiv-1-002417
ACBK1g00756,.
ACBK1g00757,Bdiv-1-002419
ACBK1g00758,Bdiv-1-002420
ACBK1g00759,Bdiv-1-002421
ACBK1g00760,Bdiv-1-002422
ACBK1g00761,Bdiv-1-002423
ACBK1g00762,Bdiv-1-002424
ACBK1g00763,Bdiv-1-002425
ACBK1g00764,Bdiv-1-002426
ACBK1g00765,Bdiv-1-002427
ACBK1g00766,Bdiv-1-002428
ACBK1g00767,Bdiv-1-002430
ACBK1g00768,Bdiv-1-002431
ACBK1g00769,.
ACBK1g00770,Bdiv-1-002433
ACBK1g00771,Bdiv-1-002434
ACBK1g00772,Bdiv-1-002435
ACBK1g00773,Bdiv-1-002436
ACBK1g00774,Bdiv-1-002437
ACBK1g00775,.
ACBK1g00776,Bdiv-1-002439
ACBK1g00777,Bdiv-1-002440
ACBK1g00778,Bdiv-1-002442
ACBK1g00779,.
ACBK1g00780,Bdiv-1-002444
ACBK1g00781,.
ACBK1g00782,Bdiv-1-002446
ACBK1g00783,.
ACBK1g00784,.
ACBK1g00785,Bdiv-1-002448
ACBK1g00786,Bdiv-1-002449
ACBK1g00787,Bdiv-1-002450
ACBK1g00788,Bdiv-1-002451
ACBK1g00789,Bdiv-1-002452
ACBK1g00790,.
ACBK1g00791,.
ACBK1g00792,.
ACBK1g00793,Bdiv-1-002453
ACBK1g00794,Bdiv-1-002454
ACBK1g00795,Bdiv-1-002455
ACBK1g00796,Bdiv-1-002456
ACBK1g00797,.
ACBK1g00798,.
ACBK1g00799,Bdiv-1-002457
ACBK1g00800,Bdiv-1-002458
ACBK1g00801,Bdiv-1-002459
ACBK1g00802,.
ACBK1g00803,.
ACBK1g00804,Bdiv-1-002462
ACBK1g00805,Bdiv-1-002463
ACBK1g00806,Bdiv-1-002465
ACBK1g00807,.
ACBK1g00808,Bdiv-1-002466
ACBK1g00809,Bdiv-1-002467
ACBK1g00810,Bdiv-1-002469
ACBK1g00811,.
ACBK1g00812,Bdiv-1-002470
ACBK1g00813,Bdiv-1-002472
ACBK1g00814,.
ACBK1g00815,Bdiv-1-002473
ACBK1g00816,.
ACBK1g00817,Bdiv-1-002474
ACBK1g00818,Bdiv-1-002475
ACBK1g00819,.
ACBK1g00820,.
ACBK1g00821,Bdiv-1-002478
ACBK1g00822,Bdiv-1-002479
ACBK1g00823,.
ACBK1g00824,Bdiv-1-002481
ACBK1g00825,.
ACBK1g00826,.
ACBK1g00827,Bdiv-1-002482
ACBK1g00828,Bdiv-1-002483
ACBK1g00829,Bdiv-1-002485
ACBK1g00830,Bdiv-1-002486
