ACBK1g00001,Ath-1-000118
ACBK1g00316,Ath-1-000323
ACBK1g00317,Ath-1-000324
ACBK1g00318,Ath-1-000325
ACBK1g00319,Ath-1-000326
ACBK1g00320,Ath-1-000327
ACBK1g00321,Ath-1-000328
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,Ath-1-000329
ACBK1g00327,Ath-1-000330
ACBK1g00328,Ath-1-000331
ACBK1g00329,Ath-1-000332
ACBK1g00330,Ath-1-000333
ACBK1g00331,Ath-1-000334
ACBK1g00332,Ath-1-000335
ACBK1g00333,Ath-1-000336
ACBK1g00334,Ath-1-000337
ACBK1g00335,Ath-1-000338
ACBK1g00336,Ath-1-000339
ACBK1g00337,Ath-1-000340
ACBK1g00338,Ath-1-000341
ACBK1g00339,Ath-1-000342
ACBK1g00340,Ath-1-000343
ACBK1g00341,Ath-1-000344
ACBK1g00342,Ath-1-000346
ACBK1g00343,Ath-1-000347
ACBK1g00344,Ath-1-000348
ACBK1g00345,Ath-1-000349
ACBK1g00346,.
ACBK1g00347,Ath-1-000350
ACBK1g00348,Ath-1-000351
ACBK1g00349,Ath-1-000352
ACBK1g00350,Ath-1-000353
ACBK1g00351,Ath-1-000354
ACBK1g00352,Ath-1-000355
ACBK1g00353,Ath-1-000356
ACBK1g00354,Ath-1-000358
ACBK1g00355,.
ACBK1g00356,Ath-1-000359
ACBK1g00357,Ath-1-000360
ACBK1g00358,Ath-1-000361
ACBK1g00359,.
ACBK1g00360,Ath-1-000362
ACBK1g00361,Ath-1-000363
ACBK1g00362,Ath-1-000364
ACBK1g00363,Ath-1-000365
ACBK1g00364,Ath-1-000366
ACBK1g00365,Ath-1-000367
ACBK1g00366,Ath-1-000368
ACBK1g00367,Ath-1-000369
ACBK1g00368,Ath-1-000370
ACBK1g00369,.
ACBK1g00370,Ath-1-000371
ACBK1g00371,Ath-1-000372
ACBK1g00372,Ath-1-000373
ACBK1g00373,Ath-1-000374
ACBK1g00374,Ath-1-000376
ACBK1g00375,Ath-1-000377
ACBK1g00376,Ath-1-000378
ACBK1g00377,Ath-1-000379
ACBK1g00378,Ath-1-000380
ACBK1g00379,Ath-1-000381
ACBK1g00380,.
ACBK1g00381,Ath-1-000383
ACBK1g00382,Ath-1-000384
ACBK1g00383,Ath-1-000385
ACBK1g00384,.
ACBK1g00385,Ath-1-000386
ACBK1g00386,Ath-1-000387
ACBK1g00387,Ath-1-000388
ACBK1g00388,Ath-1-000389
ACBK1g00389,Ath-1-000390
ACBK1g00390,.
ACBK1g00391,Ath-1-000392
ACBK1g00392,Ath-1-000393
ACBK1g00393,.
ACBK1g00394,Ath-1-000395
ACBK1g00395,Ath-1-000397
ACBK1g00396,Ath-1-000398
ACBK1g00397,Ath-1-000399
ACBK1g00398,Ath-1-000400
ACBK1g00399,Ath-1-000401
ACBK1g00400,Ath-1-000402
ACBK1g00401,Ath-1-000403
ACBK1g00402,Ath-1-000405
ACBK1g00403,Ath-1-000406
ACBK1g00404,Ath-1-000407
ACBK1g00405,.
ACBK1g00406,Ath-1-000409
ACBK1g00407,Ath-1-000410
ACBK1g00408,Ath-1-000411
ACBK1g00409,Ath-1-000412
ACBK1g00410,Ath-1-000413
ACBK1g00411,Ath-1-000414
ACBK1g00412,Ath-1-000415
ACBK1g00413,Ath-1-000416
ACBK1g00414,Ath-1-000417
ACBK1g00415,Ath-1-000419
ACBK1g00416,Ath-1-000422
ACBK1g00417,Ath-1-000423
ACBK1g00418,.
ACBK1g00419,.
ACBK1g00420,Ath-1-000424
ACBK1g00421,.
ACBK1g00422,Ath-1-000426
ACBK1g00423,Ath-1-000427
ACBK1g00424,.
ACBK1g00425,Ath-1-000429
ACBK1g00426,Ath-1-000431
ACBK1g00427,Ath-1-000432
ACBK1g00428,Ath-1-000434
ACBK1g00429,Ath-1-000435
ACBK1g00430,Ath-1-000436
ACBK1g00431,Ath-1-000437
ACBK1g00432,Ath-1-000438
ACBK1g00433,Ath-1-000439
ACBK1g00434,Ath-1-000440
ACBK1g00435,Ath-1-000441
ACBK1g00436,Ath-1-000442
ACBK1g00437,Ath-1-000444
ACBK1g00438,Ath-1-000445
ACBK1g00439,Ath-1-000446
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Ath-1-000447
ACBK1g00443,Ath-1-000448
ACBK1g00444,Ath-1-000449
ACBK1g00445,Ath-1-000450
ACBK1g00446,Ath-1-000451
ACBK1g00447,.
ACBK1g00448,Ath-1-000452
ACBK1g00449,Ath-1-000453
ACBK1g00450,Ath-1-000454
ACBK1g00451,Ath-1-000455
ACBK1g00452,Ath-1-000456
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Ath-1-000457
ACBK1g00457,Ath-1-000458
ACBK1g00458,Ath-1-000459
ACBK1g00459,Ath-1-000460
ACBK1g00460,.
ACBK1g00461,Ath-1-000463
ACBK1g00462,Ath-1-000465
ACBK1g00463,Ath-1-000466
ACBK1g00464,Ath-1-000467
ACBK1g00465,Ath-1-000468
ACBK1g00466,Ath-1-000469
ACBK1g00467,Ath-1-000470
ACBK1g00468,Ath-1-000471
ACBK1g00469,Ath-1-000472
ACBK1g00470,Ath-1-000473
ACBK1g00471,Ath-1-000474
ACBK1g00472,Ath-1-000475
ACBK1g00473,Ath-1-000477
ACBK1g00474,Ath-1-000478
ACBK1g00475,Ath-1-000479
ACBK1g00476,Ath-1-000480
ACBK1g00477,Ath-1-000481
ACBK1g00478,Ath-1-000482
ACBK1g00479,Ath-1-000483
ACBK1g00480,Ath-1-000484
ACBK1g00481,.
ACBK1g00482,Ath-1-000486
ACBK1g00483,Ath-1-000487
ACBK1g00484,Ath-1-000488
ACBK1g00485,Ath-1-000489
ACBK1g00486,Ath-1-000490
ACBK1g00487,Ath-1-000491
ACBK1g00488,Ath-1-000492
ACBK1g00489,Ath-1-000493
ACBK1g00490,Ath-1-000494
ACBK1g00491,Ath-1-000495
ACBK1g00492,Ath-1-000496
ACBK1g00493,Ath-1-000497
ACBK1g00494,Ath-1-000498
ACBK1g00495,.
ACBK1g00496,Ath-1-000500
ACBK1g00497,Ath-1-000505
ACBK1g00498,Ath-1-000506
ACBK1g00499,Ath-1-000507
ACBK1g00500,Ath-1-000508
ACBK1g00501,Ath-1-000509
ACBK1g00502,Ath-1-000510
ACBK1g00503,Ath-1-000511
ACBK1g00504,Ath-1-000512
ACBK1g00505,Ath-1-000513
ACBK1g00506,Ath-1-000514
ACBK1g00507,Ath-1-000515
ACBK1g00508,Ath-1-000517
ACBK1g00509,Ath-1-000518
ACBK1g00510,Ath-1-000519
ACBK1g00511,Ath-1-000520
ACBK1g00512,Ath-1-000521
ACBK1g00513,Ath-1-000522
ACBK1g00514,Ath-1-000523
ACBK1g00515,Ath-1-000525
ACBK1g00516,Ath-1-000526
ACBK1g00517,Ath-1-000527
ACBK1g00518,Ath-1-000528
ACBK1g00519,Ath-1-000530
ACBK1g00520,Ath-1-000531
ACBK1g00521,Ath-1-000533
ACBK1g00522,Ath-1-000534
ACBK1g00523,Ath-1-000535
ACBK1g00524,Ath-1-000536
ACBK1g00525,Ath-1-000537
ACBK1g00526,Ath-1-000538
ACBK1g00527,Ath-1-000539
ACBK1g00528,Ath-1-000540
ACBK1g00529,Ath-1-000542
ACBK1g00530,Ath-1-000543
ACBK1g00531,Ath-1-000544
ACBK1g00532,Ath-1-000545
ACBK1g00533,Ath-1-000546
ACBK1g00534,Ath-1-000547
ACBK1g00535,.
ACBK1g00536,Ath-1-000549
ACBK1g00537,Ath-1-000550
ACBK1g00538,Ath-1-000551
ACBK1g00539,Ath-1-000552
ACBK1g00540,Ath-1-000553
ACBK1g00541,Ath-1-000554
ACBK1g00542,Ath-1-000556
ACBK1g00543,Ath-1-000557
ACBK1g00544,Ath-1-000558
ACBK1g00545,.
ACBK1g00546,Ath-1-000561
ACBK1g00547,Ath-1-000562
ACBK1g00548,Ath-1-000563
ACBK1g00549,Ath-1-000564
ACBK1g00550,Ath-1-000565
ACBK1g00551,Ath-1-000566
ACBK1g00552,Ath-1-000567
ACBK1g00553,Ath-1-000568
ACBK1g00554,.
ACBK1g00555,Ath-1-000570
ACBK1g00556,Ath-1-000571
ACBK1g00557,Ath-1-000572
ACBK1g00558,Ath-1-000573
ACBK1g00559,Ath-1-000574
ACBK1g00560,Ath-1-000575
ACBK1g00561,.
ACBK1g00562,Ath-1-000576
ACBK1g00563,Ath-1-000577
ACBK1g00564,Ath-1-000578
ACBK1g00565,Ath-1-000579
ACBK1g00566,.
ACBK1g00567,Ath-1-000581
ACBK1g00568,Ath-1-000582
ACBK1g00569,Ath-1-000584
ACBK1g00570,Ath-1-000585
ACBK1g00571,Ath-1-000586
ACBK1g00572,Ath-1-000587
ACBK1g00573,Ath-1-000588
ACBK1g00574,Ath-1-000589
ACBK1g00575,Ath-1-000592
ACBK1g00576,Ath-1-000593
ACBK1g00577,Ath-1-000595
ACBK1g00578,Ath-1-000597
ACBK1g00579,Ath-1-000598
ACBK1g00580,Ath-1-000599
ACBK1g00581,Ath-1-000600
ACBK1g00582,Ath-1-000602
ACBK1g00583,Ath-1-000603
ACBK1g00584,Ath-1-000604
ACBK1g00585,Ath-1-000605
ACBK1g00586,Ath-1-000607
ACBK1g00587,Ath-1-000608
ACBK1g00588,Ath-1-000609
ACBK1g00589,Ath-1-000610
ACBK1g00590,Ath-1-000611
ACBK1g00591,Ath-1-000614
ACBK1g00592,Ath-1-000615
ACBK1g00593,Ath-1-000616
ACBK1g00594,Ath-1-000617
ACBK1g00595,Ath-1-000618
ACBK1g00596,Ath-1-000619
ACBK1g00597,Ath-1-000620
ACBK1g00598,Ath-1-000621
ACBK1g00599,Ath-1-000622
ACBK1g00600,Ath-1-000623
ACBK1g00601,.
ACBK1g00602,Ath-1-000626
ACBK1g00603,Ath-1-000627
ACBK1g00604,Ath-1-000629
ACBK1g00605,Ath-1-000630
ACBK1g00606,Ath-1-000631
ACBK1g00607,.
ACBK1g00608,Ath-1-000632
ACBK1g00609,Ath-1-000633
ACBK1g00610,Ath-1-000634
ACBK1g00611,Ath-1-000636
ACBK1g00612,Ath-1-000637
ACBK1g00613,Ath-1-000638
ACBK1g00614,Ath-1-000639
ACBK1g00615,Ath-1-000640
ACBK1g00616,Ath-1-000641
ACBK1g00617,Ath-1-000642
ACBK1g00618,Ath-1-000643
ACBK1g00619,Ath-1-000644
ACBK1g00620,.
ACBK1g00621,Ath-1-000646
ACBK1g00622,Ath-1-000647
ACBK1g00623,Ath-1-000648
ACBK1g00624,Ath-1-000649
ACBK1g00625,Ath-1-000650
ACBK1g00626,Ath-1-000651
ACBK1g00627,Ath-1-000653
ACBK1g00628,.
ACBK1g00629,Ath-1-000654
ACBK1g00630,Ath-1-000656
ACBK1g00631,Ath-1-000657
ACBK1g00632,Ath-1-000658
ACBK1g00633,Ath-1-000659
ACBK1g00634,Ath-1-000660
ACBK1g00635,Ath-1-000661
ACBK1g00636,Ath-1-000662
ACBK1g00637,Ath-1-000663
ACBK1g00638,Ath-1-000664
ACBK1g00639,Ath-1-000665
ACBK1g00640,Ath-1-000666
ACBK1g00641,Ath-1-000667
ACBK1g00642,Ath-1-000668
ACBK1g00643,Ath-1-000669
ACBK1g00644,Ath-1-000670
ACBK1g00645,Ath-1-000671
ACBK1g00646,Ath-1-000672
ACBK1g00647,.
ACBK1g00648,Ath-1-000673
ACBK1g00649,Ath-1-000674
ACBK1g00650,Ath-1-000675
ACBK1g00651,Ath-1-000676
ACBK1g00652,Ath-1-000677
ACBK1g00653,Ath-1-000679
ACBK1g00654,Ath-1-000680
ACBK1g00655,Ath-1-000681
ACBK1g00656,Ath-1-000682
ACBK1g00657,Ath-1-000683
ACBK1g00658,.
ACBK1g00659,Ath-1-000685
ACBK1g00660,Ath-1-000686
ACBK1g00661,Ath-1-000687
ACBK1g00662,Ath-1-000688
ACBK1g00663,Ath-1-000689
ACBK1g00664,Ath-1-000690
ACBK1g00665,.
ACBK1g00666,Ath-1-000691
ACBK1g00667,Ath-1-000692
ACBK1g00668,Ath-1-000693
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Ath-1-000696
ACBK1g00672,Ath-1-000697
ACBK1g00673,Ath-1-000698
ACBK1g00674,Ath-1-000699
ACBK1g00675,Ath-1-000700
ACBK1g00676,Ath-1-000701
ACBK1g00677,Ath-1-000702
ACBK1g00678,.
ACBK1g00679,Ath-1-000703
ACBK1g00680,Ath-1-000704
ACBK1g00681,.
ACBK1g00682,Ath-1-000706
ACBK1g00683,Ath-1-000707
ACBK1g00684,Ath-1-000708
ACBK1g00685,Ath-1-000709
ACBK1g00686,Ath-1-000710
ACBK1g00687,Ath-1-000713
ACBK1g00688,.
ACBK1g00689,Ath-1-000714
ACBK1g00690,Ath-1-000715
ACBK1g00691,Ath-1-000716
ACBK1g00692,.
ACBK1g00693,Ath-1-000719
ACBK1g00694,Ath-1-000721
ACBK1g00695,Ath-1-000723
ACBK1g00696,Ath-1-000724
ACBK1g00697,Ath-1-000725
ACBK1g00698,Ath-1-000726
ACBK1g00699,Ath-1-000728
ACBK1g00700,Ath-1-000729
ACBK1g00701,Ath-1-000731
ACBK1g00702,Ath-1-000732
ACBK1g00703,Ath-1-000733
ACBK1g00704,Ath-1-000734
ACBK1g00705,.
ACBK1g00706,Ath-1-000735
ACBK1g00707,Ath-1-000736
ACBK1g00708,Ath-1-000737
ACBK1g00709,Ath-1-000738
ACBK1g00710,Ath-1-000739
ACBK1g00711,Ath-1-000740
ACBK1g00712,Ath-1-000741
ACBK1g00713,Ath-1-000744
ACBK1g00714,Ath-1-000745
ACBK1g00715,Ath-1-000746
ACBK1g00716,Ath-1-000747
ACBK1g00717,Ath-1-000748
ACBK1g00718,Ath-1-000750
ACBK1g00719,Ath-1-000751
ACBK1g00720,Ath-1-000752
ACBK1g00721,Ath-1-000753
ACBK1g00722,Ath-1-000754
ACBK1g00723,Ath-1-000756
ACBK1g00724,Ath-1-000757
ACBK1g00725,Ath-1-000758
ACBK1g00726,Ath-1-000759
ACBK1g00727,Ath-1-000760
ACBK1g00728,Ath-1-000761
ACBK1g00729,Ath-1-000763
ACBK1g00730,.
ACBK1g00731,Ath-1-000765
ACBK1g00732,Ath-1-000766
ACBK1g00733,Ath-1-000767
ACBK1g00734,Ath-1-000768
ACBK1g00735,Ath-1-000769
ACBK1g00736,Ath-1-000770
ACBK1g00737,Ath-1-000771
ACBK1g00738,Ath-1-000773
ACBK1g00739,Ath-1-000774
ACBK1g00740,Ath-1-000775
ACBK1g00741,Ath-1-000776
ACBK1g00742,Ath-1-000777
ACBK1g00743,Ath-1-000778
ACBK1g00744,Ath-1-000779
ACBK1g00745,Ath-1-000781
ACBK1g00746,Ath-1-000782
ACBK1g00747,Ath-1-000783
ACBK1g00748,Ath-1-000784
ACBK1g00749,Ath-1-000785
ACBK1g00750,Ath-1-000787
ACBK1g00751,Ath-1-000788
ACBK1g00752,Ath-1-000789
ACBK1g00753,Ath-1-000790
ACBK1g00754,Ath-1-000791
ACBK1g00755,Ath-1-000792
ACBK1g00756,Ath-1-000793
ACBK1g00757,Ath-1-000794
ACBK1g00758,Ath-1-000795
ACBK1g00759,Ath-1-000796
ACBK1g00760,Ath-1-000797
ACBK1g00761,Ath-1-000798
ACBK1g00762,Ath-1-000799
ACBK1g00763,Ath-1-000800
ACBK1g00764,Ath-1-000801
ACBK1g00765,Ath-1-000802
ACBK1g00766,Ath-1-000803
ACBK1g00767,Ath-1-000804
ACBK1g00768,Ath-1-000805
ACBK1g00769,Ath-1-000806
ACBK1g00770,Ath-1-000807
ACBK1g00771,Ath-1-000808
ACBK1g00772,Ath-1-000809
ACBK1g00773,Ath-1-000810
ACBK1g00774,.
ACBK1g00775,Ath-1-000812
ACBK1g00776,Ath-1-000813
ACBK1g00777,Ath-1-000814
ACBK1g00778,Ath-1-000816
ACBK1g00779,Ath-1-000817
ACBK1g00780,Ath-1-000818
ACBK1g00781,Ath-1-000819
ACBK1g00782,Ath-1-000820
ACBK1g00783,Ath-1-000821
ACBK1g00784,Ath-1-000822
ACBK1g00785,Ath-1-000823
ACBK1g00786,Ath-1-000824
ACBK1g00787,Ath-1-000825
ACBK1g00788,Ath-1-000826
ACBK1g00789,Ath-1-000827
ACBK1g00790,.
ACBK1g00791,Ath-1-000828
ACBK1g00792,Ath-1-000829
ACBK1g00793,Ath-1-000830
ACBK1g00794,Ath-1-000831
ACBK1g00795,Ath-1-000832
ACBK1g00796,Ath-1-000833
ACBK1g00797,Ath-1-000835
ACBK1g00798,Ath-1-000836
ACBK1g00799,Ath-1-000838
ACBK1g00800,Ath-1-000839
ACBK1g00801,Ath-1-000840
ACBK1g00802,Ath-1-000841
ACBK1g00803,.
ACBK1g00804,Ath-1-000843
ACBK1g00805,Ath-1-000844
ACBK1g00806,Ath-1-000846
ACBK1g00807,.
ACBK1g00808,Ath-1-000847
ACBK1g00809,Ath-1-000848
ACBK1g00810,Ath-1-000851
ACBK1g00811,Ath-1-000852
ACBK1g00812,Ath-1-000853
ACBK1g00813,Ath-1-000855
ACBK1g00814,Ath-1-000856
