,Aare-4-000003,Aha-4-000001,Alsp-4-000002,Aru-a04-002343,,Asu-2-001210,Asu-9-000006,Ath-2-001391,,,Cen-7-002886,Cen-10-002845,Cfle-4-002886,Chivh-2-004894,Cla-7-02636,Cne-2-003890,Cpl-320-000004,Crub-4-000001,Csa-9-003557,Csa-7-002974,Csa-16-002824,Eche-7-002234,Esal-3-000009,Iind-5-003179,Mpe-12-000003,Mpyg-2-000094,Spar-4-000006,Tar-4-002763,,,
Aara-7-001434,Aare-4-000022,Aha-4-000018,Alsp-4-000019,Aru-a04-002332,Aru-b04-002325,Asu-2-001231,Asu-9-000023,Ath-2-001412,Bdiv-4-002960,Bst-4-000033,Cen-7-002875,Cen-10-002859,Cfle-4-002872,Chivh-2-004908,Cla-7-02625,Cne-2-003904,.,Crub-4-000014,Csa-9-003570,Csa-7-002986,Csa-16-002836,Eche-7-002250,Esal-3-000022,Iind-5-003188,Mpe-12-000020,Mpyg-2-000081,.,Tar-4-002750,,,
Aara-7-001433,Aare-4-000023,Aha-4-000019,Alsp-4-000020,.,.,Asu-2-001232,Asu-9-000024,Ath-2-001413,.,.,Cen-7-002874,Cen-10-002860,Cfle-4-002871,Chivh-2-004909,Cla-7-02624,Cne-2-003905,.,Crub-4-000015,Csa-9-003571,Csa-7-002987,Csa-16-002837,Eche-7-002251,Esal-3-000023,.,.,.,.,Tar-4-002749,,,
Aara-7-001432,Aare-4-000024,Aha-4-000020,Alsp-4-000021,Aru-a04-002331,Aru-b04-002324,Asu-2-001233,Asu-9-000025,Ath-2-001414,Bdiv-4-002947,Bst-4-000038,Cen-7-002873,Cen-10-002861,Cfle-4-002870,Chivh-2-004910,Cla-7-02623,Cne-2-003906,Cpl-320-000020,Crub-4-000016,Csa-9-003572,Csa-7-002988,Csa-16-002838,Eche-7-002252,Esal-3-000024,Iind-5-003187,Mpe-12-000021,Mpyg-2-000080,Spar-4-000020,Tar-4-002748,,,
Aara-7-001431,Aare-4-000025,Aha-4-000021,Alsp-4-000022,Aru-a04-002330,Aru-b04-002323,Asu-2-001234,Asu-9-000026,Ath-2-001415,Bdiv-4-002943,Bst-4-000043,Cen-7-002872,Cen-10-002873,Cfle-4-002868,Chivh-2-004911,Cla-7-02622,Cne-2-003907,.,Crub-4-000017,Csa-9-003573,Csa-7-002989,Csa-16-002839,Eche-7-002253,Esal-3-000025,Iind-5-003186,Mpe-12-000022,Mpyg-2-000079,.,Tar-4-002747,,,
.,Aare-4-000026,Aha-4-000022,Alsp-4-000023,.,.,Asu-2-001235,Asu-9-000027,Ath-2-001416,.,Bst-4-000044,Cen-7-002871,Cen-10-002872,Cfle-4-002867,Chivh-2-004912,Cla-7-02621,Cne-2-003908,.,Crub-4-000018,Csa-9-003574,Csa-7-002990,Csa-16-002840,Eche-7-002254,.,Iind-5-003185,Mpe-12-000023,.,.,Tar-4-002746,,,
Aara-7-001430,Aare-4-000027,Aha-4-000023,Alsp-4-000024,Aru-a04-002329,Aru-b04-002322,Asu-2-001236,Asu-9-000028,Ath-2-001417,Bdiv-4-002941,Bst-4-000045,Cen-7-002869,Cen-10-002871,Cfle-4-002866,Chivh-2-004913,Cla-7-02620,Cne-2-003909,Cpl-320-000022,Crub-4-000019,Csa-9-003575,Csa-7-002991,Csa-16-002841,Eche-7-002255,Esal-3-000026,Iind-5-003184,Mpe-12-000024,Mpyg-2-000078,Spar-4-000022,Tar-4-002745,,,
Aara-7-001429,Aare-4-000028,Aha-4-000024,Alsp-4-000025,.,Aru-b04-002321,Asu-2-001237,Asu-9-000029,Ath-2-001418,Bdiv-4-002940,Bst-4-000046,Cen-7-002868,Cen-10-002870,Cfle-4-002865,Chivh-2-004914,Cla-7-02619,.,Cpl-320-000023,Crub-4-000020,Csa-9-003576,.,Csa-16-002842,Eche-7-002256,Esal-3-000027,Iind-5-003183,Mpe-12-000025,Mpyg-2-000077,Spar-4-000023,Tar-4-002744,,,
.,.,Aha-4-000025,Alsp-4-000026,.,.,Asu-2-001238,Asu-9-000030,Ath-2-001419,Bdiv-4-002939,Bst-4-000047,Cen-7-002867,Cen-10-002869,.,.,.,Cne-2-003910,.,Crub-4-000021,Csa-9-003577,Csa-7-002992,Csa-16-002843,Eche-7-002257,.,.,Mpe-12-000026,.,.,.,,,
.,.,Aha-4-000026,Alsp-4-000027,Aru-a04-002327,.,Asu-2-001240,Asu-9-000034,Ath-2-001420,Bdiv-4-002937,Bst-4-000049,Cen-7-002866,Cen-10-002868,Cfle-4-002862,.,Cla-7-02618,.,Cpl-320-000025,Crub-4-000022,Csa-9-003578,Csa-7-002993,Csa-16-002844,Eche-7-002258,Esal-3-000028,Iind-5-003182,Mpe-12-000027,Mpyg-2-000075,Spar-4-000025,Tar-4-002742,,,
.,Aare-4-000029,Aha-4-000027,Alsp-4-000028,.,.,Asu-2-001241,Asu-9-000035,Ath-2-001421,Bdiv-4-002936,Bst-4-000050,Cen-7-002865,Cen-10-002867,Cfle-4-002861,Chivh-2-004915,.,Cne-2-003911,.,Crub-4-000023,Csa-9-003579,Csa-7-002994,Csa-16-002845,.,.,Iind-5-003154,Mpe-12-000028,.,.,Tar-4-002739,,,
.,Aare-4-000034,Aha-4-000028,Alsp-4-000031,Aru-a04-002325,Aru-b04-002318,Asu-2-001243,Asu-9-000037,Ath-2-001423,.,Bst-4-000052,Cen-7-002864,Cen-10-002865,Cfle-4-002860,Chivh-2-004916,Cla-7-02616,Cne-2-003912,.,Crub-4-000024,Csa-9-003580,Csa-7-002995,Csa-16-002846,.,.,.,Mpe-12-000030,.,.,Tar-4-002738,,,
Aara-7-001405,Aare-4-000035,Aha-4-000029,Alsp-4-000032,.,.,Asu-2-001244,Asu-9-000038,Ath-2-001424,.,Bst-4-000053,Cen-7-002911,Cen-10-002864,Cfle-4-002859,Chivh-2-004917,Cla-7-02615,Cne-2-003913,Cpl-320-000027,Crub-4-000025,Csa-9-003581,Csa-7-002996,.,Eche-7-002261,Esal-3-000030,Iind-5-003149,Mpe-12-000031,Mpyg-2-000072,Spar-4-000027,.,,,
Aara-7-001404,Aare-4-000036,Aha-4-000030,Alsp-4-000033,.,.,Asu-2-001245,Asu-9-000039,Ath-2-001425,Bdiv-4-002932,Bst-4-000054,.,.,.,Chivh-2-004918,Cla-7-02614,.,Cpl-320-000028,Crub-4-000026,Csa-9-003582,Csa-7-002997,Csa-16-002848,.,Esal-3-000031,Iind-5-003145,Mpe-12-000032,Mpyg-2-000071,Spar-4-000028,Tar-4-002737,,,
.,.,Aha-4-000031,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000027,.,.,.,.,.,.,.,.,.,.,,,
.,Aare-4-000037,Aha-4-000032,Alsp-4-000035,Aru-a04-002324,.,Asu-2-001247,Asu-9-000041,Ath-2-001427,Bdiv-4-002931,Bst-4-000055,.,Cen-10-002862,Cfle-4-002858,Chivh-2-004919,Cla-7-02612,Cne-2-003915,.,Crub-4-000028,Csa-9-003583,Csa-7-002998,Csa-16-002849,Eche-7-002264,Esal-3-000032,Iind-5-003143,.,.,.,Tar-4-002736,,,
Aara-7-001402,Aare-4-000038,Aha-4-000033,Alsp-4-000036,Aru-a04-002323,Aru-b04-002313,Asu-2-001248,Asu-9-000042,Ath-2-001428,Bdiv-4-002930,Bst-4-000056,Cen-7-002913,Cen-10-002875,Cfle-4-002857,Chivh-2-004920,Cla-7-02611,Cne-2-003916,.,Crub-4-000029,Csa-9-003584,Csa-7-002999,Csa-16-002850,Eche-7-002265,Esal-3-000034,Iind-5-003142,Mpe-12-000035,Mpyg-2-000068,Spar-4-000029,.,,,
Aara-7-001401,Aare-4-000039,Aha-4-000034,Alsp-4-000037,Aru-a04-002322,Aru-b04-002314,Asu-2-001249,Asu-9-000043,Ath-2-001429,Bdiv-4-002929,Bst-4-000057,Cen-7-002914,Cen-10-002876,Cfle-4-002856,Chivh-2-004921,Cla-7-02610,Cne-2-003917,Cpl-320-000030,Crub-4-000030,Csa-9-003585,.,Csa-16-002851,Eche-7-002266,Esal-3-000035,Iind-5-003141,Mpe-12-000036,Mpyg-2-000067,Spar-4-000030,Tar-4-002735,,,
Aara-7-001400,Aare-4-000042,Aha-4-000036,Alsp-4-000039,Aru-a04-002321,Aru-b04-002315,Asu-2-001251,Asu-9-000045,Ath-2-001431,Bdiv-4-002928,Bst-4-000058,Cen-7-002916,Cen-10-002878,Cfle-4-002854,Chivh-2-004922,Cla-7-02609,Cne-2-003918,Cpl-320-000031,Crub-4-000031,Csa-9-003586,Csa-7-003000,Csa-16-002852,.,Esal-3-000036,Iind-5-003140,Mpe-12-000037,Mpyg-2-000066,Spar-4-000031,Tar-4-002734,,,
Aara-7-001399,Aare-4-000043,Aha-4-000037,Alsp-4-000040,Aru-a04-002320,Aru-b04-002316,Asu-2-001252,Asu-9-000046,Ath-2-001432,Bdiv-4-002927,Bst-4-000059,Cen-7-002917,Cen-10-002879,Cfle-4-002853,.,Cla-7-02608,Cne-2-003919,Cpl-320-000032,Crub-4-000032,Csa-9-003588,Csa-7-003001,Csa-16-002853,.,Esal-3-000037,Iind-5-003139,Mpe-12-000038,Mpyg-2-000064,Spar-4-000032,Tar-4-002733,,,
Aara-7-001398,Aare-4-000044,Aha-4-000038,Alsp-4-000041,.,.,Asu-2-001253,Asu-9-000047,Ath-2-001433,Bdiv-4-002926,Bst-4-000060,Cen-7-002918,Cen-10-002880,Cfle-4-002852,Chivh-2-004924,Cla-7-02607,Cne-2-003920,Cpl-320-000033,Crub-4-000033,Csa-9-003589,Csa-7-003002,Csa-16-002854,Eche-7-002268,Esal-3-000038,Iind-5-003138,Mpe-12-000039,Mpyg-2-000063,Spar-4-000033,Tar-4-002732,,,
Aara-7-001397,.,Aha-4-000039,Alsp-4-000042,Aru-a04-002319,Aru-b04-002317,Asu-2-001254,Asu-9-000048,Ath-2-001434,.,.,Cen-7-002919,Cen-10-002881,.,.,Cla-7-02606,.,Cpl-320-000034,Crub-4-000034,Csa-9-003590,Csa-7-003003,Csa-16-002855,Eche-7-002269,Esal-3-000039,Iind-5-003137,Mpe-12-000040,Mpyg-2-000062,Spar-4-000034,Tar-4-002731,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000035,.,.,.,.,.,.,.,.,.,.,,,
Aara-7-001396,Aare-4-000047,.,Alsp-4-000043,.,.,Asu-2-001255,Asu-9-000049,Ath-2-001435,Bdiv-4-002923,Bst-4-000061,Cen-7-002920,Cen-10-002882,Cfle-4-002851,Chivh-2-004925,Cla-7-02605,Cne-2-003921,.,Crub-4-000036,Csa-9-003591,Csa-7-003004,Csa-16-002857,.,Esal-3-000040,Iind-5-003136,Mpe-12-000041,Mpyg-2-000061,.,Tar-4-002730,,,
.,Aare-4-000048,Aha-4-000042,Alsp-4-000044,Aru-a04-002318,.,Asu-2-001256,Asu-9-000050,Ath-2-001436,Bdiv-4-002921,Bst-4-000063,Cen-7-002921,Cen-10-002883,Cfle-4-002850,Chivh-2-004926,Cla-7-02604,Cne-2-003922,.,Crub-4-000037,Csa-9-003592,Csa-7-003005,Csa-16-002858,Eche-7-002270,Esal-3-000041,Iind-5-003135,Mpe-12-000042,Mpyg-2-000060,.,Tar-4-002729,,,
Aara-7-001395,Aare-4-000049,Aha-4-000043,Alsp-4-000045,.,Aru-b04-002312,Asu-2-001257,Asu-9-000051,Ath-2-001437,.,Bst-4-000064,Cen-7-002922,Cen-10-002884,.,Chivh-2-004927,Cla-7-02603,.,Cpl-320-000037,Crub-4-000038,Csa-9-003593,Csa-7-003006,Csa-16-002859,Eche-7-002271,Esal-3-000042,Iind-5-003134,Mpe-12-000043,Mpyg-2-000059,Spar-4-000037,Tar-4-002728,,,
Aara-7-001394,.,Aha-4-000044,Alsp-4-000047,Aru-a04-002317,Aru-b04-002311,Asu-2-001259,Asu-9-000053,Ath-2-001439,.,Bst-4-000065,Cen-7-002923,Cen-10-002887,.,.,Cla-7-02601,.,Cpl-320-000039,Crub-4-000039,Csa-9-003595,Csa-7-003008,Csa-16-002861,Eche-7-002272,Esal-3-000043,Iind-5-003132,Mpe-12-000045,Mpyg-2-000057,Spar-4-000039,Tar-4-002727,,,
Aara-7-001391,Aare-4-000051,Aha-4-000046,Alsp-4-000048,.,.,Asu-2-001260,Asu-9-000054,Ath-2-001440,Bdiv-4-002918,Bst-4-000066,Cen-7-002924,Cen-10-002888,Cfle-4-002846,Chivh-2-004929,Cla-7-02598,Cne-2-003926,Cpl-320-000040,Crub-4-000040,Csa-9-003596,Csa-7-003009,Csa-16-002862,Eche-7-002273,Esal-3-000044,Iind-5-003130,Mpe-12-000046,Mpyg-2-000056,Spar-4-000040,Tar-4-002726,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000041,.,.,.,.,.,.,.,.,.,.,,,
.,Aare-4-000052,Aha-4-000047,Alsp-4-000049,Aru-a04-002316,.,Asu-2-001261,Asu-9-000055,Ath-2-001441,Bdiv-4-002917,Bst-4-000067,Cen-7-002925,Cen-10-002889,.,Chivh-2-004930,Cla-7-02597,Cne-2-003927,Cpl-320-000041,Crub-4-000042,Csa-9-003597,Csa-7-003010,Csa-16-002863,Eche-7-002274,Esal-3-000045,Iind-5-003121,Mpe-12-000047,Mpyg-2-000055,Spar-4-000041,.,,,
Aara-7-001390,Aare-4-000053,.,Alsp-4-000050,Aru-a04-002315,Aru-b04-002309,Asu-2-001262,Asu-9-000056,Ath-2-001442,Bdiv-4-002916,Bst-4-000068,Cen-7-002926,Cen-10-002890,Cfle-4-002844,Chivh-2-004931,Cla-7-02596,Cne-2-003928,Cpl-320-000043,Crub-4-000043,Csa-9-003599,Csa-7-003011,Csa-16-002864,.,Esal-3-000046,Iind-5-003119,Mpe-12-000048,Mpyg-2-000053,.,Tar-4-002725,,,
Aara-7-001389,Aare-4-000056,Aha-4-000048,Alsp-4-000052,Aru-a04-002312,Aru-b04-002308,Asu-2-001263,Asu-9-000057,Ath-2-001443,Bdiv-4-002898,Bst-4-000073,Cen-7-002927,.,.,Chivh-2-004934,.,Cne-2-003930,Cpl-320-000044,Crub-4-000044,Csa-9-003602,Csa-7-003013,Csa-16-002865,Eche-7-002275,.,.,Mpe-12-000050,Mpyg-2-000052,Spar-4-000043,Tar-4-002724,,,
Aara-7-001386,Aare-4-000057,Aha-4-000049,Alsp-4-000053,Aru-a04-002311,Aru-b04-002307,Asu-2-001264,Asu-9-000058,Ath-2-001444,Bdiv-4-002899,Bst-4-000074,Cen-7-002928,Cen-10-002892,Cfle-4-002841,Chivh-2-004936,Cla-7-02588,Cne-2-003931,.,Crub-4-000045,Csa-9-003603,.,Csa-16-002866,Eche-7-002276,Esal-3-000047,Iind-5-003118,Mpe-12-000051,Mpyg-2-000051,.,Tar-4-002722,,,
.,Aare-4-000058,Aha-4-000050,Alsp-4-000054,.,Aru-b04-002306,Asu-2-001265,Asu-9-000059,Ath-2-001445,Bdiv-4-002900,Bst-4-000075,.,Cen-10-002894,Cfle-4-002840,Chivh-2-004937,Cla-7-02584,Cne-2-003932,.,Crub-4-000046,Csa-9-003604,Csa-7-003014,Csa-16-002867,Eche-7-002277,.,.,.,.,.,.,,,
.,.,Aha-4-000051,Alsp-4-000055,Aru-a04-002310,Aru-b04-002305,Asu-2-001266,Asu-9-000060,Ath-2-001446,.,.,.,Cen-10-002895,.,.,.,.,.,Crub-4-000047,.,.,.,Eche-7-002278,Esal-3-000049,Iind-5-003116,Mpe-12-000053,.,.,Tar-4-002720,,,
.,Aare-4-000059,.,Alsp-4-000056,Aru-a04-002309,Aru-b04-002304,Asu-2-001267,Asu-9-000061,Ath-2-001447,.,.,Cen-7-002929,Cen-10-002896,.,Chivh-2-004938,Cla-7-02583,Cne-2-003933,Cpl-320-000046,Crub-4-000048,Csa-9-003605,Csa-7-003015,Csa-16-002868,.,Esal-3-000051,Iind-5-003115,Mpe-12-000054,Mpyg-2-000050,Spar-4-000045,Tar-4-002712,,,
Aara-7-001385,Aare-4-000060,Aha-4-000052,Alsp-4-000057,.,Aru-b04-002303,Asu-2-001268,Asu-9-000062,Ath-2-001448,.,.,Cen-7-002930,Cen-10-002897,Cfle-4-002838,.,.,Cne-2-003934,.,Crub-4-000049,Csa-9-003606,.,Csa-16-002869,.,Esal-3-000052,.,.,Mpyg-2-000049,.,.,,,
Aara-7-001384,Aare-4-000061,Aha-4-000054,Alsp-4-000060,Aru-a04-002308,Aru-b04-002301,Asu-2-001270,Asu-9-000064,Ath-2-001451,Bdiv-4-002910,Bst-4-000083,Cen-7-002932,Cen-10-002901,Cfle-4-002837,.,Cla-7-02581,Cne-2-003935,Cpl-320-000047,Crub-4-000050,Csa-9-003607,Csa-7-003016,.,Eche-7-002286,Esal-3-000053,Iind-5-003114,Mpe-12-000055,Mpyg-2-000047,Spar-4-000046,Tar-4-002708,,,
Aara-7-001383,Aare-4-000062,Aha-4-000055,Alsp-4-000061,Aru-a04-002306,.,Asu-2-001271,Asu-9-000065,Ath-2-001452,Bdiv-4-002911,Bst-4-000084,Cen-7-002933,Cen-10-002902,.,Chivh-2-004941,Cla-7-02580,Cne-2-003936,Cpl-320-000048,Crub-4-000051,Csa-9-003608,Csa-7-003017,Csa-16-002870,Eche-7-002287,Esal-3-000054,Iind-5-003113,Mpe-12-000056,Mpyg-2-000046,.,Tar-4-002707,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-4-000052,.,.,.,.,.,.,.,.,.,.,,,
Aara-7-001381,Aare-4-000064,.,Alsp-4-000063,Aru-a04-002304,Aru-b04-002300,Asu-2-001273,Asu-9-000067,Ath-2-001454,Bdiv-4-002913,Bst-4-000086,.,Cen-10-002904,Cfle-4-002834,Chivh-2-004943,.,Cne-2-003938,Cpl-320-000049,Crub-4-000053,Csa-9-003610,Csa-7-003019,Csa-16-002872,.,Esal-3-000056,Iind-5-003111,Mpe-12-000058,Mpyg-2-000045,Spar-4-000048,Tar-4-002705,,,
Aara-7-001380,Aare-4-000065,Aha-4-000057,Alsp-4-000064,Aru-a04-002303,.,Asu-2-001274,Asu-9-000068,Ath-2-001455,Bdiv-4-002895,Bst-4-000087,.,Cen-10-002905,Cfle-4-002832,.,Cla-7-02579,Cne-2-003939,Cpl-320-000050,Crub-4-000054,Csa-9-003611,Csa-7-003020,Csa-16-002873,Eche-7-002289,Esal-3-000057,Iind-5-003110,Mpe-12-000059,Mpyg-2-000044,Spar-4-000049,Tar-4-002704,,,
Aara-7-001378,Aare-4-000067,Aha-4-000060,Alsp-4-000065,Aru-a04-002302,.,Asu-2-001275,Asu-9-000070,Ath-2-001456,Bdiv-4-002889,Bst-4-000092,Cen-7-002936,Cen-10-002907,Cfle-4-002831,.,Cla-7-02578,Cne-2-003940,.,Crub-4-000055,Csa-9-003612,Csa-7-003021,Csa-16-002874,Eche-7-002291,Esal-3-000062,Iind-5-003108,Mpe-12-000060,.,.,Tar-4-002703,,,
.,Aare-4-000068,Aha-4-000061,Alsp-4-000066,.,.,Asu-2-001276,Asu-9-000071,Ath-2-001457,.,Bst-4-000093,.,Cen-10-002908,Cfle-4-002830,.,Cla-7-02577,Cne-2-003941,Cpl-320-000051,Crub-4-000056,Csa-9-003613,Csa-7-003022,Csa-16-002875,Eche-7-002292,Esal-3-000063,.,Mpe-12-000061,Mpyg-2-000043,Spar-4-000050,Tar-4-002702,,,
Aara-7-001377,.,.,Alsp-4-000067,Aru-a04-002301,Aru-b04-002299,Asu-2-001277,Asu-9-000072,Ath-2-001458,Bdiv-4-002888,Bst-4-000094,Cen-7-002937,Cen-10-002909,Cfle-4-002829,Chivh-2-004947,Cla-7-02576,.,Cpl-320-000052,Crub-4-000057,Csa-9-003614,Csa-7-003023,.,.,Esal-3-000064,Iind-5-003107,.,Mpyg-2-000042,Spar-4-000051,Tar-4-002701,,,
.,.,Aha-4-000062,Alsp-4-000068,.,Aru-b04-002297,Asu-2-001278,Asu-9-000073,Ath-2-001459,Bdiv-4-002887,Bst-4-000095,Cen-7-002938,Cen-10-002910,.,Chivh-2-004948,Cla-7-02575,Cne-2-003943,.,Crub-4-000058,Csa-9-003616,Csa-7-003025,Csa-16-002876,.,Esal-3-000068,Iind-5-003106,Mpe-12-000062,Mpyg-2-000041,.,Tar-4-002700,,,
Aara-7-001376,Aare-4-000071,.,Alsp-4-000069,.,.,Asu-2-001279,Asu-9-000074,Ath-2-001460,Bdiv-4-002886,Bst-4-000096,Cen-7-002940,Cen-10-002912,Cfle-4-002827,Chivh-2-004949,.,.,Cpl-320-000054,Crub-4-000059,Csa-9-003617,Csa-7-003026,Csa-16-002877,.,.,Iind-5-003105,Mpe-12-000063,Mpyg-2-000040,Spar-4-000053,Tar-4-002699,,,
Aara-7-001369,Aare-4-000073,Aha-4-000063,Alsp-4-000070,Aru-a04-002299,Aru-b04-002294,Asu-2-001280,Asu-9-000075,Ath-2-001461,Bdiv-4-002885,Bst-4-000097,Cen-7-002941,Cen-10-002916,Cfle-4-002826,Chivh-2-004950,.,Cne-2-003944,Cpl-320-000055,Crub-4-000060,Csa-9-003618,Csa-7-003027,Csa-16-002878,Eche-7-002294,.,Iind-5-003101,Mpe-12-000064,Mpyg-2-000039,Spar-4-000054,.,,,
Aara-7-001368,Aare-4-000074,Aha-4-000064,Alsp-4-000071,Aru-a04-002298,Aru-b04-002293,Asu-2-001281,Asu-9-000077,Ath-2-001462,Bdiv-4-002877,.,Cen-7-002942,Cen-10-002917,.,Chivh-2-004951,Cla-7-02574,Cne-2-003945,Cpl-320-000056,Crub-4-000061,Csa-9-003619,Csa-7-003028,Csa-16-002879,Eche-7-002295,Esal-3-000071,Iind-5-003100,Mpe-12-000065,Mpyg-2-000038,.,Tar-4-002698,,,
