,Aare-2-000003,Aha-2-000001,Alsp-2-000002,Aru-a02-002015,Aru-b02-000006,Asu-1-005099,Asu-7-000002,Ath-1-005393,Bdiv-1-001742,Bst-1-003188,,Cen-14-002794,Cfle-7-002488,Chivh-2-006206,Cla-5-02337,Cne-2-005372,Cpl-481-000002,Crub-2-000001,Csa-9-004813,,Csa-16-004146,Eche-4-000017,Esal-2-003258,Iind-1-003667,Mpe-14-000712,,Spar-2-000001,,,,
Aara-2-000142,Aare-2-000019,Aha-2-000022,Alsp-2-000021,Aru-a02-001999,.,Asu-1-005079,Asu-7-000020,Ath-1-005373,Bdiv-1-001759,Bst-1-003172,Cen-6-002670,Cen-14-002775,Cfle-7-002469,Chivh-2-006190,Cla-5-02321,Cne-2-005354,Cpl-481-000018,Crub-2-000018,Csa-9-004796,Csa-7-004315,Csa-16-004135,Eche-4-000004,Esal-2-003236,Iind-1-003650,Mpe-14-000695,Mpyg-6-002044,Spar-2-000017,Tar-2-003188,,,
Aara-2-000141,Aare-2-000020,Aha-2-000023,Alsp-2-000022,Aru-a02-001998,Aru-b02-000020,Asu-1-005076,Asu-7-000021,Ath-1-005371,Bdiv-1-001760,Bst-1-003171,Cen-6-002671,Cen-14-002774,Cfle-7-002468,Chivh-2-006189,Cla-5-02320,Cne-2-005352,Cpl-481-000019,Crub-2-000019,Csa-9-004795,Csa-7-004314,Csa-16-004133,Eche-4-000003,Esal-2-003235,Iind-1-003648,Mpe-14-000694,Mpyg-6-002042,Spar-2-000018,Tar-2-003187,,,
.,.,.,.,.,.,.,.,.,.,.,.,Cen-14-002772,.,.,.,.,.,Crub-2-000020,.,.,.,.,.,.,.,.,.,.,,,
Aara-2-000138,.,Aha-2-000026,Alsp-2-000025,Aru-a02-001996,Aru-b02-000025,Asu-1-005073,Asu-7-000025,Ath-1-005369,.,Bst-1-003165,Cen-6-000021,Cen-14-002771,.,.,Cla-5-02317,Cne-2-005349,Cpl-481-000023,Crub-2-000021,Csa-9-004792,Csa-7-004313,Csa-16-004131,Eche-4-000023,Esal-2-003234,Iind-1-003645,Mpe-14-000690,Mpyg-6-002039,Spar-2-000021,Tar-2-003185,,,
Aara-2-000137,.,Aha-2-000027,Alsp-2-000026,Aru-a02-001995,Aru-b02-000026,Asu-1-005072,Asu-7-000026,Ath-1-005368,.,Bst-1-003164,Cen-6-000022,Cen-14-002770,Cfle-7-002465,Chivh-2-006185,Cla-5-02316,Cne-2-005348,Cpl-481-000024,Crub-2-000022,Csa-9-004791,Csa-7-004312,.,Eche-4-000024,Esal-2-003233,.,Mpe-14-000689,Mpyg-6-002038,Spar-2-000022,Tar-2-003184,,,
Aara-2-000136,.,Aha-2-000028,Alsp-2-000027,Aru-a02-001994,Aru-b02-000027,Asu-1-005071,Asu-7-000027,Ath-1-005367,Bdiv-1-001772,.,Cen-6-000023,Cen-14-002769,.,.,Cla-5-02315,Cne-2-005347,.,Crub-2-000023,Csa-9-004790,Csa-7-004311,Csa-16-004130,.,Esal-2-003232,Iind-1-003643,Mpe-14-000688,Mpyg-6-002037,.,Tar-2-003183,,,
.,Aare-2-000026,Aha-2-000029,Alsp-2-000028,Aru-a02-001993,.,Asu-1-005070,Asu-7-000028,Ath-1-005366,Bdiv-1-001773,Bst-1-003162,Cen-6-000024,Cen-14-002768,Cfle-7-002463,Chivh-2-006183,Cla-5-02314,Cne-2-005346,.,Crub-2-000024,Csa-9-004789,Csa-7-004310,Csa-16-004129,Eche-4-000025,Esal-2-003231,Iind-1-003641,Mpe-14-000687,Mpyg-6-002036,Spar-2-000024,Tar-2-003182,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-2-000025,.,.,.,.,.,.,.,.,.,.,,,
Aara-2-000135,Aare-2-000027,Aha-2-000030,Alsp-2-000029,Aru-a02-001992,Aru-b02-000028,Asu-1-005069,Asu-7-000029,Ath-1-005365,Bdiv-1-001774,Bst-1-003161,.,.,.,Chivh-2-006181,.,Cne-2-005345,.,Crub-2-000026,Csa-9-004788,Csa-7-004309,Csa-16-004127,Eche-4-000026,Esal-2-003230,Iind-1-003640,Mpe-14-000686,Mpyg-6-002035,.,Tar-2-003181,,,
.,Aare-2-000029,.,Alsp-2-000031,.,.,.,Asu-7-000030,.,.,.,.,.,.,.,.,.,.,Crub-2-000027,.,.,.,.,.,.,.,Mpyg-6-002034,.,Tar-2-003180,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-2-000028,.,.,.,.,.,.,.,.,.,.,,,
Aara-2-000134,Aare-2-000031,Aha-2-000031,Alsp-2-000033,Aru-a02-001991,Aru-b02-000029,Asu-1-005068,Asu-7-000031,Ath-1-005364,Bdiv-1-001775,.,Cen-6-000025,.,Cfle-7-002462,Chivh-2-006180,.,Cne-2-005344,Cpl-481-000028,Crub-2-000029,Csa-9-004787,Csa-7-004308,Csa-16-004126,Eche-4-000027,Esal-2-003229,Iind-1-003639,Mpe-14-000685,Mpyg-6-002033,Spar-2-000026,Tar-2-003179,,,
Aara-2-000133,Aare-2-000032,Aha-2-000032,Alsp-2-000036,Aru-a02-001990,Aru-b02-000030,Asu-1-005067,Asu-7-000032,Ath-1-005363,Bdiv-1-001777,Bst-1-003159,Cen-6-000026,Cen-14-002767,Cfle-7-002461,Chivh-2-006179,Cla-5-02312,Cne-2-005343,Cpl-481-000029,Crub-2-000030,Csa-9-004786,Csa-7-004307,Csa-16-004124,Eche-4-000028,Esal-2-003228,Iind-1-003638,Mpe-14-000684,Mpyg-6-002032,Spar-2-000027,Tar-2-003178,,,
Aara-2-000132,Aare-2-000034,Aha-2-000033,Alsp-2-000037,Aru-a02-001989,Aru-b02-000031,Asu-1-005066,Asu-7-000033,Ath-1-005362,Bdiv-1-001779,Bst-1-003157,Cen-6-000027,Cen-14-002766,Cfle-7-002459,Chivh-2-006178,Cla-5-02311,Cne-2-005342,Cpl-481-000030,Crub-2-000031,Csa-9-004785,Csa-7-004306,Csa-16-004123,Eche-4-000029,Esal-2-003227,Iind-1-003636,Mpe-14-000683,Mpyg-6-002031,Spar-2-000028,Tar-2-003176,,,
Aara-2-000131,Aare-2-000035,Aha-2-000034,Alsp-2-000038,Aru-a02-001988,Aru-b02-000032,Asu-1-005064,Asu-7-000034,Ath-1-005361,Bdiv-1-001780,Bst-1-003156,Cen-6-000028,.,Cfle-7-002458,Chivh-2-006177,Cla-5-02310,Cne-2-005341,Cpl-481-000031,Crub-2-000032,Csa-9-004784,Csa-7-004305,Csa-16-004122,Eche-4-000030,Esal-2-003226,Iind-1-003635,Mpe-14-000682,Mpyg-6-002030,Spar-2-000029,Tar-2-003175,,,
Aara-2-000130,Aare-2-000036,Aha-2-000035,Alsp-2-000039,Aru-a02-001987,Aru-b02-000033,Asu-1-005063,Asu-7-000036,Ath-1-005360,Bdiv-1-001781,.,Cen-6-000029,Cen-14-002765,.,Chivh-2-006176,Cla-5-02309,Cne-2-005340,Cpl-481-000032,Crub-2-000033,Csa-9-004783,Csa-7-004304,Csa-16-004121,Eche-4-000031,Esal-2-003225,Iind-1-003634,Mpe-14-000681,Mpyg-6-002029,Spar-2-000030,.,,,
Aara-2-000129,Aare-2-000037,Aha-2-000036,Alsp-2-000040,.,.,Asu-1-005062,Asu-7-000037,Ath-1-005359,Bdiv-1-001782,Bst-1-003154,Cen-6-000030,Cen-14-002764,.,Chivh-2-006175,Cla-5-02308,Cne-2-005339,.,Crub-2-000034,.,Csa-7-004303,Csa-16-004119,Eche-4-000032,.,.,Mpe-14-000680,.,.,Tar-2-003174,,,
Aara-2-000128,Aare-2-000038,.,Alsp-2-000042,Aru-a02-001986,Aru-b02-000035,Asu-1-005061,Asu-7-000038,Ath-1-005358,.,Bst-1-003153,Cen-6-000031,Cen-14-002763,.,Chivh-2-006174,Cla-5-02306,.,Cpl-481-000033,Crub-2-000035,Csa-9-004782,Csa-7-004302,Csa-16-004117,.,Esal-2-003223,Iind-1-003632,Mpe-14-000679,Mpyg-6-002027,Spar-2-000031,Tar-2-003173,,,
Aara-2-000127,.,Aha-2-000037,Alsp-2-000043,Aru-a02-001985,Aru-b02-000036,Asu-1-005060,Asu-7-000039,Ath-1-005357,.,.,Cen-6-000032,Cen-14-002762,.,Chivh-2-006173,Cla-5-02305,Cne-2-005337,.,Crub-2-000036,Csa-9-004781,Csa-7-004301,Csa-16-004116,Eche-4-000033,Esal-2-003222,Iind-1-003631,Mpe-14-000678,Mpyg-6-002026,.,Tar-2-003172,,,
Aara-2-000126,Aare-2-000040,.,Alsp-2-000044,Aru-a02-001984,Aru-b02-000037,Asu-1-005059,Asu-7-000040,Ath-1-005356,.,Bst-1-003151,Cen-6-000033,Cen-14-002761,.,Chivh-2-006172,Cla-5-02304,Cne-2-005336,Cpl-481-000035,Crub-2-000037,Csa-9-004780,Csa-7-004298,Csa-16-004115,Eche-4-000034,Esal-2-003219,Iind-1-003628,Mpe-14-000677,Mpyg-6-002025,.,Tar-2-003171,,,
Aara-2-000121,Aare-2-000041,Aha-2-000038,Alsp-2-000045,Aru-a02-001983,Aru-b02-000038,Asu-1-005058,Asu-7-000041,Ath-1-005355,Bdiv-1-001785,.,Cen-6-000034,Cen-14-002760,Cfle-7-002452,.,Cla-5-02303,Cne-2-005335,Cpl-481-000036,Crub-2-000038,Csa-9-004779,Csa-7-004297,Csa-16-004113,.,Esal-2-003218,Iind-1-003627,Mpe-14-000676,Mpyg-6-002024,Spar-2-000033,Tar-2-003170,,,
.,.,Aha-2-000039,Alsp-2-000046,.,Aru-b02-000039,Asu-1-005057,Asu-7-000042,Ath-1-005354,Bdiv-1-001786,Bst-1-003149,Cen-6-000035,Cen-14-002759,.,.,Cla-5-02302,.,.,Crub-2-000039,Csa-9-004778,Csa-7-004296,Csa-16-004111,Eche-4-000035,Esal-2-003216,.,Mpe-14-000675,.,.,Tar-2-003169,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,Chivh-2-006169,.,.,.,Crub-2-000040,.,.,.,.,.,.,.,.,.,.,,,
.,Aare-2-000044,Aha-2-000040,Alsp-2-000048,Aru-a02-001982,.,Asu-1-005055,Asu-7-000044,Ath-1-005352,Bdiv-1-001788,Bst-1-003147,Cen-6-000036,Cen-14-002757,.,Chivh-2-006168,Cla-5-02301,Cne-2-005332,Cpl-481-000037,Crub-2-000041,Csa-9-004777,Csa-7-004294,.,.,Esal-2-003215,Iind-1-003625,Mpe-14-000674,Mpyg-6-002023,Spar-2-000034,.,,,
Aara-2-000119,Aare-2-000045,Aha-2-000041,Alsp-2-000049,Aru-a02-001981,Aru-b02-000041,Asu-1-005054,Asu-7-000045,Ath-1-005351,Bdiv-1-001790,Bst-1-003144,Cen-6-000038,Cen-14-002755,Cfle-7-002446,Chivh-2-006165,Cla-5-02300,Cne-2-005330,.,Crub-2-000042,Csa-9-004775,Csa-7-004291,Csa-16-004109,Eche-4-000037,Esal-2-003214,Iind-1-003624,Mpe-14-000673,Mpyg-6-002020,.,Tar-2-003168,,,
.,.,Aha-2-000042,Alsp-2-000050,.,.,.,Asu-7-000046,.,.,.,.,.,.,Chivh-2-006164,Cla-5-02299,Cne-2-005329,.,Crub-2-000043,Csa-9-004774,Csa-7-004290,Csa-16-004108,.,.,.,.,.,.,.,,,
.,Aare-2-000047,.,Alsp-2-000051,.,.,Asu-1-005053,Asu-7-000047,Ath-1-005350,Bdiv-1-001792,Bst-1-003142,.,.,.,Chivh-2-006163,Cla-5-02298,Cne-2-005328,.,Crub-2-000044,Csa-9-004773,Csa-7-004289,Csa-16-004107,.,Esal-2-003202,Iind-1-003622,Mpe-14-000671,Mpyg-6-002019,Spar-2-000036,Tar-2-003166,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-2-000045,.,.,.,.,.,.,.,.,.,Tar-2-003165,,,
.,Aare-2-000048,Aha-2-000043,Alsp-2-000056,Aru-a02-001980,Aru-b02-000042,Asu-1-005052,Asu-7-000048,Ath-1-005349,Bdiv-1-001824,Bst-1-003140,Cen-6-000039,Cen-14-002752,.,Chivh-2-006162,.,Cne-2-005327,.,Crub-2-000046,Csa-9-004772,Csa-7-004288,Csa-16-004106,Eche-4-000039,Esal-2-003201,Iind-1-003621,Mpe-14-000668,Mpyg-6-002018,.,.,,,
.,.,Aha-2-000046,Alsp-2-000057,Aru-a02-001979,Aru-b02-000043,Asu-1-005051,Asu-7-000049,Ath-1-005348,.,.,Cen-6-000040,Cen-14-002751,Cfle-7-002444,.,.,.,.,Crub-2-000047,Csa-9-004771,Csa-7-004287,Csa-16-004105,.,Esal-2-003200,.,Mpe-14-000667,.,.,Tar-2-003164,,,
Aara-2-000118,Aare-2-000051,Aha-2-000047,Alsp-2-000058,Aru-a02-001978,Aru-b02-000044,Asu-1-005050,.,Ath-1-005347,Bdiv-1-001822,Bst-1-003138,.,Cen-14-002748,Cfle-7-002443,Chivh-2-006160,Cla-5-02297,Cne-2-005325,.,Crub-2-000048,Csa-9-004770,Csa-7-004286,Csa-16-004104,Eche-4-000041,Esal-2-003199,Iind-1-003618,Mpe-14-000666,Mpyg-6-002017,.,.,,,
Aara-2-000116,.,Aha-2-000048,Alsp-2-000059,Aru-a02-001977,Aru-b02-000045,Asu-1-005049,Asu-7-000050,Ath-1-005346,Bdiv-1-001821,Bst-1-003137,Cen-6-000041,Cen-14-002747,Cfle-7-002442,Chivh-2-006159,Cla-5-02296,Cne-2-005324,Cpl-481-000042,Crub-2-000049,Csa-9-004769,Csa-7-004285,Csa-16-004103,Eche-4-000042,Esal-2-003198,Iind-1-003617,Mpe-14-000665,Mpyg-6-002016,Spar-2-000039,Tar-2-003163,,,
.,Aare-2-000053,.,Alsp-2-000060,.,.,Asu-1-005048,Asu-7-000051,Ath-1-005345,Bdiv-1-001820,Bst-1-003136,.,.,.,Chivh-2-006158,.,Cne-2-005323,.,Crub-2-000050,.,.,Csa-16-004102,.,.,Iind-1-003613,Mpe-14-000664,Mpyg-6-002015,.,Tar-2-003162,,,
.,.,.,Alsp-2-000062,.,.,Asu-1-005047,Asu-7-000052,Ath-1-005344,.,.,.,.,.,.,.,.,Cpl-481-000044,Crub-2-000051,.,.,.,.,.,.,.,.,.,.,,,
.,.,Aha-2-000050,Alsp-2-000063,Aru-a02-001976,Aru-b02-000046,Asu-1-005046,Asu-7-000053,Ath-1-005343,Bdiv-1-001819,Bst-1-003135,Cen-6-000042,Cen-14-002746,Cfle-7-002441,Chivh-2-006156,Cla-5-02294,Cne-2-005322,Cpl-481-000045,Crub-2-000052,Csa-9-004768,Csa-7-004284,Csa-16-004101,.,Esal-2-003197,Iind-1-003612,Mpe-14-000663,Mpyg-6-001930,Spar-2-000040,Tar-2-003160,,,
.,.,.,.,.,.,.,.,.,.,,.,.,.,.,.,.,.,Crub-2-000053,.,.,.,.,.,.,.,.,.,.,,,
Aara-2-000114,Aare-2-000060,Aha-2-000053,Alsp-2-000071,.,.,Asu-1-005042,Asu-7-000058,Ath-1-005338,Bdiv-1-001804,Bst-1-003110,Cen-6-000046,Cen-14-002743,Cfle-7-002437,Chivh-2-006148,Cla-5-02287,Cne-2-005315,.,Crub-2-000054,Csa-9-004760,Csa-7-004277,Csa-16-004097,Eche-4-000043,Esal-2-003193,Iind-1-003605,Mpe-14-000660,Mpyg-6-001927,Spar-2-000042,Tar-2-003155,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-2-000055,.,.,.,.,.,.,.,.,.,.,,,
Aara-2-000112,Aare-2-000062,Aha-2-000055,Alsp-2-000073,.,Aru-b02-000048,Asu-1-005040,Asu-7-000060,Ath-1-005336,Bdiv-1-001832,Bst-1-003109,Cen-6-000048,Cen-14-002741,Cfle-7-002435,.,Cla-5-02285,Cne-2-005313,Cpl-481-000049,Crub-2-000056,Csa-9-004758,Csa-7-004275,Csa-16-004095,Eche-4-000045,Esal-2-003191,Iind-1-003604,Mpe-14-000658,Mpyg-6-001925,.,Tar-2-003153,,,
Aara-2-000111,.,Aha-2-000056,Alsp-2-000074,Aru-a02-001974,Aru-b02-000050,Asu-1-005039,Asu-7-000061,Ath-1-005335,.,.,Cen-6-000049,Cen-14-002740,Cfle-7-002434,Chivh-2-006145,.,Cne-2-005312,Cpl-481-000050,Crub-2-000057,Csa-9-004757,Csa-7-004274,Csa-16-004093,Eche-4-000046,Esal-2-003188,Iind-1-003603,Mpe-14-000657,Mpyg-6-001924,Spar-2-000045,Tar-2-003151,,,
.,.,.,Alsp-2-000075,.,.,Asu-1-005038,.,Ath-1-005334,.,.,.,.,.,.,.,.,.,Crub-2-000058,.,.,.,.,.,.,Mpe-14-000656,.,.,Tar-2-003150,,,
.,Aare-2-000064,Aha-2-000057,Alsp-2-000076,.,Aru-b02-000051,Asu-1-005037,Asu-7-000062,Ath-1-005333,Bdiv-1-001798,Bst-1-003105,Cen-6-000050,Cen-14-002739,Cfle-7-002433,Chivh-2-006144,Cla-5-02284,Cne-2-005311,Cpl-481-000051,Crub-2-000059,Csa-9-004756,Csa-7-004273,Csa-16-004092,Eche-4-000047,Esal-2-003187,.,Mpe-14-000655,.,.,Tar-2-003149,,,
.,Aare-2-000065,Aha-2-000058,Alsp-2-000077,.,Aru-b02-000052,Asu-1-005036,Asu-7-000063,Ath-1-005332,Bdiv-1-001797,.,.,Cen-14-002738,Cfle-7-002432,Chivh-2-006143,Cla-5-02283,Cne-2-005310,Cpl-481-000052,Crub-2-000060,Csa-9-004755,Csa-7-004272,Csa-16-004091,Eche-4-000048,Esal-2-003186,Iind-1-003602,Mpe-14-000654,Mpyg-6-001923,Spar-2-000047,Tar-2-003148,,,
Aara-2-000110,Aare-2-000066,Aha-2-000059,Alsp-2-000078,Aru-a02-001973,Aru-b02-000053,Asu-1-005035,Asu-7-000064,Ath-1-005331,Bdiv-1-001796,Bst-1-003103,Cen-6-000051,Cen-14-002737,Cfle-7-002431,.,Cla-5-02282,Cne-2-005309,Cpl-481-000054,Crub-2-000061,Csa-9-004754,Csa-7-004271,Csa-16-004090,Eche-4-000049,Esal-2-003185,Iind-1-003601,Mpe-14-000653,Mpyg-6-001922,Spar-2-000049,Tar-2-003147,,,
.,Aare-2-000067,Aha-2-000061,Alsp-2-000080,.,.,Asu-1-005033,Asu-7-000067,Ath-1-005329,Bdiv-1-001839,Bst-1-003101,Cen-6-000053,Cen-14-002735,Cfle-7-002430,Chivh-2-006141,Cla-5-02279,Cne-2-005308,Cpl-481-000055,Crub-2-000062,Csa-9-004753,Csa-7-004270,Csa-16-004089,Eche-4-000050,Esal-2-003184,.,Mpe-14-000651,Mpyg-6-001918,Spar-2-000050,Tar-2-003145,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,Crub-2-000063,.,.,.,.,.,.,.,.,.,.,,,
Aara-2-000108,Aare-2-000068,Aha-2-000062,Alsp-2-000084,Aru-a02-001971,Aru-b02-000055,Asu-1-005032,Asu-7-000068,Ath-1-005328,Bdiv-1-001843,.,Cen-6-000054,Cen-14-002734,Cfle-7-002429,Chivh-2-006140,Cla-5-02278,Cne-2-005307,Cpl-396-001131,Crub-2-000064,Csa-9-004752,Csa-7-004269,Csa-16-004088,Eche-4-000051,Esal-2-003183,Iind-1-003599,Mpe-14-000650,Mpyg-6-001917,Spar-2-000052,Tar-2-003144,,,
Aara-2-000107,Aare-2-000069,.,Alsp-2-000085,.,Aru-b02-000056,Asu-1-005030,Asu-7-000070,Ath-1-005327,Bdiv-1-001844,Bst-1-003099,Cen-6-000055,Cen-14-002733,Cfle-7-002428,Chivh-2-006139,Cla-5-02277,Cne-2-005306,Cpl-396-001132,Crub-2-000065,Csa-9-004751,Csa-7-004268,Csa-16-004087,.,Esal-2-003182,Iind-1-003598,Mpe-14-000649,Mpyg-6-001916,Spar-2-000053,Tar-2-003143,,,
Aara-2-000106,Aare-2-000073,Aha-2-000064,Alsp-2-000087,Aru-a02-001970,Aru-b02-000057,Asu-1-005028,Asu-7-000072,Ath-1-005325,Bdiv-1-001846,.,Cen-6-000056,Cen-14-002732,.,.,Cla-5-02276,.,.,Crub-2-000066,Csa-9-004747,Csa-7-004264,Csa-16-004084,Eche-4-000052,Esal-2-003181,Iind-1-003597,Mpe-14-000648,Mpyg-6-001914,.,Tar-2-003142,,,
.,Aare-2-000074,Aha-2-000065,Alsp-2-000088,.,.,Asu-1-005027,Asu-7-000073,Ath-1-005324,.,.,Cen-6-000057,.,.,Chivh-2-006136,.,Cne-2-005303,.,Crub-2-000067,Csa-9-004746,Csa-7-004263,Csa-16-004083,.,.,.,.,.,.,.,,,
Aara-2-000105,.,Aha-2-000067,Alsp-2-000090,Aru-a02-001969,Aru-b02-000058,Asu-1-005024,Asu-7-000075,Ath-1-005322,Bdiv-1-002000,.,Cen-6-000058,Cen-14-002730,.,.,Cla-5-02275,Cne-2-005301,Cpl-396-001135,Crub-2-000068,Csa-9-004744,Csa-7-004260,Csa-16-004081,Eche-4-000053,Esal-2-003180,Iind-1-003594,Mpe-14-000646,Mpyg-6-002002,Spar-2-000056,Tar-2-003140,,,
