ACBK1g00001,Tar-1-004059
ACBK1g00269,Tar-1-003820
ACBK1g00270,Tar-1-003819
ACBK1g00271,.
ACBK1g00272,.
ACBK1g00273,.
ACBK1g00274,Tar-1-003818
ACBK1g00275,Tar-1-003817
ACBK1g00276,.
ACBK1g00277,Tar-1-003815
ACBK1g00278,.
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Tar-1-003814
ACBK1g00282,.
ACBK1g00283,.
ACBK1g00284,Tar-1-003813
ACBK1g00285,Tar-1-003812
ACBK1g00286,Tar-1-003810
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,Tar-1-003809
ACBK1g00290,Tar-1-003808
ACBK1g00291,Tar-1-003807
ACBK1g00292,Tar-1-003806
ACBK1g00293,Tar-1-003805
ACBK1g00294,Tar-1-003803
ACBK1g00295,Tar-1-003802
ACBK1g00296,Tar-1-003801
ACBK1g00297,Tar-1-003800
ACBK1g00298,.
ACBK1g00299,.
ACBK1g00300,Tar-1-003798
ACBK1g00301,.
ACBK1g00302,Tar-1-003797
ACBK1g00303,Tar-1-003796
ACBK1g00304,.
ACBK1g00305,Tar-1-003795
ACBK1g00306,Tar-1-003794
ACBK1g00307,Tar-1-003793
ACBK1g00308,Tar-1-003792
ACBK1g00309,Tar-1-003791
ACBK1g00310,Tar-1-003789
ACBK1g00311,Tar-1-003788
ACBK1g00312,Tar-1-003787
ACBK1g00313,Tar-1-003786
ACBK1g00314,Tar-1-003785
ACBK1g00315,Tar-1-003784
ACBK1g00316,Tar-1-003783
ACBK1g00317,Tar-1-003782
ACBK1g00318,Tar-1-003781
ACBK1g00319,Tar-1-003780
ACBK1g00320,Tar-1-003779
ACBK1g00321,.
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,Tar-1-003778
ACBK1g00327,Tar-1-003777
ACBK1g00328,Tar-1-003776
ACBK1g00329,Tar-1-003775
ACBK1g00330,Tar-1-003774
ACBK1g00331,.
ACBK1g00332,.
ACBK1g00333,Tar-1-003772
ACBK1g00334,Tar-1-003771
ACBK1g00335,Tar-1-003770
ACBK1g00336,Tar-1-003769
ACBK1g00337,Tar-1-003768
ACBK1g00338,.
ACBK1g00339,Tar-1-003767
ACBK1g00340,Tar-1-003766
ACBK1g00341,Tar-1-003765
ACBK1g00342,Tar-1-003762
ACBK1g00343,Tar-1-003761
ACBK1g00344,Tar-1-003760
ACBK1g00345,Tar-1-003759
ACBK1g00346,.
ACBK1g00347,.
ACBK1g00348,Tar-1-003758
ACBK1g00349,Tar-1-003757
ACBK1g00350,Tar-1-003756
ACBK1g00351,Tar-1-003755
ACBK1g00352,.
ACBK1g00353,Tar-1-003753
ACBK1g00354,Tar-1-003752
ACBK1g00355,.
ACBK1g00356,Tar-1-003751
ACBK1g00357,Tar-1-003750
ACBK1g00358,Tar-1-003749
ACBK1g00359,.
ACBK1g00360,Tar-1-003748
ACBK1g00361,Tar-1-003747
ACBK1g00362,Tar-1-003746
ACBK1g00363,Tar-1-003745
ACBK1g00364,.
ACBK1g00365,Tar-1-003744
ACBK1g00366,Tar-1-003743
ACBK1g00367,Tar-1-003742
ACBK1g00368,Tar-1-003740
ACBK1g00369,.
ACBK1g00370,Tar-1-003739
ACBK1g00371,.
ACBK1g00372,Tar-1-003737
ACBK1g00373,.
ACBK1g00374,.
ACBK1g00375,Tar-1-003736
ACBK1g00376,Tar-1-003735
ACBK1g00377,.
ACBK1g00378,Tar-1-003734
ACBK1g00379,.
ACBK1g00380,.
ACBK1g00381,Tar-1-003731
ACBK1g00382,Tar-1-003730
ACBK1g00383,Tar-1-003729
ACBK1g00384,Tar-1-003728
ACBK1g00385,Tar-1-003727
ACBK1g00386,Tar-1-003726
ACBK1g00387,Tar-1-003725
ACBK1g00388,Tar-1-003724
ACBK1g00389,Tar-1-003723
ACBK1g00390,.
ACBK1g00391,Tar-1-003721
ACBK1g00392,Tar-1-003720
ACBK1g00393,.
ACBK1g00394,.
ACBK1g00395,Tar-1-003718
ACBK1g00396,Tar-1-003715
ACBK1g00397,.
ACBK1g00398,Tar-1-003714
ACBK1g00399,.
ACBK1g00400,Tar-1-003713
ACBK1g00401,.
ACBK1g00402,Tar-1-003712
ACBK1g00403,Tar-1-003711
ACBK1g00404,Tar-1-003710
ACBK1g00405,Tar-1-003708
ACBK1g00406,Tar-1-003707
ACBK1g00407,Tar-1-003706
ACBK1g00408,Tar-1-003705
ACBK1g00409,Tar-1-003703
ACBK1g00410,Tar-1-003701
ACBK1g00411,.
ACBK1g00412,Tar-1-003700
ACBK1g00413,Tar-1-003699
ACBK1g00414,.
ACBK1g00415,Tar-1-003697
ACBK1g00416,.
ACBK1g00417,Tar-1-003693
ACBK1g00418,.
ACBK1g00419,.
ACBK1g00420,Tar-1-003692
ACBK1g00421,.
ACBK1g00422,Tar-1-003690
ACBK1g00423,.
ACBK1g00424,.
ACBK1g00425,Tar-1-003689
ACBK1g00426,Tar-1-003688
ACBK1g00427,Tar-1-003687
ACBK1g00428,Tar-1-003685
ACBK1g00429,Tar-1-003684
ACBK1g00430,Tar-1-003683
ACBK1g00431,.
ACBK1g00432,.
ACBK1g00433,.
ACBK1g00434,Tar-1-003682
ACBK1g00435,Tar-1-003681
ACBK1g00436,.
ACBK1g00437,Tar-1-003680
ACBK1g00438,Tar-1-003679
ACBK1g00439,Tar-1-003678
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Tar-1-003677
ACBK1g00443,Tar-1-003676
ACBK1g00444,Tar-1-003675
ACBK1g00445,Tar-1-003674
ACBK1g00446,Tar-1-003673
ACBK1g00447,Tar-1-003672
ACBK1g00448,Tar-1-003671
ACBK1g00449,.
ACBK1g00450,Tar-1-003670
ACBK1g00451,Tar-1-003669
ACBK1g00452,.
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Tar-1-003667
ACBK1g00457,Tar-1-003665
ACBK1g00458,Tar-1-003664
ACBK1g00459,Tar-1-003663
ACBK1g00460,Tar-1-003661
ACBK1g00461,Tar-1-003660
ACBK1g00462,Tar-1-003659
ACBK1g00463,Tar-1-003658
ACBK1g00464,Tar-1-003657
ACBK1g00465,Tar-1-003656
ACBK1g00466,Tar-1-003655
ACBK1g00467,Tar-1-003654
ACBK1g00468,Tar-1-003653
ACBK1g00469,Tar-1-003652
ACBK1g00470,Tar-1-003651
ACBK1g00471,.
ACBK1g00472,Tar-1-003650
ACBK1g00473,.
ACBK1g00474,Tar-1-003649
ACBK1g00475,Tar-1-003648
ACBK1g00476,Tar-1-003647
ACBK1g00477,Tar-1-003646
ACBK1g00478,Tar-1-003645
ACBK1g00479,Tar-1-003644
ACBK1g00480,Tar-1-003643
ACBK1g00481,Tar-1-003642
ACBK1g00482,Tar-1-003641
ACBK1g00483,Tar-1-003640
ACBK1g00484,Tar-1-003639
ACBK1g00485,.
ACBK1g00486,Tar-1-003638
ACBK1g00487,Tar-1-003637
ACBK1g00488,Tar-1-003636
ACBK1g00489,Tar-1-003635
ACBK1g00490,Tar-1-003634
ACBK1g00491,.
ACBK1g00492,Tar-1-003633
ACBK1g00493,Tar-1-003632
ACBK1g00494,Tar-1-003631
ACBK1g00495,.
ACBK1g00496,.
ACBK1g00497,Tar-1-003629
ACBK1g00498,Tar-1-003628
ACBK1g00499,Tar-1-003627
ACBK1g00500,Tar-1-003626
ACBK1g00501,.
ACBK1g00502,Tar-1-003625
ACBK1g00503,Tar-1-003624
ACBK1g00504,Tar-1-003623
ACBK1g00505,Tar-1-003622
ACBK1g00506,Tar-1-003621
ACBK1g00507,Tar-1-003620
ACBK1g00508,Tar-1-003618
ACBK1g00509,Tar-1-003617
ACBK1g00510,Tar-1-003616
ACBK1g00511,Tar-1-003614
ACBK1g00512,Tar-1-003613
ACBK1g00513,Tar-1-003612
ACBK1g00514,.
ACBK1g00515,Tar-1-003611
ACBK1g00516,Tar-1-003609
ACBK1g00517,Tar-1-003608
ACBK1g00518,.
ACBK1g00519,Tar-1-003606
ACBK1g00520,Tar-1-003605
ACBK1g00521,Tar-1-003604
ACBK1g00522,Tar-1-003603
ACBK1g00523,Tar-1-003602
ACBK1g00524,Tar-1-003601
ACBK1g00525,Tar-1-003600
ACBK1g00526,Tar-1-003599
ACBK1g00527,.
ACBK1g00528,Tar-1-003598
ACBK1g00529,Tar-1-003597
ACBK1g00530,.
ACBK1g00531,Tar-1-003596
ACBK1g00532,Tar-1-003595
ACBK1g00533,Tar-1-003594
ACBK1g00534,.
ACBK1g00535,.
ACBK1g00536,Tar-1-003593
ACBK1g00537,Tar-1-003592
ACBK1g00538,Tar-1-003591
ACBK1g00539,Tar-1-003590
ACBK1g00540,Tar-1-003589
ACBK1g00541,Tar-1-003588
ACBK1g00542,.
ACBK1g00543,Tar-1-003586
ACBK1g00544,Tar-1-003585
ACBK1g00545,.
ACBK1g00546,Tar-1-003581
ACBK1g00547,Tar-1-003580
ACBK1g00548,Tar-1-003579
ACBK1g00549,.
ACBK1g00550,Tar-1-003578
ACBK1g00551,Tar-1-003577
ACBK1g00552,Tar-1-003576
ACBK1g00553,Tar-1-003575
ACBK1g00554,.
ACBK1g00555,Tar-1-003574
ACBK1g00556,Tar-1-003573
ACBK1g00557,Tar-1-003572
ACBK1g00558,Tar-1-003571
ACBK1g00559,Tar-1-003570
ACBK1g00560,Tar-1-003569
ACBK1g00561,.
ACBK1g00562,Tar-1-003568
ACBK1g00563,Tar-1-003567
ACBK1g00564,Tar-1-003566
ACBK1g00565,Tar-1-003565
ACBK1g00566,Tar-1-003564
ACBK1g00567,Tar-1-003563
ACBK1g00568,Tar-1-003562
ACBK1g00569,Tar-1-003560
ACBK1g00570,Tar-1-003559
ACBK1g00571,.
ACBK1g00572,Tar-1-003556
ACBK1g00573,Tar-1-003555
ACBK1g00574,Tar-1-003554
ACBK1g00575,.
ACBK1g00576,Tar-1-003553
ACBK1g00577,.
ACBK1g00578,.
ACBK1g00579,Tar-1-003552
ACBK1g00580,Tar-1-003551
ACBK1g00581,Tar-1-003550
ACBK1g00582,Tar-1-003548
ACBK1g00583,.
ACBK1g00584,Tar-1-003547
ACBK1g00585,Tar-1-003546
ACBK1g00586,Tar-1-003545
ACBK1g00587,Tar-1-003544
ACBK1g00588,Tar-1-003543
ACBK1g00589,Tar-1-003542
ACBK1g00590,Tar-1-003540
ACBK1g00591,Tar-1-003538
ACBK1g00592,Tar-1-003537
ACBK1g00593,Tar-1-003536
ACBK1g00594,Tar-1-003535
ACBK1g00595,Tar-1-003534
ACBK1g00596,Tar-1-003533
ACBK1g00597,.
ACBK1g00598,Tar-1-003532
ACBK1g00599,Tar-1-003531
ACBK1g00600,Tar-1-003530
ACBK1g00601,.
ACBK1g00602,.
ACBK1g00603,Tar-1-003528
ACBK1g00604,Tar-1-003527
ACBK1g00605,Tar-1-003526
ACBK1g00606,Tar-1-003524
ACBK1g00607,.
ACBK1g00608,Tar-1-003523
ACBK1g00609,Tar-1-003522
ACBK1g00610,Tar-1-003521
ACBK1g00611,.
ACBK1g00612,Tar-1-003520
ACBK1g00613,Tar-1-003519
ACBK1g00614,Tar-1-003518
ACBK1g00615,Tar-1-003517
ACBK1g00616,.
ACBK1g00617,Tar-1-003516
ACBK1g00618,Tar-1-003515
ACBK1g00619,Tar-1-003514
ACBK1g00620,.
ACBK1g00621,Tar-1-003512
ACBK1g00622,Tar-1-003510
ACBK1g00623,Tar-1-003509
ACBK1g00624,Tar-1-003508
ACBK1g00625,.
ACBK1g00626,Tar-1-003506
ACBK1g00627,Tar-1-003505
ACBK1g00628,.
ACBK1g00629,Tar-1-003504
ACBK1g00630,Tar-1-003502
ACBK1g00631,Tar-1-003501
ACBK1g00632,.
ACBK1g00633,Tar-1-003499
ACBK1g00634,Tar-1-003498
ACBK1g00635,Tar-1-003497
ACBK1g00636,Tar-1-003496
ACBK1g00637,Tar-1-003494
ACBK1g00638,Tar-1-003493
ACBK1g00639,Tar-1-003492
ACBK1g00640,Tar-1-003491
ACBK1g00641,.
ACBK1g00642,Tar-1-003490
ACBK1g00643,Tar-1-003489
ACBK1g00644,Tar-1-003488
ACBK1g00645,Tar-1-003487
ACBK1g00646,Tar-1-003486
ACBK1g00647,Tar-1-003485
ACBK1g00648,.
ACBK1g00649,Tar-1-003484
ACBK1g00650,Tar-1-003483
ACBK1g00651,Tar-1-003482
ACBK1g00652,.
ACBK1g00653,Tar-1-003480
ACBK1g00654,Tar-1-003479
ACBK1g00655,Tar-1-003478
ACBK1g00656,.
ACBK1g00657,Tar-1-003477
ACBK1g00658,.
ACBK1g00659,Tar-1-003475
ACBK1g00660,Tar-1-003474
ACBK1g00661,Tar-1-003473
ACBK1g00662,Tar-1-003472
ACBK1g00663,Tar-1-003471
ACBK1g00664,Tar-1-003470
ACBK1g00665,.
ACBK1g00666,Tar-1-003468
ACBK1g00667,Tar-1-003467
ACBK1g00668,Tar-1-003466
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Tar-1-003465
ACBK1g00672,Tar-1-003464
ACBK1g00673,.
ACBK1g00674,Tar-1-003462
ACBK1g00675,Tar-1-003461
ACBK1g00676,Tar-1-003460
ACBK1g00677,Tar-1-003445
ACBK1g00678,.
ACBK1g00679,Tar-1-003446
ACBK1g00680,.
ACBK1g00681,.
ACBK1g00682,.
ACBK1g00683,Tar-1-003448
ACBK1g00684,Tar-1-003449
ACBK1g00685,Tar-1-003450
ACBK1g00686,.
ACBK1g00687,Tar-1-003453
ACBK1g00688,.
ACBK1g00689,.
ACBK1g00690,Tar-1-003455
ACBK1g00691,Tar-1-003456
ACBK1g00692,.
ACBK1g00693,Tar-1-003457
ACBK1g00694,Tar-1-003459
ACBK1g00695,.
ACBK1g00696,.
ACBK1g00697,Tar-1-003443
ACBK1g00698,Tar-1-003442
ACBK1g00699,Tar-1-003441
ACBK1g00700,Tar-1-003440
ACBK1g00701,Tar-1-003439
ACBK1g00702,.
ACBK1g00703,.
ACBK1g00704,.
ACBK1g00705,.
ACBK1g00706,.
ACBK1g00707,Tar-1-003438
ACBK1g00708,.
ACBK1g00709,Tar-1-003435
ACBK1g00710,Tar-1-003434
ACBK1g00711,Tar-1-003433
ACBK1g00712,Tar-1-003432
ACBK1g00713,Tar-1-003431
ACBK1g00714,.
ACBK1g00715,Tar-1-003430
ACBK1g00716,.
ACBK1g00717,Tar-1-003429
ACBK1g00718,Tar-1-003428
ACBK1g00719,Tar-1-003427
ACBK1g00720,Tar-1-003425
ACBK1g00721,Tar-1-003424
ACBK1g00722,Tar-1-003423
ACBK1g00723,Tar-1-003422
ACBK1g00724,Tar-1-003421
ACBK1g00725,.
ACBK1g00726,Tar-1-003420
ACBK1g00727,Tar-1-003419
ACBK1g00728,Tar-1-003418
ACBK1g00729,Tar-1-003417
ACBK1g00730,.
ACBK1g00731,Tar-1-003415
ACBK1g00732,Tar-1-003414
ACBK1g00733,Tar-1-003413
ACBK1g00734,.
ACBK1g00735,Tar-1-003412
ACBK1g00736,.
ACBK1g00737,Tar-1-003410
ACBK1g00738,Tar-1-003408
ACBK1g00739,Tar-1-003407
ACBK1g00740,Tar-1-003406
ACBK1g00741,.
ACBK1g00742,Tar-1-003405
ACBK1g00743,Tar-1-003404
ACBK1g00744,Tar-1-003403
ACBK1g00745,Tar-1-003401
ACBK1g00746,Tar-1-003400
ACBK1g00747,Tar-1-003399
ACBK1g00748,Tar-1-003398
ACBK1g00749,Tar-1-003397
ACBK1g00750,Tar-1-003394
ACBK1g00751,.
ACBK1g00752,Tar-1-003393
ACBK1g00753,Tar-1-003392
ACBK1g00754,Tar-1-003391
ACBK1g00755,Tar-1-003390
ACBK1g00756,Tar-1-003389
ACBK1g00757,Tar-1-003388
ACBK1g00758,Tar-1-003386
ACBK1g00759,Tar-1-003385
ACBK1g00760,Tar-1-003384
ACBK1g00761,Tar-1-003383
ACBK1g00762,Tar-1-003382
ACBK1g00763,Tar-1-003381
ACBK1g00764,Tar-1-003380
ACBK1g00765,Tar-1-003379
ACBK1g00766,Tar-1-003378
ACBK1g00767,Tar-1-003377
ACBK1g00768,Tar-1-003376
ACBK1g00769,Tar-1-003375
ACBK1g00770,Tar-1-003374
ACBK1g00771,Tar-1-003373
ACBK1g00772,Tar-1-003371
ACBK1g00773,Tar-1-003370
ACBK1g00774,Tar-1-003369
ACBK1g00775,Tar-1-003366
ACBK1g00776,Tar-1-003365
ACBK1g00777,Tar-1-003364
ACBK1g00778,.
ACBK1g00779,Tar-1-003363
ACBK1g00780,Tar-1-003362
ACBK1g00781,Tar-1-003361
ACBK1g00782,Tar-1-003360
ACBK1g00783,Tar-1-003359
ACBK1g00784,Tar-1-003357
ACBK1g00785,Tar-1-003356
ACBK1g00786,Tar-1-003355
ACBK1g00787,Tar-1-003354
ACBK1g00788,Tar-1-003353
ACBK1g00789,Tar-1-003352
ACBK1g00790,.
ACBK1g00791,Tar-1-003351
ACBK1g00792,Tar-1-003350
ACBK1g00793,Tar-1-003349
ACBK1g00794,Tar-1-003348
ACBK1g00795,Tar-1-003347
ACBK1g00796,.
ACBK1g00797,Tar-1-003346
ACBK1g00798,Tar-1-003345
ACBK1g00799,Tar-1-003343
ACBK1g00800,Tar-1-003341
ACBK1g00801,Tar-1-003340
ACBK1g00802,Tar-1-003339
ACBK1g00803,.
ACBK1g00804,Tar-1-003338
ACBK1g00805,Tar-1-003337
ACBK1g00806,Tar-1-003335
ACBK1g00807,.
ACBK1g00808,Tar-1-003334
ACBK1g00809,Tar-1-003333
ACBK1g00810,Tar-1-003331
ACBK1g00811,Tar-1-003330
ACBK1g00812,Tar-1-003328
ACBK1g00813,Tar-1-003327
ACBK1g00814,Tar-1-003326
ACBK1g00815,Tar-1-003325
ACBK1g00816,.
ACBK1g00817,.
ACBK1g00818,Tar-1-003324
ACBK1g00819,Tar-1-003323
ACBK1g00820,.
ACBK1g00821,.
ACBK1g00822,.
ACBK1g00823,Tar-1-003322
ACBK1g00824,.
ACBK1g00825,.
ACBK1g00826,Tar-1-003320
ACBK1g00827,Tar-1-003319
ACBK1g00828,.
ACBK1g00829,Tar-1-003318
ACBK1g00830,.
ACBK1g00831,.
ACBK1g00832,Tar-1-003316
ACBK1g00833,Tar-1-003314
ACBK1g00834,Tar-1-003312
ACBK1g00835,Tar-1-003311
ACBK1g00836,Tar-1-003310
ACBK1g00837,Tar-1-003309
ACBK1g00838,Tar-1-003308
ACBK1g00839,Tar-1-003307
ACBK1g00840,Tar-1-003306
ACBK1g00841,Tar-1-003305
ACBK1g00842,Tar-1-003304
ACBK1g00843,.
ACBK1g00844,.
ACBK1g00845,.
ACBK1g00846,Tar-1-003303
ACBK1g00847,.
ACBK1g00848,Tar-1-003302
ACBK1g00849,Tar-1-003301
ACBK1g00850,Tar-1-003300
ACBK1g00851,Tar-1-003298
ACBK1g00852,Tar-1-003297
ACBK1g00853,.
ACBK1g00854,Tar-1-003296
ACBK1g00855,Tar-1-003295
ACBK1g00856,Tar-1-003294
ACBK1g00857,Tar-1-003293
ACBK1g00858,Tar-1-003291
ACBK1g00859,Tar-1-003290
ACBK1g00860,Tar-1-003289
ACBK1g00861,Tar-1-003288
ACBK1g00862,Tar-1-003287
ACBK1g00863,Tar-1-003286
