ACBK1g00001,Iind-3-000007
ACBK1g00163,Iind-3-000160
ACBK1g00164,.
ACBK1g00165,Iind-3-000161
ACBK1g00166,.
ACBK1g00167,Iind-3-000162
ACBK1g00168,.
ACBK1g00169,Iind-3-000163
ACBK1g00170,.
ACBK1g00171,Iind-3-000164
ACBK1g00172,.
ACBK1g00173,.
ACBK1g00174,.
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,Iind-3-000165
ACBK1g00178,Iind-3-000166
ACBK1g00179,.
ACBK1g00180,.
ACBK1g00181,Iind-3-000167
ACBK1g00182,Iind-3-000168
ACBK1g00183,Iind-3-000169
ACBK1g00184,Iind-3-000170
ACBK1g00185,.
ACBK1g00186,Iind-3-000172
ACBK1g00187,Iind-3-000173
ACBK1g00188,Iind-3-000174
ACBK1g00189,.
ACBK1g00190,Iind-3-000175
ACBK1g00191,Iind-3-000176
ACBK1g00192,Iind-3-000177
ACBK1g00193,.
ACBK1g00194,.
ACBK1g00195,Iind-3-000180
ACBK1g00196,.
ACBK1g00197,.
ACBK1g00198,Iind-3-000182
ACBK1g00199,Iind-3-000183
ACBK1g00200,.
ACBK1g00201,Iind-3-000184
ACBK1g00202,Iind-3-000185
ACBK1g00203,.
ACBK1g00204,Iind-3-000186
ACBK1g00205,Iind-3-000187
ACBK1g00206,Iind-3-000188
ACBK1g00207,Iind-3-000189
ACBK1g00208,Iind-3-000190
ACBK1g00209,Iind-3-000191
ACBK1g00210,Iind-3-000192
ACBK1g00211,Iind-3-000193
ACBK1g00212,Iind-3-000194
ACBK1g00213,Iind-3-000196
ACBK1g00214,Iind-3-000197
ACBK1g00215,Iind-3-000198
ACBK1g00216,Iind-3-000199
ACBK1g00217,.
ACBK1g00218,Iind-3-000201
ACBK1g00219,Iind-3-000202
ACBK1g00220,.
ACBK1g00221,.
ACBK1g00222,Iind-3-000203
ACBK1g00223,Iind-3-000204
ACBK1g00224,Iind-3-000205
ACBK1g00225,Iind-3-000206
ACBK1g00226,Iind-3-000207
ACBK1g00227,Iind-3-000208
ACBK1g00228,Iind-3-000210
ACBK1g00229,Iind-3-000211
ACBK1g00230,Iind-3-000212
ACBK1g00231,Iind-3-000213
ACBK1g00232,Iind-3-000214
ACBK1g00233,Iind-3-000215
ACBK1g00234,.
ACBK1g00235,Iind-3-000216
ACBK1g00236,Iind-3-000217
ACBK1g00237,Iind-3-000219
ACBK1g00238,Iind-3-000221
ACBK1g00239,Iind-3-000222
ACBK1g00240,Iind-3-000223
ACBK1g00241,.
ACBK1g00242,Iind-3-000224
ACBK1g00243,Iind-3-000225
ACBK1g00244,.
ACBK1g00245,.
ACBK1g00246,.
ACBK1g00247,Iind-3-000226
ACBK1g00248,Iind-3-000227
ACBK1g00249,.
ACBK1g00250,Iind-3-000228
ACBK1g00251,Iind-3-000229
ACBK1g00252,Iind-3-000230
ACBK1g00253,.
ACBK1g00254,Iind-3-000232
ACBK1g00255,.
ACBK1g00256,Iind-3-000233
ACBK1g00257,Iind-3-000234
ACBK1g00258,Iind-3-000235
ACBK1g00259,Iind-3-000236
ACBK1g00260,.
ACBK1g00261,.
ACBK1g00262,Iind-3-000237
ACBK1g00263,Iind-3-000238
ACBK1g00264,Iind-3-000239
ACBK1g00265,Iind-3-000240
ACBK1g00266,Iind-3-000241
ACBK1g00267,.
ACBK1g00268,Iind-3-000242
ACBK1g00269,Iind-3-000243
ACBK1g00270,Iind-3-000244
ACBK1g00271,Iind-3-000245
ACBK1g00272,.
ACBK1g00273,.
ACBK1g00274,Iind-3-000246
ACBK1g00275,Iind-3-000247
ACBK1g00276,Iind-3-000248
ACBK1g00277,Iind-3-000250
ACBK1g00278,.
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Iind-3-000251
ACBK1g00282,Iind-3-000252
ACBK1g00283,.
ACBK1g00284,Iind-3-000253
ACBK1g00285,Iind-3-000254
ACBK1g00286,Iind-3-000255
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,.
ACBK1g00290,Iind-3-000256
ACBK1g00291,Iind-3-000257
ACBK1g00292,Iind-3-000258
ACBK1g00293,Iind-3-000260
ACBK1g00294,Iind-3-000262
ACBK1g00295,Iind-3-000263
ACBK1g00296,Iind-3-000264
ACBK1g00297,Iind-3-000265
ACBK1g00298,.
ACBK1g00299,Iind-3-000267
ACBK1g00300,.
ACBK1g00301,.
ACBK1g00302,.
ACBK1g00303,Iind-3-000268
ACBK1g00304,.
ACBK1g00305,Iind-3-000269
ACBK1g00306,Iind-3-000270
ACBK1g00307,Iind-3-000271
ACBK1g00308,Iind-3-000273
ACBK1g00309,Iind-3-000274
ACBK1g00310,Iind-3-000275
ACBK1g00311,.
ACBK1g00312,Iind-3-000276
ACBK1g00313,Iind-3-000277
ACBK1g00314,Iind-3-000278
ACBK1g00315,Iind-3-000279
ACBK1g00316,Iind-3-000280
ACBK1g00317,Iind-3-000281
ACBK1g00318,Iind-3-000282
ACBK1g00319,Iind-3-000283
ACBK1g00320,Iind-3-000284
ACBK1g00321,Iind-3-000285
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,Iind-3-000286
ACBK1g00327,Iind-3-000287
ACBK1g00328,Iind-3-000288
ACBK1g00329,Iind-3-000289
ACBK1g00330,.
ACBK1g00331,.
ACBK1g00332,Iind-3-000290
ACBK1g00333,Iind-3-000291
ACBK1g00334,Iind-3-000292
ACBK1g00335,Iind-3-000293
ACBK1g00336,Iind-3-000294
ACBK1g00337,Iind-3-000295
ACBK1g00338,Iind-3-000296
ACBK1g00339,Iind-3-000297
ACBK1g00340,.
ACBK1g00341,Iind-3-000298
ACBK1g00342,Iind-3-000301
ACBK1g00343,Iind-3-000302
ACBK1g00344,Iind-3-000303
ACBK1g00345,Iind-3-000304
ACBK1g00346,.
ACBK1g00347,.
ACBK1g00348,.
ACBK1g00349,Iind-3-000307
ACBK1g00350,.
ACBK1g00351,Iind-3-000310
ACBK1g00352,.
ACBK1g00353,Iind-3-000311
ACBK1g00354,Iind-3-000313
ACBK1g00355,.
ACBK1g00356,Iind-3-000314
ACBK1g00357,Iind-3-000315
ACBK1g00358,Iind-3-000316
ACBK1g00359,.
ACBK1g00360,Iind-3-000317
ACBK1g00361,Iind-3-000318
ACBK1g00362,Iind-3-000319
ACBK1g00363,Iind-3-000320
ACBK1g00364,Iind-3-000321
ACBK1g00365,Iind-3-000322
ACBK1g00366,Iind-3-000323
ACBK1g00367,Iind-3-000324
ACBK1g00368,Iind-3-000325
ACBK1g00369,.
ACBK1g00370,Iind-3-000326
ACBK1g00371,Iind-3-000327
ACBK1g00372,Iind-3-000328
ACBK1g00373,Iind-3-000329
ACBK1g00374,Iind-3-000330
ACBK1g00375,.
ACBK1g00376,Iind-3-000331
ACBK1g00377,.
ACBK1g00378,Iind-3-000332
ACBK1g00379,.
ACBK1g00380,.
ACBK1g00381,Iind-3-000338
ACBK1g00382,Iind-3-000339
ACBK1g00383,Iind-3-000340
ACBK1g00384,Iind-3-000341
ACBK1g00385,Iind-3-000342
ACBK1g00386,Iind-3-000343
ACBK1g00387,Iind-3-000344
ACBK1g00388,Iind-3-000345
ACBK1g00389,Iind-3-000346
ACBK1g00390,.
ACBK1g00391,Iind-3-000347
ACBK1g00392,Iind-3-000348
ACBK1g00393,.
ACBK1g00394,.
ACBK1g00395,Iind-3-000350
ACBK1g00396,Iind-3-000351
ACBK1g00397,Iind-3-000352
ACBK1g00398,Iind-3-000353
ACBK1g00399,.
ACBK1g00400,Iind-3-000355
ACBK1g00401,Iind-3-000356
ACBK1g00402,Iind-3-000357
ACBK1g00403,.
ACBK1g00404,Iind-3-000358
ACBK1g00405,Iind-3-000360
ACBK1g00406,Iind-3-000361
ACBK1g00407,Iind-3-000363
ACBK1g00408,Iind-3-000364
ACBK1g00409,Iind-3-000366
ACBK1g00410,Iind-3-000367
ACBK1g00411,Iind-3-000368
ACBK1g00412,Iind-3-000369
ACBK1g00413,Iind-3-000370
ACBK1g00414,.
ACBK1g00415,Iind-3-000372
ACBK1g00416,.
ACBK1g00417,.
ACBK1g00418,.
ACBK1g00419,Iind-3-000373
ACBK1g00420,Iind-3-000375
ACBK1g00421,.
ACBK1g00422,Iind-3-000376
ACBK1g00423,.
ACBK1g00424,.
ACBK1g00425,Iind-3-000377
ACBK1g00426,Iind-3-000378
ACBK1g00427,Iind-3-000379
ACBK1g00428,Iind-3-000381
ACBK1g00429,Iind-3-000382
ACBK1g00430,Iind-3-000383
ACBK1g00431,Iind-3-000384
ACBK1g00432,Iind-3-000385
ACBK1g00433,Iind-3-000386
ACBK1g00434,Iind-3-000387
ACBK1g00435,Iind-3-000388
ACBK1g00436,.
ACBK1g00437,Iind-3-000389
ACBK1g00438,Iind-3-000390
ACBK1g00439,Iind-3-000391
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Iind-3-000392
ACBK1g00443,Iind-3-000393
ACBK1g00444,Iind-3-000394
ACBK1g00445,Iind-3-000395
ACBK1g00446,.
ACBK1g00447,Iind-3-000396
ACBK1g00448,Iind-3-000397
ACBK1g00449,Iind-3-000399
ACBK1g00450,.
ACBK1g00451,Iind-3-000401
ACBK1g00452,Iind-3-000402
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Iind-3-000403
ACBK1g00457,Iind-3-000404
ACBK1g00458,Iind-3-000405
ACBK1g00459,Iind-3-000406
ACBK1g00460,Iind-3-000407
ACBK1g00461,Iind-3-000408
ACBK1g00462,Iind-3-000409
ACBK1g00463,Iind-3-000410
ACBK1g00464,Iind-3-000411
ACBK1g00465,Iind-3-000413
ACBK1g00466,Iind-3-000414
ACBK1g00467,Iind-3-000415
ACBK1g00468,Iind-3-000416
ACBK1g00469,Iind-3-000417
ACBK1g00470,Iind-3-000418
ACBK1g00471,.
ACBK1g00472,Iind-3-000419
ACBK1g00473,Iind-3-000420
ACBK1g00474,Iind-3-000421
ACBK1g00475,.
ACBK1g00476,Iind-3-000422
ACBK1g00477,Iind-3-000423
ACBK1g00478,Iind-3-000424
ACBK1g00479,Iind-3-000425
ACBK1g00480,Iind-3-000426
ACBK1g00481,Iind-3-000427
ACBK1g00482,Iind-3-000428
ACBK1g00483,Iind-3-000429
ACBK1g00484,Iind-3-000430
ACBK1g00485,Iind-3-000431
ACBK1g00486,Iind-3-000432
ACBK1g00487,Iind-3-000434
ACBK1g00488,.
ACBK1g00489,Iind-3-000435
ACBK1g00490,Iind-3-000436
ACBK1g00491,Iind-3-000437
ACBK1g00492,Iind-3-000438
ACBK1g00493,Iind-3-000439
ACBK1g00494,Iind-3-000440
ACBK1g00495,.
ACBK1g00496,Iind-3-000441
ACBK1g00497,Iind-3-000443
ACBK1g00498,Iind-3-000444
ACBK1g00499,Iind-3-000445
ACBK1g00500,Iind-3-000446
ACBK1g00501,Iind-3-000447
ACBK1g00502,Iind-3-000448
ACBK1g00503,Iind-3-000449
ACBK1g00504,.
ACBK1g00505,.
ACBK1g00506,Iind-3-000450
ACBK1g00507,Iind-3-000451
ACBK1g00508,Iind-3-000452
ACBK1g00509,Iind-3-000453
ACBK1g00510,Iind-3-000454
ACBK1g00511,.
ACBK1g00512,Iind-3-000455
ACBK1g00513,.
ACBK1g00514,.
ACBK1g00515,Iind-3-000456
ACBK1g00516,Iind-3-000457
ACBK1g00517,Iind-3-000458
ACBK1g00518,.
ACBK1g00519,Iind-3-000461
ACBK1g00520,Iind-3-000462
ACBK1g00521,Iind-3-000463
ACBK1g00522,Iind-3-000464
ACBK1g00523,Iind-3-000465
ACBK1g00524,.
ACBK1g00525,Iind-3-000466
ACBK1g00526,Iind-3-000467
ACBK1g00527,.
ACBK1g00528,Iind-3-000468
ACBK1g00529,.
ACBK1g00530,.
ACBK1g00531,.
ACBK1g00532,Iind-3-000469
ACBK1g00533,Iind-3-000471
ACBK1g00534,.
ACBK1g00535,.
ACBK1g00536,Iind-3-000472
ACBK1g00537,Iind-3-000473
ACBK1g00538,Iind-3-000475
ACBK1g00539,Iind-3-000476
ACBK1g00540,Iind-3-000477
ACBK1g00541,.
ACBK1g00542,.
ACBK1g00543,Iind-3-000478
ACBK1g00544,Iind-3-000479
ACBK1g00545,.
ACBK1g00546,Iind-3-000482
ACBK1g00547,.
ACBK1g00548,Iind-3-000483
ACBK1g00549,.
ACBK1g00550,Iind-3-000484
ACBK1g00551,Iind-3-000485
ACBK1g00552,Iind-3-000486
ACBK1g00553,Iind-3-000487
ACBK1g00554,.
ACBK1g00555,Iind-3-000488
ACBK1g00556,Iind-3-000489
ACBK1g00557,Iind-3-000490
ACBK1g00558,Iind-3-000491
ACBK1g00559,Iind-3-000492
ACBK1g00560,Iind-3-000493
ACBK1g00561,.
ACBK1g00562,Iind-3-000494
ACBK1g00563,.
ACBK1g00564,Iind-3-000495
ACBK1g00565,Iind-3-000497
ACBK1g00566,.
ACBK1g00567,Iind-3-000498
ACBK1g00568,.
ACBK1g00569,Iind-3-000500
ACBK1g00570,.
ACBK1g00571,.
ACBK1g00572,Iind-3-000503
ACBK1g00573,Iind-3-000504
ACBK1g00574,Iind-3-000505
ACBK1g00575,Iind-3-000506
ACBK1g00576,Iind-3-000507
ACBK1g00577,Iind-3-000508
ACBK1g00578,.
ACBK1g00579,Iind-3-000509
ACBK1g00580,Iind-3-000510
ACBK1g00581,Iind-3-000512
ACBK1g00582,Iind-3-000513
ACBK1g00583,Iind-3-000514
ACBK1g00584,Iind-3-000515
ACBK1g00585,Iind-3-000516
ACBK1g00586,Iind-3-000517
ACBK1g00587,.
ACBK1g00588,Iind-3-000518
ACBK1g00589,Iind-3-000519
ACBK1g00590,Iind-3-000520
ACBK1g00591,Iind-3-000521
ACBK1g00592,.
ACBK1g00593,Iind-3-000522
ACBK1g00594,Iind-3-000524
ACBK1g00595,Iind-3-000525
ACBK1g00596,Iind-3-000526
ACBK1g00597,Iind-3-000527
ACBK1g00598,.
ACBK1g00599,.
ACBK1g00600,Iind-3-000528
ACBK1g00601,Iind-3-000530
ACBK1g00602,Iind-3-000531
ACBK1g00603,Iind-3-000532
ACBK1g00604,Iind-3-000534
ACBK1g00605,Iind-3-000535
ACBK1g00606,Iind-3-000536
ACBK1g00607,.
ACBK1g00608,Iind-3-000537
ACBK1g00609,.
ACBK1g00610,Iind-3-000538
ACBK1g00611,Iind-3-000540
ACBK1g00612,Iind-3-000541
ACBK1g00613,Iind-3-000542
ACBK1g00614,Iind-3-000543
ACBK1g00615,Iind-3-000544
ACBK1g00616,Iind-3-000545
ACBK1g00617,Iind-3-000546
ACBK1g00618,Iind-3-000547
ACBK1g00619,.
ACBK1g00620,.
ACBK1g00621,Iind-3-000551
ACBK1g00622,Iind-3-000552
ACBK1g00623,Iind-3-000553
ACBK1g00624,Iind-3-000554
ACBK1g00625,.
ACBK1g00626,Iind-3-000555
ACBK1g00627,.
ACBK1g00628,.
ACBK1g00629,Iind-3-000556
ACBK1g00630,Iind-3-000558
ACBK1g00631,Iind-3-000559
ACBK1g00632,Iind-3-000560
ACBK1g00633,Iind-3-000563
ACBK1g00634,Iind-3-000564
ACBK1g00635,Iind-3-000565
ACBK1g00636,Iind-3-000566
ACBK1g00637,.
ACBK1g00638,.
ACBK1g00639,Iind-3-000567
ACBK1g00640,.
ACBK1g00641,Iind-3-000568
ACBK1g00642,Iind-3-000569
ACBK1g00643,Iind-3-000570
ACBK1g00644,Iind-3-000571
ACBK1g00645,Iind-3-000572
ACBK1g00646,Iind-3-000573
ACBK1g00647,.
ACBK1g00648,.
ACBK1g00649,Iind-3-000574
ACBK1g00650,Iind-3-000575
ACBK1g00651,Iind-3-000576
ACBK1g00652,.
ACBK1g00653,.
ACBK1g00654,Iind-3-000577
ACBK1g00655,Iind-3-000578
ACBK1g00656,.
ACBK1g00657,Iind-3-000579
ACBK1g00658,.
ACBK1g00659,.
ACBK1g00660,Iind-3-000581
ACBK1g00661,.
ACBK1g00662,Iind-3-000582
ACBK1g00663,Iind-3-000583
ACBK1g00664,Iind-3-000585
ACBK1g00665,.
ACBK1g00666,Iind-3-000586
ACBK1g00667,Iind-3-000587
ACBK1g00668,Iind-3-000588
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Iind-3-000589
ACBK1g00672,Iind-3-000590
ACBK1g00673,Iind-3-000591
ACBK1g00674,Iind-3-000593
ACBK1g00675,Iind-3-000594
ACBK1g00676,Iind-3-000595
ACBK1g00677,Iind-3-000596
ACBK1g00678,.
ACBK1g00679,Iind-3-000611
ACBK1g00680,.
ACBK1g00681,.
ACBK1g00682,.
ACBK1g00683,Iind-3-000608
ACBK1g00684,Iind-3-000607
ACBK1g00685,Iind-3-000606
ACBK1g00686,Iind-3-000605
ACBK1g00687,Iind-3-000603
ACBK1g00688,.
ACBK1g00689,.
ACBK1g00690,Iind-3-000602
ACBK1g00691,Iind-3-000600
ACBK1g00692,.
ACBK1g00693,.
ACBK1g00694,Iind-3-000596
ACBK1g00695,.
ACBK1g00696,Iind-3-000613
ACBK1g00697,Iind-3-000615
ACBK1g00698,Iind-3-000616
ACBK1g00699,Iind-3-000617
ACBK1g00700,Iind-3-000618
ACBK1g00701,Iind-3-000619
ACBK1g00702,.
ACBK1g00703,Iind-3-000620
ACBK1g00704,.
ACBK1g00705,.
ACBK1g00706,.
ACBK1g00707,.
ACBK1g00708,Iind-3-000621
ACBK1g00709,Iind-3-000625
ACBK1g00710,Iind-3-000626
ACBK1g00711,Iind-3-000627
ACBK1g00712,Iind-3-000628
ACBK1g00713,Iind-3-000629
ACBK1g00714,.
ACBK1g00715,Iind-3-000630
ACBK1g00716,Iind-3-000631
ACBK1g00717,Iind-3-000633
ACBK1g00718,Iind-3-000635
ACBK1g00719,Iind-3-000637
ACBK1g00720,Iind-3-000638
ACBK1g00721,Iind-3-000639
ACBK1g00722,Iind-3-000640
ACBK1g00723,Iind-3-000641
ACBK1g00724,Iind-3-000642
ACBK1g00725,.
ACBK1g00726,Iind-3-000643
ACBK1g00727,Iind-3-000644
ACBK1g00728,Iind-3-000645
ACBK1g00729,Iind-3-000646
ACBK1g00730,.
ACBK1g00731,Iind-3-000647
ACBK1g00732,Iind-3-000648
ACBK1g00733,Iind-3-000649
ACBK1g00734,Iind-3-000650
ACBK1g00735,Iind-3-000651
ACBK1g00736,.
ACBK1g00737,Iind-3-000652
ACBK1g00738,Iind-3-000654
ACBK1g00739,.
ACBK1g00740,Iind-3-000655
ACBK1g00741,Iind-3-000656
ACBK1g00742,.
ACBK1g00743,Iind-3-000657
ACBK1g00744,.
ACBK1g00745,Iind-3-000660
ACBK1g00746,Iind-3-000661
ACBK1g00747,Iind-3-000662
ACBK1g00748,Iind-3-000663
ACBK1g00749,Iind-3-000664
ACBK1g00750,Iind-3-000666
ACBK1g00751,.
ACBK1g00752,Iind-3-000667
ACBK1g00753,Iind-3-000668
ACBK1g00754,Iind-3-000669
ACBK1g00755,Iind-3-000670
ACBK1g00756,Iind-3-000671
ACBK1g00757,Iind-3-000672
ACBK1g00758,Iind-3-000674
ACBK1g00759,Iind-3-000675
ACBK1g00760,Iind-3-000676
ACBK1g00761,Iind-3-000677
ACBK1g00762,.
ACBK1g00763,Iind-3-000678
ACBK1g00764,Iind-3-000679
ACBK1g00765,Iind-3-000680
ACBK1g00766,Iind-3-000681
ACBK1g00767,Iind-3-000682
ACBK1g00768,Iind-3-000683
ACBK1g00769,Iind-3-000684
ACBK1g00770,Iind-3-000685
ACBK1g00771,Iind-3-000686
ACBK1g00772,Iind-3-000687
ACBK1g00773,Iind-3-000688
ACBK1g00774,Iind-3-000689
ACBK1g00775,Iind-3-000690
ACBK1g00776,Iind-3-000691
ACBK1g00777,Iind-3-000692
ACBK1g00778,Iind-3-000693
ACBK1g00779,Iind-3-000694
ACBK1g00780,Iind-3-000695
ACBK1g00781,Iind-3-000696
ACBK1g00782,Iind-3-000700
ACBK1g00783,Iind-3-000701
ACBK1g00784,Iind-3-000702
ACBK1g00785,Iind-3-000703
ACBK1g00786,Iind-3-000704
ACBK1g00787,Iind-3-000705
ACBK1g00788,Iind-3-000706
ACBK1g00789,Iind-3-000707
ACBK1g00790,.
ACBK1g00791,Iind-3-000708
ACBK1g00792,.
ACBK1g00793,Iind-3-000709
ACBK1g00794,Iind-3-000711
ACBK1g00795,Iind-3-000712
ACBK1g00796,Iind-3-000713
ACBK1g00797,Iind-3-000715
ACBK1g00798,Iind-3-000716
ACBK1g00799,Iind-3-000717
ACBK1g00800,Iind-3-000718
ACBK1g00801,Iind-3-000719
ACBK1g00802,Iind-3-000721
ACBK1g00803,.
ACBK1g00804,Iind-3-000722
ACBK1g00805,Iind-3-000724
ACBK1g00806,Iind-3-000726
ACBK1g00807,.
ACBK1g00808,.
ACBK1g00809,Iind-3-000727
ACBK1g00810,Iind-3-000729
ACBK1g00811,Iind-3-000730
ACBK1g00812,Iind-3-000733
ACBK1g00813,Iind-3-000737
ACBK1g00814,Iind-3-000738
ACBK1g00815,Iind-3-000740
ACBK1g00816,.
ACBK1g00817,Iind-3-000741
ACBK1g00818,.
ACBK1g00819,Iind-3-000742
ACBK1g00820,.
ACBK1g00821,.
ACBK1g00822,.
ACBK1g00823,Iind-3-000744
ACBK1g00824,Iind-3-000746
ACBK1g00825,.
ACBK1g00826,Iind-3-000747
ACBK1g00827,Iind-3-000748
ACBK1g00828,.
ACBK1g00829,Iind-3-000749
ACBK1g00830,.
ACBK1g00831,Iind-3-000750
ACBK1g00832,Iind-3-000753
ACBK1g00833,Iind-3-000755
ACBK1g00834,Iind-3-000757
ACBK1g00835,.
ACBK1g00836,Iind-3-000758
ACBK1g00837,Iind-3-000759
ACBK1g00838,Iind-3-000760
ACBK1g00839,.
ACBK1g00840,Iind-3-000761
ACBK1g00841,Iind-3-000762
ACBK1g00842,Iind-3-000763
ACBK1g00843,Iind-3-000764
ACBK1g00844,.
ACBK1g00845,.
ACBK1g00846,Iind-3-000767
ACBK1g00847,.
ACBK1g00848,.
ACBK1g00849,Iind-3-000768
ACBK1g00850,Iind-3-000769
ACBK1g00851,.
ACBK1g00852,Iind-3-000771
ACBK1g00853,.
ACBK1g00854,.
ACBK1g00855,Iind-3-000772
ACBK1g00856,Iind-3-000773
ACBK1g00857,.
ACBK1g00858,Iind-3-000774
ACBK1g00859,Iind-3-000776
ACBK1g00860,Iind-3-000777
ACBK1g00861,Iind-3-000778
ACBK1g00862,Iind-3-000779
ACBK1g00863,Iind-3-000780
ACBK1g00864,Iind-3-000781
ACBK1g00865,Iind-3-000782
ACBK1g00866,Iind-3-000788
