ACBK1g00001,Spar-1-000008
ACBK1g00187,.
ACBK1g00188,.
ACBK1g00189,.
ACBK1g00190,Spar-1-000146
ACBK1g00191,.
ACBK1g00192,Spar-1-000147
ACBK1g00193,Spar-1-000148
ACBK1g00194,.
ACBK1g00195,Spar-1-000150
ACBK1g00196,.
ACBK1g00197,Spar-1-000152
ACBK1g00198,Spar-1-000153
ACBK1g00199,Spar-1-000154
ACBK1g00200,.
ACBK1g00201,.
ACBK1g00202,.
ACBK1g00203,.
ACBK1g00204,.
ACBK1g00205,.
ACBK1g00206,.
ACBK1g00207,.
ACBK1g00208,Spar-1-000159
ACBK1g00209,Spar-1-000160
ACBK1g00210,Spar-1-000161
ACBK1g00211,Spar-1-000162
ACBK1g00212,Spar-1-000163
ACBK1g00213,Spar-1-000165
ACBK1g00214,Spar-1-000166
ACBK1g00215,Spar-1-000167
ACBK1g00216,.
ACBK1g00217,Spar-1-000169
ACBK1g00218,Spar-1-000170
ACBK1g00219,Spar-1-000171
ACBK1g00220,.
ACBK1g00221,Spar-1-000173
ACBK1g00222,.
ACBK1g00223,.
ACBK1g00224,Spar-1-000175
ACBK1g00225,.
ACBK1g00226,.
ACBK1g00227,.
ACBK1g00228,.
ACBK1g00229,.
ACBK1g00230,Spar-1-000177
ACBK1g00231,.
ACBK1g00232,.
ACBK1g00233,Spar-1-000181
ACBK1g00234,.
ACBK1g00235,.
ACBK1g00236,.
ACBK1g00237,.
ACBK1g00238,.
ACBK1g00239,.
ACBK1g00240,.
ACBK1g00241,.
ACBK1g00242,Spar-1-000183
ACBK1g00243,.
ACBK1g00244,.
ACBK1g00245,.
ACBK1g00246,.
ACBK1g00247,.
ACBK1g00248,.
ACBK1g00249,.
ACBK1g00250,.
ACBK1g00251,.
ACBK1g00252,.
ACBK1g00253,.
ACBK1g00254,.
ACBK1g00255,.
ACBK1g00256,.
ACBK1g00257,.
ACBK1g00258,Spar-1-000185
ACBK1g00259,Spar-1-000186
ACBK1g00260,Spar-1-000187
ACBK1g00261,.
ACBK1g00262,Spar-1-000188
ACBK1g00263,Spar-1-000189
ACBK1g00264,Spar-1-000190
ACBK1g00265,Spar-1-000191
ACBK1g00266,Spar-1-000192
ACBK1g00267,Spar-1-000193
ACBK1g00268,.
ACBK1g00269,Spar-1-000194
ACBK1g00270,Spar-1-000195
ACBK1g00271,Spar-1-000196
ACBK1g00272,.
ACBK1g00273,.
ACBK1g00274,Spar-1-000197
ACBK1g00275,Spar-1-000198
ACBK1g00276,Spar-1-000199
ACBK1g00277,Spar-1-000201
ACBK1g00278,Spar-1-000202
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Spar-1-000203
ACBK1g00282,.
ACBK1g00283,.
ACBK1g00284,Spar-1-000205
ACBK1g00285,Spar-1-000206
ACBK1g00286,Spar-1-000207
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,.
ACBK1g00290,Spar-1-000209
ACBK1g00291,Spar-1-000210
ACBK1g00292,.
ACBK1g00293,.
ACBK1g00294,Spar-1-000212
ACBK1g00295,.
ACBK1g00296,.
ACBK1g00297,.
ACBK1g00298,Spar-1-000214
ACBK1g00299,.
ACBK1g00300,Spar-1-000215
ACBK1g00301,.
ACBK1g00302,.
ACBK1g00303,Spar-1-000216
ACBK1g00304,Spar-1-000217
ACBK1g00305,.
ACBK1g00306,.
ACBK1g00307,Spar-1-000218
ACBK1g00308,.
ACBK1g00309,Spar-1-000220
ACBK1g00310,.
ACBK1g00311,.
ACBK1g00312,Spar-1-000222
ACBK1g00313,.
ACBK1g00314,Spar-1-000223
ACBK1g00315,Spar-1-000224
ACBK1g00316,.
ACBK1g00317,Spar-1-000226
ACBK1g00318,Spar-1-000227
ACBK1g00319,Spar-1-000228
ACBK1g00320,Spar-1-000229
ACBK1g00321,.
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,Spar-1-000230
ACBK1g00327,.
ACBK1g00328,.
ACBK1g00329,.
ACBK1g00330,Spar-1-000234
ACBK1g00331,.
ACBK1g00332,Spar-1-000235
ACBK1g00333,Spar-1-000236
ACBK1g00334,Spar-1-000237
ACBK1g00335,Spar-1-000238
ACBK1g00336,Spar-1-000239
ACBK1g00337,.
ACBK1g00338,.
ACBK1g00339,.
ACBK1g00340,Spar-1-000241
ACBK1g00341,.
ACBK1g00342,.
ACBK1g00343,Spar-1-000244
ACBK1g00344,.
ACBK1g00345,Spar-1-000246
ACBK1g00346,.
ACBK1g00347,.
ACBK1g00348,.
ACBK1g00349,Spar-1-000250
ACBK1g00350,.
ACBK1g00351,Spar-1-000251
ACBK1g00352,Spar-1-000252
ACBK1g00353,.
ACBK1g00354,.
ACBK1g00355,.
ACBK1g00356,Spar-1-000254
ACBK1g00357,.
ACBK1g00358,.
ACBK1g00359,.
ACBK1g00360,Spar-1-000256
ACBK1g00361,.
ACBK1g00362,Spar-1-000257
ACBK1g00363,Spar-1-000258
ACBK1g00364,.
ACBK1g00365,Spar-1-000260
ACBK1g00366,.
ACBK1g00367,Spar-1-000261
ACBK1g00368,.
ACBK1g00369,.
ACBK1g00370,.
ACBK1g00371,.
ACBK1g00372,.
ACBK1g00373,.
ACBK1g00374,Spar-1-000264
ACBK1g00375,.
ACBK1g00376,.
ACBK1g00377,.
ACBK1g00378,Spar-1-000265
ACBK1g00379,.
ACBK1g00380,.
ACBK1g00381,Spar-1-000267
ACBK1g00382,Spar-1-000268
ACBK1g00383,Spar-1-000269
ACBK1g00384,Spar-1-000270
ACBK1g00385,.
ACBK1g00386,.
ACBK1g00387,Spar-1-000273
ACBK1g00388,Spar-1-000274
ACBK1g00389,Spar-1-000275
ACBK1g00390,.
ACBK1g00391,Spar-1-000276
ACBK1g00392,Spar-1-000277
ACBK1g00393,.
ACBK1g00394,.
ACBK1g00395,Spar-1-000281
ACBK1g00396,Spar-1-000282
ACBK1g00397,.
ACBK1g00398,Spar-1-000284
ACBK1g00399,.
ACBK1g00400,.
ACBK1g00401,.
ACBK1g00402,.
ACBK1g00403,.
ACBK1g00404,.
ACBK1g00405,.
ACBK1g00406,.
ACBK1g00407,.
ACBK1g00408,.
ACBK1g00409,.
ACBK1g00410,.
ACBK1g00411,Spar-1-000288
ACBK1g00412,.
ACBK1g00413,Spar-1-000289
ACBK1g00414,.
ACBK1g00415,.
ACBK1g00416,.
ACBK1g00417,Spar-1-000290
ACBK1g00418,.
ACBK1g00419,.
ACBK1g00420,Spar-1-000291
ACBK1g00421,.
ACBK1g00422,Spar-1-000293
ACBK1g00423,.
ACBK1g00424,.
ACBK1g00425,Spar-1-000294
ACBK1g00426,.
ACBK1g00427,.
ACBK1g00428,Spar-1-000295
ACBK1g00429,Spar-1-000296
ACBK1g00430,Spar-1-000297
ACBK1g00431,Spar-1-000298
ACBK1g00432,.
ACBK1g00433,.
ACBK1g00434,Spar-1-000300
ACBK1g00435,Spar-1-000301
ACBK1g00436,.
ACBK1g00437,.
ACBK1g00438,Spar-1-000302
ACBK1g00439,Spar-1-000303
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Spar-1-000304
ACBK1g00443,.
ACBK1g00444,Spar-1-000306
ACBK1g00445,.
ACBK1g00446,.
ACBK1g00447,.
ACBK1g00448,Spar-1-000307
ACBK1g00449,Spar-1-000309
ACBK1g00450,Spar-1-000310
ACBK1g00451,Spar-1-000311
ACBK1g00452,Spar-1-000312
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Spar-1-000313
ACBK1g00457,.
ACBK1g00458,Spar-1-000315
ACBK1g00459,Spar-1-000316
ACBK1g00460,Spar-1-000318
ACBK1g00461,Spar-1-000319
ACBK1g00462,.
ACBK1g00463,Spar-1-000321
ACBK1g00464,Spar-1-000322
ACBK1g00465,Spar-1-000323
ACBK1g00466,Spar-1-000324
ACBK1g00467,.
ACBK1g00468,Spar-1-000326
ACBK1g00469,.
ACBK1g00470,Spar-1-000327
ACBK1g00471,.
ACBK1g00472,.
ACBK1g00473,.
ACBK1g00474,.
ACBK1g00475,.
ACBK1g00476,Spar-1-000330
ACBK1g00477,Spar-1-000331
ACBK1g00478,.
ACBK1g00479,Spar-1-000333
ACBK1g00480,.
ACBK1g00481,.
ACBK1g00482,Spar-1-000335
ACBK1g00483,Spar-1-000336
ACBK1g00484,.
ACBK1g00485,.
ACBK1g00486,.
ACBK1g00487,.
ACBK1g00488,.
ACBK1g00489,.
ACBK1g00490,.
ACBK1g00491,.
ACBK1g00492,.
ACBK1g00493,.
ACBK1g00494,Spar-1-000340
ACBK1g00495,.
ACBK1g00496,Spar-1-000341
ACBK1g00497,.
ACBK1g00498,.
ACBK1g00499,Spar-1-000343
ACBK1g00500,.
ACBK1g00501,.
ACBK1g00502,.
ACBK1g00503,.
ACBK1g00504,.
ACBK1g00505,.
ACBK1g00506,.
ACBK1g00507,Spar-1-000345
ACBK1g00508,.
ACBK1g00509,.
ACBK1g00510,Spar-1-000348
ACBK1g00511,.
ACBK1g00512,Spar-1-000349
ACBK1g00513,.
ACBK1g00514,.
ACBK1g00515,.
ACBK1g00516,Spar-1-000351
ACBK1g00517,.
ACBK1g00518,.
ACBK1g00519,.
ACBK1g00520,Spar-1-000353
ACBK1g00521,Spar-1-000354
ACBK1g00522,.
ACBK1g00523,Spar-1-000356
ACBK1g00524,Spar-1-000357
ACBK1g00525,.
ACBK1g00526,Spar-1-000359
ACBK1g00527,.
ACBK1g00528,Spar-1-000360
ACBK1g00529,Spar-1-000361
ACBK1g00530,Spar-1-000362
ACBK1g00531,.
ACBK1g00532,Spar-1-000363
ACBK1g00533,Spar-1-000364
ACBK1g00534,.
ACBK1g00535,.
ACBK1g00536,Spar-1-000365
ACBK1g00537,.
ACBK1g00538,Spar-1-000366
ACBK1g00539,.
ACBK1g00540,Spar-1-000368
ACBK1g00541,Spar-1-000369
ACBK1g00542,.
ACBK1g00543,.
ACBK1g00544,.
ACBK1g00545,.
ACBK1g00546,Spar-1-000374
ACBK1g00547,.
ACBK1g00548,Spar-1-000375
ACBK1g00549,.
ACBK1g00550,.
ACBK1g00551,.
ACBK1g00552,.
ACBK1g00553,Spar-1-000378
ACBK1g00554,.
ACBK1g00555,.
ACBK1g00556,.
ACBK1g00557,.
ACBK1g00558,Spar-1-000382
ACBK1g00559,Spar-1-000383
ACBK1g00560,.
ACBK1g00561,.
ACBK1g00562,.
ACBK1g00563,.
ACBK1g00564,Spar-1-000386
ACBK1g00565,Spar-1-000387
ACBK1g00566,.
ACBK1g00567,.
ACBK1g00568,Spar-1-000390
ACBK1g00569,Spar-1-000392
ACBK1g00570,Spar-1-000393
ACBK1g00571,.
ACBK1g00572,.
ACBK1g00573,Spar-1-000395
ACBK1g00574,Spar-1-000396
ACBK1g00575,Spar-1-000398
ACBK1g00576,Spar-1-000399
ACBK1g00577,Spar-1-000400
ACBK1g00578,.
ACBK1g00579,.
ACBK1g00580,.
ACBK1g00581,.
ACBK1g00582,Spar-1-000404
ACBK1g00583,Spar-1-000405
ACBK1g00584,Spar-1-000406
ACBK1g00585,Spar-1-000407
ACBK1g00586,.
ACBK1g00587,Spar-1-000410
ACBK1g00588,.
ACBK1g00589,.
ACBK1g00590,Spar-1-000414
ACBK1g00591,Spar-1-000416
ACBK1g00592,Spar-1-000417
ACBK1g00593,Spar-1-000418
ACBK1g00594,Spar-1-000419
ACBK1g00595,Spar-1-000420
ACBK1g00596,Spar-1-000421
ACBK1g00597,Spar-1-000422
ACBK1g00598,Spar-1-000423
ACBK1g00599,.
ACBK1g00600,.
ACBK1g00601,.
ACBK1g00602,Spar-1-000425
ACBK1g00603,.
ACBK1g00604,.
ACBK1g00605,.
ACBK1g00606,Spar-1-000429
ACBK1g00607,.
ACBK1g00608,Spar-1-000430
ACBK1g00609,Spar-1-000431
ACBK1g00610,Spar-1-000432
ACBK1g00611,Spar-1-000433
ACBK1g00612,.
ACBK1g00613,.
ACBK1g00614,.
ACBK1g00615,Spar-1-000436
ACBK1g00616,Spar-1-000437
ACBK1g00617,.
ACBK1g00618,.
ACBK1g00619,.
ACBK1g00620,.
ACBK1g00621,Spar-1-000441
ACBK1g00622,.
ACBK1g00623,.
ACBK1g00624,Spar-1-000444
ACBK1g00625,.
ACBK1g00626,Spar-1-000446
ACBK1g00627,.
ACBK1g00628,.
ACBK1g00629,Spar-1-000447
ACBK1g00630,Spar-1-000448
ACBK1g00631,Spar-1-000449
ACBK1g00632,Spar-1-000450
ACBK1g00633,.
ACBK1g00634,.
ACBK1g00635,.
ACBK1g00636,.
ACBK1g00637,.
ACBK1g00638,.
ACBK1g00639,.
ACBK1g00640,.
ACBK1g00641,Spar-1-000452
ACBK1g00642,.
ACBK1g00643,.
ACBK1g00644,Spar-1-000454
ACBK1g00645,.
ACBK1g00646,.
ACBK1g00647,.
ACBK1g00648,.
ACBK1g00649,Spar-1-000456
ACBK1g00650,Spar-1-000457
ACBK1g00651,.
ACBK1g00652,.
ACBK1g00653,Spar-1-000459
ACBK1g00654,.
ACBK1g00655,.
ACBK1g00656,.
ACBK1g00657,.
ACBK1g00658,.
ACBK1g00659,Spar-1-000463
ACBK1g00660,Spar-1-000464
ACBK1g00661,Spar-1-000465
ACBK1g00662,Spar-1-000466
ACBK1g00663,Spar-1-000468
ACBK1g00664,.
ACBK1g00665,.
ACBK1g00666,.
ACBK1g00667,Spar-1-000470
ACBK1g00668,Spar-1-000471
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Spar-1-000472
ACBK1g00672,.
ACBK1g00673,.
ACBK1g00674,Spar-1-000474
ACBK1g00675,.
ACBK1g00676,.
ACBK1g00677,Spar-1-000476
ACBK1g00678,.
ACBK1g00679,.
ACBK1g00680,.
ACBK1g00681,.
ACBK1g00682,.
ACBK1g00683,.
ACBK1g00684,Spar-1-000483
ACBK1g00685,Spar-1-000482
ACBK1g00686,Spar-1-000481
ACBK1g00687,.
ACBK1g00688,.
ACBK1g00689,.
ACBK1g00690,.
ACBK1g00691,Spar-1-000479
ACBK1g00692,.
ACBK1g00693,Spar-1-000478
ACBK1g00694,Spar-1-000476
ACBK1g00695,Spar-1-000487
ACBK1g00696,.
ACBK1g00697,Spar-1-000489
ACBK1g00698,Spar-1-000490
ACBK1g00699,.
ACBK1g00700,Spar-1-000491
ACBK1g00701,.
ACBK1g00702,.
ACBK1g00703,.
ACBK1g00704,.
ACBK1g00705,.
ACBK1g00706,.
ACBK1g00707,.
ACBK1g00708,.
ACBK1g00709,Spar-1-000493
ACBK1g00710,Spar-1-000494
ACBK1g00711,Spar-1-000495
ACBK1g00712,.
ACBK1g00713,.
ACBK1g00714,.
ACBK1g00715,Spar-1-000497
ACBK1g00716,Spar-1-000498
ACBK1g00717,.
ACBK1g00718,.
ACBK1g00719,.
ACBK1g00720,.
ACBK1g00721,.
ACBK1g00722,Spar-1-000502
ACBK1g00723,.
ACBK1g00724,Spar-1-000504
ACBK1g00725,.
ACBK1g00726,.
ACBK1g00727,.
ACBK1g00728,Spar-1-000506
ACBK1g00729,Spar-1-000507
ACBK1g00730,.
ACBK1g00731,.
ACBK1g00732,Spar-1-000510
ACBK1g00733,.
ACBK1g00734,Spar-1-000512
ACBK1g00735,.
ACBK1g00736,.
ACBK1g00737,Spar-1-000514
ACBK1g00738,Spar-1-000516
ACBK1g00739,Spar-1-000517
ACBK1g00740,.
ACBK1g00741,.
ACBK1g00742,.
ACBK1g00743,Spar-1-000521
ACBK1g00744,.
ACBK1g00745,Spar-1-000524
ACBK1g00746,Spar-1-000525
ACBK1g00747,Spar-1-000526
ACBK1g00748,Spar-1-000527
ACBK1g00749,.
ACBK1g00750,Spar-1-000530
ACBK1g00751,.
ACBK1g00752,Spar-1-000531
ACBK1g00753,Spar-1-000532
ACBK1g00754,.
ACBK1g00755,Spar-1-000534
ACBK1g00756,Spar-1-000535
ACBK1g00757,Spar-1-000536
ACBK1g00758,Spar-1-000538
ACBK1g00759,Spar-1-000539
ACBK1g00760,.
ACBK1g00761,Spar-1-000540
ACBK1g00762,Spar-1-000541
ACBK1g00763,Spar-1-000542
ACBK1g00764,Spar-1-000543
ACBK1g00765,Spar-1-000544
ACBK1g00766,Spar-1-000545
ACBK1g00767,Spar-1-000546
ACBK1g00768,Spar-1-000547
ACBK1g00769,Spar-1-000548
ACBK1g00770,.
ACBK1g00771,Spar-1-000550
ACBK1g00772,.
ACBK1g00773,.
ACBK1g00774,Spar-1-000552
ACBK1g00775,Spar-1-000553
ACBK1g00776,.
ACBK1g00777,Spar-1-000554
ACBK1g00778,Spar-1-000555
ACBK1g00779,Spar-1-000556
ACBK1g00780,.
ACBK1g00781,.
ACBK1g00782,.
ACBK1g00783,Spar-1-000559
ACBK1g00784,.
ACBK1g00785,Spar-1-000561
ACBK1g00786,.
ACBK1g00787,.
ACBK1g00788,Spar-1-000563
ACBK1g00789,Spar-1-000564
ACBK1g00790,.
ACBK1g00791,.
ACBK1g00792,.
ACBK1g00793,Spar-1-000567
ACBK1g00794,.
ACBK1g00795,Spar-1-000568
ACBK1g00796,.
ACBK1g00797,Spar-1-000570
ACBK1g00798,Spar-1-000571
ACBK1g00799,Spar-1-000573
ACBK1g00800,Spar-1-000574
ACBK1g00801,.
ACBK1g00802,Spar-1-000575
ACBK1g00803,.
ACBK1g00804,.
ACBK1g00805,Spar-1-000577
ACBK1g00806,Spar-1-000579
ACBK1g00807,.
ACBK1g00808,.
ACBK1g00809,Spar-1-000580
ACBK1g00810,Spar-1-000582
ACBK1g00811,.
ACBK1g00812,.
ACBK1g00813,.
ACBK1g00814,Spar-1-000584
ACBK1g00815,Spar-1-000585
ACBK1g00816,.
ACBK1g00817,.
ACBK1g00818,Spar-1-000587
ACBK1g00819,Spar-1-000588
ACBK1g00820,.
ACBK1g00821,.
ACBK1g00822,.
ACBK1g00823,Spar-1-000589
ACBK1g00824,Spar-1-000592
ACBK1g00825,.
ACBK1g00826,Spar-1-000593
ACBK1g00827,Spar-1-000594
ACBK1g00828,.
ACBK1g00829,Spar-1-000595
ACBK1g00830,.
ACBK1g00831,.
ACBK1g00832,Spar-1-000596
ACBK1g00833,Spar-1-000598
ACBK1g00834,Spar-1-000600
ACBK1g00835,Spar-1-000601
ACBK1g00836,Spar-1-000602
ACBK1g00837,Spar-1-000603
ACBK1g00838,.
ACBK1g00839,.
ACBK1g00840,.
ACBK1g00841,Spar-1-000606
ACBK1g00842,Spar-1-000607
ACBK1g00843,Spar-1-000609
ACBK1g00844,.
ACBK1g00845,Spar-1-000610
ACBK1g00846,Spar-1-000611
ACBK1g00847,.
ACBK1g00848,.
ACBK1g00849,Spar-1-000612
ACBK1g00850,Spar-1-000613
ACBK1g00851,.
ACBK1g00852,Spar-1-000615
ACBK1g00853,.
ACBK1g00854,.
ACBK1g00855,Spar-1-000617
ACBK1g00856,Spar-1-000618
ACBK1g00857,.
ACBK1g00858,Spar-1-000619
ACBK1g00859,Spar-1-000620
ACBK1g00860,Spar-1-000621
ACBK1g00861,Spar-1-000622
ACBK1g00862,Spar-1-000623
ACBK1g00863,Spar-1-000624
ACBK1g00864,Spar-1-000626
ACBK1g00865,.
ACBK1g00866,Spar-1-000628
ACBK1g00867,Spar-1-000629
ACBK1g00868,.
ACBK1g00869,.
ACBK1g00870,Spar-1-000630
ACBK1g00871,Spar-1-000631
ACBK1g00872,Spar-1-000632
ACBK1g00873,.
ACBK1g00874,.
ACBK1g00875,Spar-1-000635
ACBK1g00876,Spar-1-000636
ACBK1g00877,Spar-1-000637
ACBK1g00878,Spar-1-000638
ACBK1g00879,Spar-1-000639
ACBK1g00880,.
ACBK1g00881,.
ACBK1g00882,Spar-1-000642
ACBK1g00883,.
ACBK1g00884,.
ACBK1g00885,Spar-1-000645
ACBK1g00886,Spar-1-000646
ACBK1g00887,Spar-1-000647
ACBK1g00888,.
ACBK1g00889,Spar-1-000648
ACBK1g00890,Spar-1-000649
ACBK1g00891,.
ACBK1g00892,.
ACBK1g00893,Spar-1-000650
ACBK1g00894,.
ACBK1g00895,Spar-1-000652
ACBK1g00896,.
ACBK1g00897,.
ACBK1g00898,Spar-1-000653
ACBK1g00899,.
ACBK1g00900,.
ACBK1g00901,.
ACBK1g00902,.
ACBK1g00903,.
ACBK1g00904,Spar-1-000655
ACBK1g00905,.
ACBK1g00906,.
ACBK1g00907,.
ACBK1g00908,.
ACBK1g00909,Spar-1-000658
ACBK1g00910,.
ACBK1g00911,Spar-1-000659
ACBK1g00912,.
ACBK1g00913,.
ACBK1g00914,.
ACBK1g00915,.
ACBK1g00916,Spar-1-000662
ACBK1g00917,.
ACBK1g00918,Spar-1-000664
ACBK1g00919,Spar-1-000665
ACBK1g00920,.
ACBK1g00921,Spar-1-000667
ACBK1g00922,Spar-1-000668
ACBK1g00923,Spar-1-000669
ACBK1g00924,Spar-1-000670
ACBK1g00925,Spar-1-000671
ACBK1g00926,.
ACBK1g00927,.
ACBK1g00928,.
ACBK1g00929,Spar-1-000674
ACBK1g00930,.
ACBK1g00931,.
ACBK1g00932,.
ACBK1g00933,.
ACBK1g00934,.
ACBK1g00935,Spar-1-000677
ACBK1g00936,.
ACBK1g00937,.
ACBK1g00938,.
ACBK1g00939,Spar-1-000681
ACBK1g00940,.
ACBK1g00941,Spar-1-000683
ACBK1g00942,.
ACBK1g00943,Spar-1-000685
ACBK1g00944,.
ACBK1g00945,.
ACBK1g00946,.
ACBK1g00947,Spar-1-000686
ACBK1g00948,Spar-1-000687
ACBK1g00949,Spar-1-000690
ACBK1g00950,Spar-1-000691
ACBK1g00951,.
ACBK1g00952,Spar-1-000694
ACBK1g00953,Spar-1-000695
ACBK1g00954,Spar-1-000696
ACBK1g00955,Spar-1-000698
ACBK1g00956,Spar-1-000699
ACBK1g00957,.
ACBK1g00958,Spar-1-000700
ACBK1g00959,Spar-1-000701
ACBK1g00960,Spar-1-000702
ACBK1g00961,.
ACBK1g00962,Spar-1-000703
ACBK1g00963,Spar-1-000704
ACBK1g00964,.
ACBK1g00965,.
ACBK1g00966,.
ACBK1g00967,.
ACBK1g00968,.
ACBK1g00969,Spar-1-000706
ACBK1g00970,Spar-1-000707
ACBK1g00971,.
ACBK1g00972,Spar-1-000708
ACBK1g00973,Spar-1-000709
ACBK1g00974,.
ACBK1g00975,.
ACBK1g00976,Spar-1-000710
