ACBK1g00001,Alsp-1-000008
ACBK1g00184,Alsp-1-000191
ACBK1g00185,Alsp-1-000192
ACBK1g00186,Alsp-1-000193
ACBK1g00187,Alsp-1-000194
ACBK1g00188,Alsp-1-000195
ACBK1g00189,Alsp-1-000196
ACBK1g00190,Alsp-1-000197
ACBK1g00191,Alsp-1-000198
ACBK1g00192,Alsp-1-000199
ACBK1g00193,Alsp-1-000200
ACBK1g00194,.
ACBK1g00195,Alsp-1-000202
ACBK1g00196,.
ACBK1g00197,Alsp-1-000204
ACBK1g00198,Alsp-1-000205
ACBK1g00199,Alsp-1-000206
ACBK1g00200,Alsp-1-000207
ACBK1g00201,Alsp-1-000208
ACBK1g00202,Alsp-1-000209
ACBK1g00203,Alsp-1-000210
ACBK1g00204,Alsp-1-000211
ACBK1g00205,Alsp-1-000212
ACBK1g00206,Alsp-1-000213
ACBK1g00207,Alsp-1-000214
ACBK1g00208,Alsp-1-000215
ACBK1g00209,Alsp-1-000216
ACBK1g00210,Alsp-1-000217
ACBK1g00211,Alsp-1-000218
ACBK1g00212,Alsp-1-000219
ACBK1g00213,Alsp-1-000221
ACBK1g00214,Alsp-1-000222
ACBK1g00215,Alsp-1-000223
ACBK1g00216,Alsp-1-000224
ACBK1g00217,Alsp-1-000225
ACBK1g00218,Alsp-1-000227
ACBK1g00219,Alsp-1-000228
ACBK1g00220,Alsp-1-000229
ACBK1g00221,Alsp-1-000230
ACBK1g00222,Alsp-1-000231
ACBK1g00223,Alsp-1-000232
ACBK1g00224,Alsp-1-000234
ACBK1g00225,Alsp-1-000235
ACBK1g00226,Alsp-1-000236
ACBK1g00227,.
ACBK1g00228,Alsp-1-000237
ACBK1g00229,Alsp-1-000240
ACBK1g00230,Alsp-1-000241
ACBK1g00231,Alsp-1-000242
ACBK1g00232,Alsp-1-000244
ACBK1g00233,Alsp-1-000245
ACBK1g00234,Alsp-1-000246
ACBK1g00235,Alsp-1-000247
ACBK1g00236,Alsp-1-000248
ACBK1g00237,Alsp-1-000250
ACBK1g00238,Alsp-1-000252
ACBK1g00239,Alsp-1-000253
ACBK1g00240,Alsp-1-000254
ACBK1g00241,Alsp-1-000255
ACBK1g00242,Alsp-1-000256
ACBK1g00243,Alsp-1-000257
ACBK1g00244,.
ACBK1g00245,.
ACBK1g00246,.
ACBK1g00247,Alsp-1-000258
ACBK1g00248,Alsp-1-000259
ACBK1g00249,Alsp-1-000260
ACBK1g00250,Alsp-1-000261
ACBK1g00251,Alsp-1-000262
ACBK1g00252,Alsp-1-000263
ACBK1g00253,.
ACBK1g00254,Alsp-1-000264
ACBK1g00255,.
ACBK1g00256,Alsp-1-000266
ACBK1g00257,Alsp-1-000267
ACBK1g00258,Alsp-1-000268
ACBK1g00259,Alsp-1-000269
ACBK1g00260,Alsp-1-000270
ACBK1g00261,Alsp-1-000271
ACBK1g00262,Alsp-1-000272
ACBK1g00263,Alsp-1-000273
ACBK1g00264,Alsp-1-000274
ACBK1g00265,Alsp-1-000275
ACBK1g00266,Alsp-1-000276
ACBK1g00267,Alsp-1-000277
ACBK1g00268,.
ACBK1g00269,Alsp-1-000279
ACBK1g00270,Alsp-1-000280
ACBK1g00271,Alsp-1-000281
ACBK1g00272,Alsp-1-000282
ACBK1g00273,Alsp-1-000284
ACBK1g00274,Alsp-1-000287
ACBK1g00275,Alsp-1-000288
ACBK1g00276,Alsp-1-000289
ACBK1g00277,Alsp-1-000291
ACBK1g00278,Alsp-1-000292
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Alsp-1-000293
ACBK1g00282,Alsp-1-000294
ACBK1g00283,Alsp-1-000295
ACBK1g00284,Alsp-1-000296
ACBK1g00285,Alsp-1-000297
ACBK1g00286,Alsp-1-000298
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,Alsp-1-000299
ACBK1g00290,Alsp-1-000300
ACBK1g00291,Alsp-1-000301
ACBK1g00292,Alsp-1-000302
ACBK1g00293,Alsp-1-000303
ACBK1g00294,Alsp-1-000304
ACBK1g00295,Alsp-1-000305
ACBK1g00296,Alsp-1-000306
ACBK1g00297,Alsp-1-000307
ACBK1g00298,Alsp-1-000308
ACBK1g00299,Alsp-1-000309
ACBK1g00300,Alsp-1-000311
ACBK1g00301,Alsp-1-000312
ACBK1g00302,Alsp-1-000313
ACBK1g00303,Alsp-1-000314
ACBK1g00304,Alsp-1-000315
ACBK1g00305,Alsp-1-000316
ACBK1g00306,Alsp-1-000317
ACBK1g00307,Alsp-1-000318
ACBK1g00308,Alsp-1-000319
ACBK1g00309,Alsp-1-000320
ACBK1g00310,Alsp-1-000322
ACBK1g00311,Alsp-1-000323
ACBK1g00312,Alsp-1-000324
ACBK1g00313,Alsp-1-000325
ACBK1g00314,Alsp-1-000326
ACBK1g00315,Alsp-1-000327
ACBK1g00316,Alsp-1-000328
ACBK1g00317,Alsp-1-000329
ACBK1g00318,Alsp-1-000330
ACBK1g00319,Alsp-1-000331
ACBK1g00320,Alsp-1-000332
ACBK1g00321,Alsp-1-000333
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,Alsp-1-000334
ACBK1g00327,Alsp-1-000335
ACBK1g00328,Alsp-1-000336
ACBK1g00329,Alsp-1-000337
ACBK1g00330,Alsp-1-000338
ACBK1g00331,Alsp-1-000339
ACBK1g00332,Alsp-1-000340
ACBK1g00333,Alsp-1-000341
ACBK1g00334,Alsp-1-000342
ACBK1g00335,Alsp-1-000343
ACBK1g00336,Alsp-1-000344
ACBK1g00337,Alsp-1-000345
ACBK1g00338,Alsp-1-000346
ACBK1g00339,Alsp-1-000347
ACBK1g00340,Alsp-1-000348
ACBK1g00341,Alsp-1-000349
ACBK1g00342,Alsp-1-000351
ACBK1g00343,Alsp-1-000352
ACBK1g00344,Alsp-1-000353
ACBK1g00345,Alsp-1-000354
ACBK1g00346,.
ACBK1g00347,Alsp-1-000355
ACBK1g00348,Alsp-1-000356
ACBK1g00349,Alsp-1-000357
ACBK1g00350,Alsp-1-000358
ACBK1g00351,Alsp-1-000359
ACBK1g00352,Alsp-1-000360
ACBK1g00353,Alsp-1-000361
ACBK1g00354,Alsp-1-000363
ACBK1g00355,.
ACBK1g00356,Alsp-1-000364
ACBK1g00357,Alsp-1-000365
ACBK1g00358,Alsp-1-000366
ACBK1g00359,.
ACBK1g00360,Alsp-1-000367
ACBK1g00361,Alsp-1-000368
ACBK1g00362,Alsp-1-000369
ACBK1g00363,Alsp-1-000370
ACBK1g00364,Alsp-1-000372
ACBK1g00365,Alsp-1-000373
ACBK1g00366,Alsp-1-000374
ACBK1g00367,Alsp-1-000375
ACBK1g00368,Alsp-1-000376
ACBK1g00369,.
ACBK1g00370,Alsp-1-000377
ACBK1g00371,Alsp-1-000378
ACBK1g00372,Alsp-1-000379
ACBK1g00373,Alsp-1-000380
ACBK1g00374,Alsp-1-000381
ACBK1g00375,Alsp-1-000382
ACBK1g00376,Alsp-1-000383
ACBK1g00377,Alsp-1-000384
ACBK1g00378,Alsp-1-000386
ACBK1g00379,Alsp-1-000387
ACBK1g00380,.
ACBK1g00381,Alsp-1-000389
ACBK1g00382,Alsp-1-000390
ACBK1g00383,Alsp-1-000391
ACBK1g00384,Alsp-1-000392
ACBK1g00385,Alsp-1-000393
ACBK1g00386,Alsp-1-000394
ACBK1g00387,Alsp-1-000395
ACBK1g00388,Alsp-1-000396
ACBK1g00389,Alsp-1-000397
ACBK1g00390,.
ACBK1g00391,Alsp-1-000399
ACBK1g00392,Alsp-1-000400
ACBK1g00393,.
ACBK1g00394,Alsp-1-000402
ACBK1g00395,Alsp-1-000403
ACBK1g00396,Alsp-1-000404
ACBK1g00397,Alsp-1-000405
ACBK1g00398,Alsp-1-000406
ACBK1g00399,Alsp-1-000407
ACBK1g00400,Alsp-1-000408
ACBK1g00401,Alsp-1-000409
ACBK1g00402,Alsp-1-000410
ACBK1g00403,Alsp-1-000411
ACBK1g00404,Alsp-1-000412
ACBK1g00405,Alsp-1-000414
ACBK1g00406,Alsp-1-000415
ACBK1g00407,Alsp-1-000416
ACBK1g00408,Alsp-1-000417
ACBK1g00409,Alsp-1-000419
ACBK1g00410,Alsp-1-000420
ACBK1g00411,Alsp-1-000421
ACBK1g00412,Alsp-1-000422
ACBK1g00413,Alsp-1-000423
ACBK1g00414,Alsp-1-000424
ACBK1g00415,Alsp-1-000426
ACBK1g00416,Alsp-1-000428
ACBK1g00417,Alsp-1-000429
ACBK1g00418,.
ACBK1g00419,.
ACBK1g00420,Alsp-1-000430
ACBK1g00421,.
ACBK1g00422,Alsp-1-000432
ACBK1g00423,.
ACBK1g00424,.
ACBK1g00425,Alsp-1-000434
ACBK1g00426,Alsp-1-000435
ACBK1g00427,Alsp-1-000436
ACBK1g00428,Alsp-1-000437
ACBK1g00429,Alsp-1-000438
ACBK1g00430,Alsp-1-000439
ACBK1g00431,Alsp-1-000440
ACBK1g00432,Alsp-1-000441
ACBK1g00433,Alsp-1-000442
ACBK1g00434,Alsp-1-000443
ACBK1g00435,Alsp-1-000444
ACBK1g00436,Alsp-1-000445
ACBK1g00437,Alsp-1-000447
ACBK1g00438,Alsp-1-000448
ACBK1g00439,Alsp-1-000449
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Alsp-1-000451
ACBK1g00443,Alsp-1-000452
ACBK1g00444,Alsp-1-000453
ACBK1g00445,Alsp-1-000454
ACBK1g00446,Alsp-1-000455
ACBK1g00447,Alsp-1-000456
ACBK1g00448,Alsp-1-000457
ACBK1g00449,Alsp-1-000458
ACBK1g00450,Alsp-1-000459
ACBK1g00451,Alsp-1-000460
ACBK1g00452,Alsp-1-000461
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Alsp-1-000462
ACBK1g00457,Alsp-1-000464
ACBK1g00458,Alsp-1-000465
ACBK1g00459,Alsp-1-000466
ACBK1g00460,Alsp-1-000469
ACBK1g00461,Alsp-1-000470
ACBK1g00462,Alsp-1-000472
ACBK1g00463,Alsp-1-000473
ACBK1g00464,Alsp-1-000474
ACBK1g00465,Alsp-1-000475
ACBK1g00466,Alsp-1-000477
ACBK1g00467,Alsp-1-000478
ACBK1g00468,Alsp-1-000479
ACBK1g00469,Alsp-1-000480
ACBK1g00470,Alsp-1-000481
ACBK1g00471,Alsp-1-000482
ACBK1g00472,Alsp-1-000483
ACBK1g00473,Alsp-1-000485
ACBK1g00474,Alsp-1-000486
ACBK1g00475,Alsp-1-000487
ACBK1g00476,Alsp-1-000488
ACBK1g00477,Alsp-1-000489
ACBK1g00478,Alsp-1-000490
ACBK1g00479,Alsp-1-000491
ACBK1g00480,Alsp-1-000492
ACBK1g00481,Alsp-1-000493
ACBK1g00482,Alsp-1-000494
ACBK1g00483,Alsp-1-000495
ACBK1g00484,Alsp-1-000496
ACBK1g00485,Alsp-1-000497
ACBK1g00486,Alsp-1-000498
ACBK1g00487,Alsp-1-000499
ACBK1g00488,Alsp-1-000500
ACBK1g00489,Alsp-1-000501
ACBK1g00490,Alsp-1-000502
ACBK1g00491,Alsp-1-000503
ACBK1g00492,Alsp-1-000504
ACBK1g00493,Alsp-1-000505
ACBK1g00494,Alsp-1-000506
ACBK1g00495,Alsp-1-000507
ACBK1g00496,Alsp-1-000508
ACBK1g00497,Alsp-1-000511
ACBK1g00498,Alsp-1-000512
ACBK1g00499,Alsp-1-000513
ACBK1g00500,Alsp-1-000514
ACBK1g00501,Alsp-1-000515
ACBK1g00502,Alsp-1-000516
ACBK1g00503,Alsp-1-000517
ACBK1g00504,Alsp-1-000518
ACBK1g00505,Alsp-1-000519
ACBK1g00506,Alsp-1-000520
ACBK1g00507,Alsp-1-000521
ACBK1g00508,Alsp-1-000523
ACBK1g00509,Alsp-1-000524
ACBK1g00510,Alsp-1-000525
ACBK1g00511,Alsp-1-000526
ACBK1g00512,Alsp-1-000527
ACBK1g00513,Alsp-1-000528
ACBK1g00514,Alsp-1-000529
ACBK1g00515,Alsp-1-000530
ACBK1g00516,Alsp-1-000531
ACBK1g00517,Alsp-1-000532
ACBK1g00518,.
ACBK1g00519,Alsp-1-000535
ACBK1g00520,Alsp-1-000536
ACBK1g00521,Alsp-1-000538
ACBK1g00522,Alsp-1-000539
ACBK1g00523,Alsp-1-000540
ACBK1g00524,Alsp-1-000541
ACBK1g00525,Alsp-1-000542
ACBK1g00526,Alsp-1-000543
ACBK1g00527,Alsp-1-000544
ACBK1g00528,Alsp-1-000545
ACBK1g00529,Alsp-1-000546
ACBK1g00530,Alsp-1-000547
ACBK1g00531,Alsp-1-000548
ACBK1g00532,Alsp-1-000549
ACBK1g00533,Alsp-1-000550
ACBK1g00534,Alsp-1-000551
ACBK1g00535,.
ACBK1g00536,Alsp-1-000552
ACBK1g00537,Alsp-1-000553
ACBK1g00538,Alsp-1-000554
ACBK1g00539,Alsp-1-000557
ACBK1g00540,Alsp-1-000558
ACBK1g00541,Alsp-1-000559
ACBK1g00542,Alsp-1-000561
ACBK1g00543,Alsp-1-000562
ACBK1g00544,Alsp-1-000563
ACBK1g00545,.
ACBK1g00546,Alsp-1-000567
ACBK1g00547,Alsp-1-000568
ACBK1g00548,Alsp-1-000570
ACBK1g00549,Alsp-1-000571
ACBK1g00550,Alsp-1-000572
ACBK1g00551,Alsp-1-000573
ACBK1g00552,Alsp-1-000574
ACBK1g00553,Alsp-1-000575
ACBK1g00554,.
ACBK1g00555,Alsp-1-000577
ACBK1g00556,Alsp-1-000578
ACBK1g00557,Alsp-1-000579
ACBK1g00558,Alsp-1-000580
ACBK1g00559,Alsp-1-000581
ACBK1g00560,Alsp-1-000582
ACBK1g00561,.
ACBK1g00562,Alsp-1-000583
ACBK1g00563,Alsp-1-000584
ACBK1g00564,Alsp-1-000585
ACBK1g00565,Alsp-1-000586
ACBK1g00566,Alsp-1-000587
ACBK1g00567,Alsp-1-000588
ACBK1g00568,Alsp-1-000589
ACBK1g00569,Alsp-1-000591
ACBK1g00570,Alsp-1-000592
ACBK1g00571,Alsp-1-000593
ACBK1g00572,Alsp-1-000594
ACBK1g00573,Alsp-1-000595
ACBK1g00574,Alsp-1-000596
ACBK1g00575,Alsp-1-000599
ACBK1g00576,Alsp-1-000600
ACBK1g00577,Alsp-1-000602
ACBK1g00578,.
ACBK1g00579,Alsp-1-000603
ACBK1g00580,Alsp-1-000604
ACBK1g00581,Alsp-1-000605
ACBK1g00582,Alsp-1-000607
ACBK1g00583,Alsp-1-000608
ACBK1g00584,Alsp-1-000609
ACBK1g00585,Alsp-1-000610
ACBK1g00586,Alsp-1-000612
ACBK1g00587,Alsp-1-000613
ACBK1g00588,Alsp-1-000614
ACBK1g00589,Alsp-1-000615
ACBK1g00590,Alsp-1-000616
ACBK1g00591,Alsp-1-000618
ACBK1g00592,Alsp-1-000619
ACBK1g00593,Alsp-1-000620
ACBK1g00594,Alsp-1-000621
ACBK1g00595,Alsp-1-000622
ACBK1g00596,Alsp-1-000623
ACBK1g00597,Alsp-1-000624
ACBK1g00598,Alsp-1-000625
ACBK1g00599,Alsp-1-000626
ACBK1g00600,Alsp-1-000627
ACBK1g00601,Alsp-1-000629
ACBK1g00602,Alsp-1-000630
ACBK1g00603,Alsp-1-000632
ACBK1g00604,Alsp-1-000634
ACBK1g00605,Alsp-1-000636
ACBK1g00606,Alsp-1-000637
ACBK1g00607,.
ACBK1g00608,Alsp-1-000638
ACBK1g00609,Alsp-1-000639
ACBK1g00610,Alsp-1-000642
ACBK1g00611,Alsp-1-000645
ACBK1g00612,Alsp-1-000646
ACBK1g00613,Alsp-1-000647
ACBK1g00614,Alsp-1-000648
ACBK1g00615,Alsp-1-000649
ACBK1g00616,Alsp-1-000650
ACBK1g00617,Alsp-1-000651
ACBK1g00618,Alsp-1-000652
ACBK1g00619,Alsp-1-000653
ACBK1g00620,.
ACBK1g00621,Alsp-1-000655
ACBK1g00622,Alsp-1-000656
ACBK1g00623,Alsp-1-000657
ACBK1g00624,Alsp-1-000658
ACBK1g00625,Alsp-1-000659
ACBK1g00626,Alsp-1-000662
ACBK1g00627,Alsp-1-000663
ACBK1g00628,.
ACBK1g00629,Alsp-1-000664
ACBK1g00630,Alsp-1-000666
ACBK1g00631,Alsp-1-000667
ACBK1g00632,Alsp-1-000668
ACBK1g00633,Alsp-1-000669
ACBK1g00634,Alsp-1-000670
ACBK1g00635,Alsp-1-000671
ACBK1g00636,Alsp-1-000672
ACBK1g00637,Alsp-1-000673
ACBK1g00638,Alsp-1-000674
ACBK1g00639,Alsp-1-000675
ACBK1g00640,Alsp-1-000676
ACBK1g00641,Alsp-1-000677
ACBK1g00642,Alsp-1-000678
ACBK1g00643,Alsp-1-000679
ACBK1g00644,Alsp-1-000680
ACBK1g00645,Alsp-1-000681
ACBK1g00646,Alsp-1-000682
ACBK1g00647,Alsp-1-000683
ACBK1g00648,.
ACBK1g00649,Alsp-1-000684
ACBK1g00650,Alsp-1-000685
ACBK1g00651,Alsp-1-000686
ACBK1g00652,Alsp-1-000687
ACBK1g00653,Alsp-1-000689
ACBK1g00654,Alsp-1-000690
ACBK1g00655,Alsp-1-000691
ACBK1g00656,Alsp-1-000692
ACBK1g00657,Alsp-1-000693
ACBK1g00658,.
ACBK1g00659,Alsp-1-000695
ACBK1g00660,Alsp-1-000696
ACBK1g00661,Alsp-1-000697
ACBK1g00662,Alsp-1-000698
ACBK1g00663,Alsp-1-000699
ACBK1g00664,.
ACBK1g00665,Alsp-1-000700
ACBK1g00666,Alsp-1-000701
ACBK1g00667,Alsp-1-000702
ACBK1g00668,Alsp-1-000703
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Alsp-1-000705
ACBK1g00672,Alsp-1-000706
ACBK1g00673,Alsp-1-000707
ACBK1g00674,Alsp-1-000708
ACBK1g00675,Alsp-1-000709
ACBK1g00676,Alsp-1-000710
ACBK1g00677,Alsp-1-000711
ACBK1g00678,.
ACBK1g00679,Alsp-1-000712
ACBK1g00680,Alsp-1-000713
ACBK1g00681,.
ACBK1g00682,Alsp-1-000715
ACBK1g00683,Alsp-1-000716
ACBK1g00684,Alsp-1-000717
ACBK1g00685,Alsp-1-000718
ACBK1g00686,Alsp-1-000719
ACBK1g00687,Alsp-1-000722
ACBK1g00688,Alsp-1-000724
ACBK1g00689,Alsp-1-000726
ACBK1g00690,Alsp-1-000727
ACBK1g00691,Alsp-1-000728
ACBK1g00692,.
ACBK1g00693,Alsp-1-000730
ACBK1g00694,Alsp-1-000732
ACBK1g00695,Alsp-1-000734
ACBK1g00696,Alsp-1-000735
ACBK1g00697,Alsp-1-000737
ACBK1g00698,Alsp-1-000738
ACBK1g00699,Alsp-1-000739
ACBK1g00700,Alsp-1-000740
ACBK1g00701,Alsp-1-000742
ACBK1g00702,Alsp-1-000743
ACBK1g00703,Alsp-1-000744
ACBK1g00704,Alsp-1-000745
ACBK1g00705,.
ACBK1g00706,Alsp-1-000746
ACBK1g00707,Alsp-1-000747
ACBK1g00708,Alsp-1-000748
ACBK1g00709,Alsp-1-000749
ACBK1g00710,Alsp-1-000750
ACBK1g00711,Alsp-1-000751
ACBK1g00712,Alsp-1-000752
ACBK1g00713,Alsp-1-000754
ACBK1g00714,Alsp-1-000755
ACBK1g00715,Alsp-1-000756
ACBK1g00716,Alsp-1-000757
ACBK1g00717,Alsp-1-000759
ACBK1g00718,Alsp-1-000761
ACBK1g00719,Alsp-1-000762
ACBK1g00720,Alsp-1-000763
ACBK1g00721,Alsp-1-000764
ACBK1g00722,Alsp-1-000765
ACBK1g00723,Alsp-1-000767
ACBK1g00724,Alsp-1-000768
ACBK1g00725,Alsp-1-000769
ACBK1g00726,Alsp-1-000770
ACBK1g00727,Alsp-1-000773
ACBK1g00728,Alsp-1-000774
ACBK1g00729,Alsp-1-000776
ACBK1g00730,.
ACBK1g00731,Alsp-1-000778
ACBK1g00732,Alsp-1-000779
ACBK1g00733,Alsp-1-000780
ACBK1g00734,Alsp-1-000781
ACBK1g00735,Alsp-1-000782
ACBK1g00736,Alsp-1-000783
ACBK1g00737,Alsp-1-000784
ACBK1g00738,Alsp-1-000786
ACBK1g00739,Alsp-1-000787
ACBK1g00740,Alsp-1-000788
ACBK1g00741,Alsp-1-000789
ACBK1g00742,Alsp-1-000790
ACBK1g00743,Alsp-1-000791
ACBK1g00744,Alsp-1-000792
ACBK1g00745,Alsp-1-000794
ACBK1g00746,Alsp-1-000795
ACBK1g00747,Alsp-1-000796
ACBK1g00748,Alsp-1-000797
ACBK1g00749,Alsp-1-000798
ACBK1g00750,Alsp-1-000800
ACBK1g00751,Alsp-1-000801
ACBK1g00752,Alsp-1-000802
ACBK1g00753,Alsp-1-000803
ACBK1g00754,Alsp-1-000805
ACBK1g00755,Alsp-1-000806
ACBK1g00756,Alsp-1-000807
ACBK1g00757,Alsp-1-000808
ACBK1g00758,Alsp-1-000809
ACBK1g00759,Alsp-1-000810
ACBK1g00760,Alsp-1-000811
ACBK1g00761,Alsp-1-000812
ACBK1g00762,Alsp-1-000813
ACBK1g00763,Alsp-1-000814
ACBK1g00764,Alsp-1-000815
ACBK1g00765,Alsp-1-000816
ACBK1g00766,Alsp-1-000817
ACBK1g00767,Alsp-1-000818
ACBK1g00768,Alsp-1-000819
ACBK1g00769,Alsp-1-000820
ACBK1g00770,Alsp-1-000821
ACBK1g00771,Alsp-1-000822
