ACBK1g00001,Chivh-1-000008
ACBK1g00134,Chivh-1-000158
ACBK1g00135,.
ACBK1g00136,Chivh-1-000159
ACBK1g00137,.
ACBK1g00138,.
ACBK1g00139,Chivh-1-000162
ACBK1g00140,.
ACBK1g00141,Chivh-1-000163
ACBK1g00142,.
ACBK1g00143,Chivh-1-000165
ACBK1g00144,.
ACBK1g00145,Chivh-1-000167
ACBK1g00146,.
ACBK1g00147,Chivh-1-000169
ACBK1g00148,Chivh-1-000170
ACBK1g00149,Chivh-1-000171
ACBK1g00150,Chivh-1-000172
ACBK1g00151,Chivh-1-000173
ACBK1g00152,.
ACBK1g00153,Chivh-1-000175
ACBK1g00154,Chivh-1-000176
ACBK1g00155,.
ACBK1g00156,Chivh-1-000177
ACBK1g00157,Chivh-1-000178
ACBK1g00158,Chivh-1-000179
ACBK1g00159,Chivh-1-000180
ACBK1g00160,.
ACBK1g00161,.
ACBK1g00162,Chivh-1-000182
ACBK1g00163,Chivh-1-000183
ACBK1g00164,Chivh-1-000184
ACBK1g00165,Chivh-1-000185
ACBK1g00166,.
ACBK1g00167,Chivh-1-000187
ACBK1g00168,Chivh-1-000188
ACBK1g00169,Chivh-1-000190
ACBK1g00170,Chivh-1-000191
ACBK1g00171,Chivh-1-000192
ACBK1g00172,Chivh-1-000193
ACBK1g00173,.
ACBK1g00174,Chivh-1-000195
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,.
ACBK1g00178,Chivh-1-000197
ACBK1g00179,.
ACBK1g00180,Chivh-1-000198
ACBK1g00181,.
ACBK1g00182,Chivh-1-000199
ACBK1g00183,Chivh-1-000200
ACBK1g00184,Chivh-1-000201
ACBK1g00185,Chivh-1-000202
ACBK1g00186,Chivh-1-000203
ACBK1g00187,Chivh-1-000205
ACBK1g00188,Chivh-1-000206
ACBK1g00189,.
ACBK1g00190,Chivh-1-000208
ACBK1g00191,.
ACBK1g00192,Chivh-1-000210
ACBK1g00193,.
ACBK1g00194,.
ACBK1g00195,Chivh-1-000215
ACBK1g00196,.
ACBK1g00197,Chivh-1-000217
ACBK1g00198,Chivh-1-000218
ACBK1g00199,.
ACBK1g00200,Chivh-1-000219
ACBK1g00201,.
ACBK1g00202,Chivh-1-000220
ACBK1g00203,.
ACBK1g00204,Chivh-1-000223
ACBK1g00205,.
ACBK1g00206,Chivh-1-000225
ACBK1g00207,Chivh-1-000226
ACBK1g00208,Chivh-1-000227
ACBK1g00209,Chivh-1-000228
ACBK1g00210,Chivh-1-000229
ACBK1g00211,Chivh-1-000230
ACBK1g00212,Chivh-1-000231
ACBK1g00213,Chivh-1-000232
ACBK1g00214,Chivh-1-000237
ACBK1g00215,Chivh-1-000238
ACBK1g00216,Chivh-1-000239
ACBK1g00217,Chivh-1-000240
ACBK1g00218,Chivh-1-000241
ACBK1g00219,Chivh-1-000242
ACBK1g00220,.
ACBK1g00221,Chivh-1-000244
ACBK1g00222,Chivh-1-000245
ACBK1g00223,Chivh-1-000246
ACBK1g00224,Chivh-1-000248
ACBK1g00225,Chivh-1-000249
ACBK1g00226,Chivh-1-000250
ACBK1g00227,Chivh-1-000251
ACBK1g00228,.
ACBK1g00229,.
ACBK1g00230,.
ACBK1g00231,.
ACBK1g00232,.
ACBK1g00233,Chivh-1-000259
ACBK1g00234,.
ACBK1g00235,Chivh-1-000261
ACBK1g00236,Chivh-1-000262
ACBK1g00237,Chivh-1-000264
ACBK1g00238,Chivh-1-000266
ACBK1g00239,Chivh-1-000267
ACBK1g00240,.
ACBK1g00241,Chivh-1-000269
ACBK1g00242,Chivh-1-000270
ACBK1g00243,Chivh-1-000271
ACBK1g00244,.
ACBK1g00245,.
ACBK1g00246,.
ACBK1g00247,Chivh-1-000272
ACBK1g00248,Chivh-1-000273
ACBK1g00249,Chivh-1-000274
ACBK1g00250,Chivh-1-000275
ACBK1g00251,Chivh-1-000276
ACBK1g00252,Chivh-1-000277
ACBK1g00253,.
ACBK1g00254,Chivh-1-000279
ACBK1g00255,.
ACBK1g00256,Chivh-1-000282
ACBK1g00257,Chivh-1-000283
ACBK1g00258,Chivh-1-000284
ACBK1g00259,Chivh-1-000285
ACBK1g00260,.
ACBK1g00261,Chivh-1-000286
ACBK1g00262,Chivh-1-000287
ACBK1g00263,Chivh-1-000288
ACBK1g00264,Chivh-1-000289
ACBK1g00265,Chivh-1-000290
ACBK1g00266,Chivh-1-000291
ACBK1g00267,Chivh-1-000292
ACBK1g00268,Chivh-1-000293
ACBK1g00269,Chivh-1-000294
ACBK1g00270,Chivh-1-000296
ACBK1g00271,Chivh-1-000297
ACBK1g00272,.
ACBK1g00273,Chivh-1-000300
ACBK1g00274,Chivh-1-000303
ACBK1g00275,Chivh-1-000304
ACBK1g00276,Chivh-1-000305
ACBK1g00277,Chivh-1-000307
ACBK1g00278,.
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Chivh-1-000308
ACBK1g00282,Chivh-1-000309
ACBK1g00283,Chivh-1-000310
ACBK1g00284,Chivh-1-000311
ACBK1g00285,Chivh-1-000312
ACBK1g00286,Chivh-1-000313
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,Chivh-1-000314
ACBK1g00290,Chivh-1-000315
ACBK1g00291,Chivh-1-000316
ACBK1g00292,Chivh-1-000317
ACBK1g00293,Chivh-1-000318
ACBK1g00294,Chivh-1-000319
ACBK1g00295,Chivh-1-000320
ACBK1g00296,Chivh-1-000321
ACBK1g00297,Chivh-1-000322
ACBK1g00298,.
ACBK1g00299,.
ACBK1g00300,Chivh-1-000326
ACBK1g00301,Chivh-1-000327
ACBK1g00302,Chivh-1-000328
ACBK1g00303,.
ACBK1g00304,Chivh-1-000331
ACBK1g00305,.
ACBK1g00306,Chivh-1-000333
ACBK1g00307,.
ACBK1g00308,Chivh-1-000335
ACBK1g00309,Chivh-1-000336
ACBK1g00310,.
ACBK1g00311,Chivh-1-000338
ACBK1g00312,.
ACBK1g00313,Chivh-1-000340
ACBK1g00314,Chivh-1-000341
ACBK1g00315,.
ACBK1g00316,Chivh-1-000343
ACBK1g00317,Chivh-1-000344
ACBK1g00318,.
ACBK1g00319,Chivh-1-000346
ACBK1g00320,Chivh-1-000347
ACBK1g00321,Chivh-1-000348
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,Chivh-1-000350
ACBK1g00327,Chivh-1-000351
ACBK1g00328,Chivh-1-000352
ACBK1g00329,Chivh-1-000353
ACBK1g00330,Chivh-1-000354
ACBK1g00331,.
ACBK1g00332,Chivh-1-000357
ACBK1g00333,Chivh-1-000360
ACBK1g00334,Chivh-1-000361
ACBK1g00335,Chivh-1-000362
ACBK1g00336,Chivh-1-000363
ACBK1g00337,Chivh-1-000364
ACBK1g00338,Chivh-1-000365
ACBK1g00339,Chivh-1-000366
ACBK1g00340,Chivh-1-000367
ACBK1g00341,Chivh-1-000368
ACBK1g00342,Chivh-1-000369
ACBK1g00343,Chivh-1-000370
ACBK1g00344,.
ACBK1g00345,Chivh-1-000373
ACBK1g00346,Chivh-1-000374
ACBK1g00347,Chivh-1-000376
ACBK1g00348,Chivh-1-000377
ACBK1g00349,Chivh-1-000378
ACBK1g00350,Chivh-1-000379
ACBK1g00351,Chivh-1-000380
ACBK1g00352,Chivh-1-000381
ACBK1g00353,Chivh-1-000382
ACBK1g00354,Chivh-1-000384
ACBK1g00355,.
ACBK1g00356,Chivh-1-000385
ACBK1g00357,.
ACBK1g00358,Chivh-1-000386
ACBK1g00359,.
ACBK1g00360,Chivh-1-000387
ACBK1g00361,Chivh-1-000388
ACBK1g00362,Chivh-1-000389
ACBK1g00363,Chivh-1-000390
ACBK1g00364,Chivh-1-000391
ACBK1g00365,Chivh-1-000392
ACBK1g00366,Chivh-1-000393
ACBK1g00367,Chivh-1-000394
ACBK1g00368,Chivh-1-000395
ACBK1g00369,.
ACBK1g00370,.
ACBK1g00371,.
ACBK1g00372,Chivh-1-000398
ACBK1g00373,Chivh-1-000399
ACBK1g00374,.
ACBK1g00375,Chivh-1-000401
ACBK1g00376,Chivh-1-000402
ACBK1g00377,Chivh-1-000404
ACBK1g00378,Chivh-1-000405
ACBK1g00379,.
ACBK1g00380,.
ACBK1g00381,Chivh-1-000408
ACBK1g00382,Chivh-1-000409
ACBK1g00383,.
ACBK1g00384,.
ACBK1g00385,Chivh-1-000413
ACBK1g00386,Chivh-1-000414
ACBK1g00387,.
ACBK1g00388,.
ACBK1g00389,Chivh-1-000417
ACBK1g00390,.
ACBK1g00391,Chivh-1-000419
ACBK1g00392,Chivh-1-000420
ACBK1g00393,.
ACBK1g00394,Chivh-1-000422
ACBK1g00395,.
ACBK1g00396,Chivh-1-000425
ACBK1g00397,Chivh-1-000426
ACBK1g00398,.
ACBK1g00399,Chivh-1-000428
ACBK1g00400,Chivh-1-000429
ACBK1g00401,Chivh-1-000430
ACBK1g00402,Chivh-1-000431
ACBK1g00403,Chivh-1-000432
ACBK1g00404,.
ACBK1g00405,Chivh-1-000435
ACBK1g00406,Chivh-1-000436
ACBK1g00407,Chivh-1-000437
ACBK1g00408,Chivh-1-000438
ACBK1g00409,Chivh-1-000439
ACBK1g00410,Chivh-1-000440
ACBK1g00411,Chivh-1-000441
ACBK1g00412,.
ACBK1g00413,Chivh-1-000443
ACBK1g00414,Chivh-1-000444
ACBK1g00415,Chivh-1-000446
ACBK1g00416,Chivh-1-000449
ACBK1g00417,Chivh-1-000450
ACBK1g00418,.
ACBK1g00419,Chivh-1-000452
ACBK1g00420,Chivh-1-000453
ACBK1g00421,.
ACBK1g00422,.
ACBK1g00423,.
ACBK1g00424,.
ACBK1g00425,Chivh-1-000458
ACBK1g00426,Chivh-1-000459
ACBK1g00427,.
ACBK1g00428,Chivh-1-000460
ACBK1g00429,.
ACBK1g00430,Chivh-1-000461
ACBK1g00431,Chivh-1-000462
ACBK1g00432,Chivh-1-000463
ACBK1g00433,Chivh-1-000464
ACBK1g00434,Chivh-1-000465
ACBK1g00435,Chivh-1-000466
ACBK1g00436,Chivh-1-000467
ACBK1g00437,Chivh-1-000468
ACBK1g00438,.
ACBK1g00439,Chivh-1-000470
ACBK1g00440,.
ACBK1g00441,.
ACBK1g00442,Chivh-1-000471
ACBK1g00443,Chivh-1-000472
ACBK1g00444,Chivh-1-000473
ACBK1g00445,.
ACBK1g00446,Chivh-1-000475
ACBK1g00447,Chivh-1-000476
ACBK1g00448,.
ACBK1g00449,Chivh-1-000478
ACBK1g00450,.
ACBK1g00451,Chivh-1-000479
ACBK1g00452,Chivh-1-000480
ACBK1g00453,.
ACBK1g00454,.
ACBK1g00455,.
ACBK1g00456,Chivh-1-000481
ACBK1g00457,Chivh-1-000482
ACBK1g00458,.
ACBK1g00459,Chivh-1-000485
ACBK1g00460,Chivh-1-000487
ACBK1g00461,Chivh-1-000488
ACBK1g00462,Chivh-1-000490
ACBK1g00463,.
ACBK1g00464,Chivh-1-000492
ACBK1g00465,.
ACBK1g00466,Chivh-1-000494
ACBK1g00467,Chivh-1-000495
ACBK1g00468,Chivh-1-000496
ACBK1g00469,Chivh-1-000497
ACBK1g00470,.
ACBK1g00471,.
ACBK1g00472,.
ACBK1g00473,Chivh-1-000503
ACBK1g00474,.
ACBK1g00475,Chivh-1-000505
ACBK1g00476,Chivh-1-000506
ACBK1g00477,Chivh-1-000507
ACBK1g00478,Chivh-1-000508
ACBK1g00479,.
ACBK1g00480,.
ACBK1g00481,Chivh-1-000510
ACBK1g00482,Chivh-1-000511
ACBK1g00483,Chivh-1-000513
ACBK1g00484,.
ACBK1g00485,Chivh-1-000514
ACBK1g00486,Chivh-1-000515
ACBK1g00487,Chivh-1-000516
ACBK1g00488,.
ACBK1g00489,Chivh-1-000517
ACBK1g00490,Chivh-1-000518
ACBK1g00491,Chivh-1-000519
ACBK1g00492,Chivh-1-000520
ACBK1g00493,.
ACBK1g00494,Chivh-1-000522
ACBK1g00495,Chivh-1-000523
ACBK1g00496,Chivh-1-000524
ACBK1g00497,Chivh-1-000525
ACBK1g00498,Chivh-1-000526
ACBK1g00499,Chivh-1-000527
ACBK1g00500,.
ACBK1g00501,Chivh-1-000529
ACBK1g00502,Chivh-1-000530
ACBK1g00503,Chivh-1-000531
ACBK1g00504,Chivh-1-000532
ACBK1g00505,.
ACBK1g00506,.
ACBK1g00507,.
ACBK1g00508,Chivh-1-000535
ACBK1g00509,Chivh-1-000536
ACBK1g00510,Chivh-1-000537
ACBK1g00511,.
ACBK1g00512,Chivh-1-000539
ACBK1g00513,Chivh-1-000541
ACBK1g00514,Chivh-1-000542
ACBK1g00515,Chivh-1-000544
ACBK1g00516,Chivh-1-000545
ACBK1g00517,.
ACBK1g00518,Chivh-1-000547
ACBK1g00519,Chivh-1-000548
ACBK1g00520,Chivh-1-000549
ACBK1g00521,Chivh-1-000554
ACBK1g00522,Chivh-1-000555
ACBK1g00523,Chivh-1-000556
ACBK1g00524,Chivh-1-000557
ACBK1g00525,Chivh-1-000558
ACBK1g00526,Chivh-1-000559
ACBK1g00527,Chivh-1-000560
ACBK1g00528,Chivh-1-000561
ACBK1g00529,Chivh-1-000562
ACBK1g00530,Chivh-1-000563
ACBK1g00531,.
ACBK1g00532,Chivh-1-000565
ACBK1g00533,Chivh-1-000566
ACBK1g00534,Chivh-1-000567
ACBK1g00535,.
ACBK1g00536,.
ACBK1g00537,.
ACBK1g00538,Chivh-1-000570
ACBK1g00539,Chivh-1-000571
ACBK1g00540,Chivh-1-000572
ACBK1g00541,.
ACBK1g00542,Chivh-1-000574
ACBK1g00543,Chivh-1-000575
ACBK1g00544,Chivh-1-000576
ACBK1g00545,.
ACBK1g00546,Chivh-1-000578
ACBK1g00547,Chivh-1-000579
ACBK1g00548,Chivh-1-000580
ACBK1g00549,.
ACBK1g00550,Chivh-1-000582
ACBK1g00551,Chivh-1-000583
ACBK1g00552,Chivh-1-000584
ACBK1g00553,.
ACBK1g00554,.
ACBK1g00555,Chivh-1-000586
ACBK1g00556,Chivh-1-000587
ACBK1g00557,Chivh-1-000588
ACBK1g00558,Chivh-1-000589
ACBK1g00559,.
ACBK1g00560,Chivh-1-000590
ACBK1g00561,.
ACBK1g00562,Chivh-1-000591
ACBK1g00563,Chivh-1-000592
ACBK1g00564,.
ACBK1g00565,Chivh-1-000593
ACBK1g00566,Chivh-1-000594
ACBK1g00567,Chivh-1-000595
ACBK1g00568,Chivh-1-000596
ACBK1g00569,Chivh-1-000597
ACBK1g00570,Chivh-1-000598
ACBK1g00571,Chivh-1-000599
ACBK1g00572,Chivh-1-000600
ACBK1g00573,Chivh-1-000601
ACBK1g00574,Chivh-1-000606
ACBK1g00575,.
ACBK1g00576,Chivh-1-000608
ACBK1g00577,Chivh-1-000610
ACBK1g00578,.
ACBK1g00579,Chivh-1-000611
ACBK1g00580,Chivh-1-000612
ACBK1g00581,Chivh-1-000613
ACBK1g00582,Chivh-1-000615
ACBK1g00583,Chivh-1-000621
ACBK1g00584,Chivh-1-000622
ACBK1g00585,Chivh-1-000623
ACBK1g00586,Chivh-1-000625
ACBK1g00587,.
ACBK1g00588,Chivh-1-000626
ACBK1g00589,Chivh-1-000628
ACBK1g00590,Chivh-1-000629
ACBK1g00591,.
ACBK1g00592,Chivh-1-000631
ACBK1g00593,Chivh-1-000632
ACBK1g00594,Chivh-1-000633
ACBK1g00595,Chivh-1-000634
ACBK1g00596,Chivh-1-000635
ACBK1g00597,.
ACBK1g00598,Chivh-1-000637
ACBK1g00599,Chivh-1-000638
ACBK1g00600,.
ACBK1g00601,Chivh-1-000640
ACBK1g00602,Chivh-1-000641
ACBK1g00603,Chivh-1-000642
ACBK1g00604,Chivh-1-000644
ACBK1g00605,Chivh-1-000645
ACBK1g00606,Chivh-1-000646
ACBK1g00607,Chivh-1-000647
ACBK1g00608,Chivh-1-000648
ACBK1g00609,.
ACBK1g00610,Chivh-1-000649
ACBK1g00611,Chivh-1-000650
ACBK1g00612,.
ACBK1g00613,.
ACBK1g00614,Chivh-1-000653
ACBK1g00615,Chivh-1-000654
ACBK1g00616,Chivh-1-000655
ACBK1g00617,Chivh-1-000656
ACBK1g00618,Chivh-1-000657
ACBK1g00619,.
ACBK1g00620,.
ACBK1g00621,Chivh-1-000659
ACBK1g00622,Chivh-1-000661
ACBK1g00623,Chivh-1-000662
ACBK1g00624,Chivh-1-000663
ACBK1g00625,Chivh-1-000665
ACBK1g00626,.
ACBK1g00627,Chivh-1-000667
ACBK1g00628,.
ACBK1g00629,Chivh-1-000668
ACBK1g00630,Chivh-1-000670
ACBK1g00631,.
ACBK1g00632,Chivh-1-000671
ACBK1g00633,Chivh-1-000672
ACBK1g00634,Chivh-1-000673
ACBK1g00635,Chivh-1-000674
ACBK1g00636,Chivh-1-000675
ACBK1g00637,Chivh-1-000676
ACBK1g00638,.
ACBK1g00639,Chivh-1-000678
ACBK1g00640,Chivh-1-000679
ACBK1g00641,Chivh-1-000680
ACBK1g00642,Chivh-1-000681
ACBK1g00643,Chivh-1-000682
ACBK1g00644,Chivh-1-000683
ACBK1g00645,.
ACBK1g00646,.
ACBK1g00647,.
ACBK1g00648,Chivh-1-000684
ACBK1g00649,Chivh-1-000685
ACBK1g00650,Chivh-1-000686
ACBK1g00651,Chivh-1-000687
ACBK1g00652,Chivh-1-000689
ACBK1g00653,Chivh-1-000691
ACBK1g00654,.
ACBK1g00655,.
ACBK1g00656,Chivh-1-000693
ACBK1g00657,Chivh-1-000694
ACBK1g00658,.
ACBK1g00659,Chivh-1-000696
ACBK1g00660,Chivh-1-000697
ACBK1g00661,.
ACBK1g00662,Chivh-1-000698
ACBK1g00663,.
ACBK1g00664,Chivh-1-000700
ACBK1g00665,Chivh-1-000702
ACBK1g00666,Chivh-1-000704
ACBK1g00667,Chivh-1-000705
ACBK1g00668,.
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Chivh-1-000707
ACBK1g00672,.
ACBK1g00673,Chivh-1-000709
ACBK1g00674,Chivh-1-000710
ACBK1g00675,Chivh-1-000711
ACBK1g00676,.
ACBK1g00677,Chivh-1-000713
ACBK1g00678,Chivh-1-000714
ACBK1g00679,Chivh-1-000715
ACBK1g00680,.
ACBK1g00681,.
ACBK1g00682,Chivh-1-000720
ACBK1g00683,Chivh-1-000721
ACBK1g00684,Chivh-1-000722
ACBK1g00685,Chivh-1-000723
ACBK1g00686,Chivh-1-000724
ACBK1g00687,Chivh-1-000726
ACBK1g00688,Chivh-1-000727
ACBK1g00689,Chivh-1-000729
ACBK1g00690,.
ACBK1g00691,Chivh-1-000731
ACBK1g00692,.
ACBK1g00693,Chivh-1-000733
ACBK1g00694,Chivh-1-000734
ACBK1g00695,Chivh-1-000736
ACBK1g00696,.
ACBK1g00697,Chivh-1-000739
ACBK1g00698,Chivh-1-000740
ACBK1g00699,Chivh-1-000741
ACBK1g00700,Chivh-1-000742
ACBK1g00701,Chivh-1-000746
ACBK1g00702,Chivh-1-000747
ACBK1g00703,.
ACBK1g00704,Chivh-1-000749
ACBK1g00705,.
ACBK1g00706,Chivh-1-000751
ACBK1g00707,Chivh-1-000752
ACBK1g00708,Chivh-1-000753
ACBK1g00709,Chivh-1-000754
ACBK1g00710,Chivh-1-000755
ACBK1g00711,Chivh-1-000756
ACBK1g00712,.
ACBK1g00713,Chivh-1-000758
ACBK1g00714,Chivh-1-000759
ACBK1g00715,.
ACBK1g00716,.
ACBK1g00717,Chivh-1-000763
ACBK1g00718,Chivh-1-000765
ACBK1g00719,Chivh-1-000766
ACBK1g00720,Chivh-1-000767
ACBK1g00721,Chivh-1-000768
ACBK1g00722,Chivh-1-000769
ACBK1g00723,Chivh-1-000770
ACBK1g00724,.
ACBK1g00725,Chivh-1-000771
ACBK1g00726,Chivh-1-000772
ACBK1g00727,Chivh-1-000773
ACBK1g00728,Chivh-1-000774
ACBK1g00729,Chivh-1-000775
ACBK1g00730,.
ACBK1g00731,Chivh-1-000777
ACBK1g00732,.
ACBK1g00733,.
ACBK1g00734,Chivh-1-000779
ACBK1g00735,Chivh-1-000780
ACBK1g00736,Chivh-1-000781
ACBK1g00737,.
ACBK1g00738,Chivh-1-000784
ACBK1g00739,Chivh-1-000785
ACBK1g00740,Chivh-1-000786
ACBK1g00741,Chivh-1-000787
ACBK1g00742,Chivh-1-000788
ACBK1g00743,Chivh-1-000789
ACBK1g00744,Chivh-1-000790
ACBK1g00745,Chivh-1-000791
ACBK1g00746,Chivh-1-000792
ACBK1g00747,Chivh-1-000793
ACBK1g00748,Chivh-1-000794
ACBK1g00749,.
ACBK1g00750,Chivh-1-000797
ACBK1g00751,.
ACBK1g00752,Chivh-1-000798
ACBK1g00753,.
ACBK1g00754,Chivh-1-000800
ACBK1g00755,Chivh-1-000801
ACBK1g00756,Chivh-1-000802
ACBK1g00757,Chivh-1-000803
ACBK1g00758,Chivh-1-000804
ACBK1g00759,Chivh-1-000805
ACBK1g00760,Chivh-1-000806
ACBK1g00761,Chivh-1-000807
ACBK1g00762,Chivh-1-000808
ACBK1g00763,Chivh-1-000809
ACBK1g00764,Chivh-1-000810
ACBK1g00765,.
ACBK1g00766,.
ACBK1g00767,Chivh-1-000813
ACBK1g00768,Chivh-1-000814
ACBK1g00769,Chivh-1-000815
ACBK1g00770,Chivh-1-000816
ACBK1g00771,Chivh-1-000817
ACBK1g00772,Chivh-1-000818
ACBK1g00773,.
ACBK1g00774,.
ACBK1g00775,Chivh-1-000821
ACBK1g00776,Chivh-1-000822
ACBK1g00777,Chivh-1-000823
ACBK1g00778,Chivh-1-000827
ACBK1g00779,Chivh-1-000828
ACBK1g00780,Chivh-1-000829
ACBK1g00781,.
ACBK1g00782,.
ACBK1g00783,Chivh-1-000832
ACBK1g00784,Chivh-1-000833
ACBK1g00785,.
ACBK1g00786,Chivh-1-000834
ACBK1g00787,Chivh-1-000835
ACBK1g00788,Chivh-1-000836
ACBK1g00789,Chivh-1-000837
ACBK1g00790,.
ACBK1g00791,.
ACBK1g00792,.
ACBK1g00793,Chivh-1-000838
ACBK1g00794,Chivh-1-000839
ACBK1g00795,.
ACBK1g00796,Chivh-1-000841
ACBK1g00797,Chivh-1-000842
ACBK1g00798,.
ACBK1g00799,Chivh-1-000844
ACBK1g00800,Chivh-1-000845
ACBK1g00801,Chivh-1-000846
ACBK1g00802,.
ACBK1g00803,Chivh-1-000850
ACBK1g00804,.
ACBK1g00805,Chivh-1-000852
ACBK1g00806,Chivh-1-000854
ACBK1g00807,.
ACBK1g00808,Chivh-1-000855
ACBK1g00809,Chivh-1-000856
ACBK1g00810,.
ACBK1g00811,Chivh-1-000859
ACBK1g00812,.
ACBK1g00813,Chivh-1-000862
ACBK1g00814,.
ACBK1g00815,Chivh-1-000863
ACBK1g00816,.
ACBK1g00817,Chivh-1-000864
ACBK1g00818,Chivh-1-000865
ACBK1g00819,Chivh-1-000866
ACBK1g00820,.
ACBK1g00821,Chivh-1-000867
ACBK1g00822,.
ACBK1g00823,Chivh-1-000870
ACBK1g00824,Chivh-1-000871
ACBK1g00825,.
ACBK1g00826,.
ACBK1g00827,Chivh-1-000872
ACBK1g00828,Chivh-1-000873
ACBK1g00829,Chivh-1-000874
ACBK1g00830,Chivh-1-000875
ACBK1g00831,.
ACBK1g00832,Chivh-1-000878
ACBK1g00833,Chivh-1-000880
ACBK1g00834,Chivh-1-000882
ACBK1g00835,Chivh-1-000883
ACBK1g00836,Chivh-1-000885
