ACBK1g00001,Crub-1-000001
ACBK1g00096,Crub-1-000096
ACBK1g00097,Crub-1-000097
ACBK1g00098,Crub-1-000098
ACBK1g00099,Crub-1-000099
ACBK1g00100,Crub-1-000100
ACBK1g00101,Crub-1-000101
ACBK1g00102,Crub-1-000102
ACBK1g00103,Crub-1-000103
ACBK1g00104,Crub-1-000104
ACBK1g00105,Crub-1-000105
ACBK1g00106,Crub-1-000106
ACBK1g00107,Crub-1-000107
ACBK1g00108,Crub-1-000108
ACBK1g00109,Crub-1-000109
ACBK1g00110,Crub-1-000110
ACBK1g00111,Crub-1-000111
ACBK1g00112,Crub-1-000112
ACBK1g00113,Crub-1-000113
ACBK1g00114,Crub-1-000114
ACBK1g00115,Crub-1-000115
ACBK1g00116,Crub-1-000116
ACBK1g00117,Crub-1-000117
ACBK1g00118,Crub-1-000118
ACBK1g00119,Crub-1-000119
ACBK1g00120,Crub-1-000120
ACBK1g00121,Crub-1-000121
ACBK1g00122,Crub-1-000122
ACBK1g00123,Crub-1-000123
ACBK1g00124,Crub-1-000124
ACBK1g00125,Crub-1-000125
ACBK1g00126,Crub-1-000126
ACBK1g00127,Crub-1-000127
ACBK1g00128,Crub-1-000128
ACBK1g00129,Crub-1-000129
ACBK1g00130,Crub-1-000130
ACBK1g00131,Crub-1-000131
ACBK1g00132,Crub-1-000132
ACBK1g00133,Crub-1-000133
ACBK1g00134,Crub-1-000134
ACBK1g00135,Crub-1-000135
ACBK1g00136,Crub-1-000136
ACBK1g00137,Crub-1-000137
ACBK1g00138,Crub-1-000138
ACBK1g00139,Crub-1-000139
ACBK1g00140,Crub-1-000140
ACBK1g00141,Crub-1-000141
ACBK1g00142,Crub-1-000142
ACBK1g00143,Crub-1-000143
ACBK1g00144,Crub-1-000144
ACBK1g00145,Crub-1-000145
ACBK1g00146,Crub-1-000146
ACBK1g00147,Crub-1-000147
ACBK1g00148,Crub-1-000148
ACBK1g00149,Crub-1-000149
ACBK1g00150,Crub-1-000150
ACBK1g00151,Crub-1-000151
ACBK1g00152,Crub-1-000152
ACBK1g00153,Crub-1-000153
ACBK1g00154,Crub-1-000154
ACBK1g00155,Crub-1-000155
ACBK1g00156,Crub-1-000156
ACBK1g00157,Crub-1-000157
ACBK1g00158,Crub-1-000158
ACBK1g00159,Crub-1-000159
ACBK1g00160,Crub-1-000160
ACBK1g00161,Crub-1-000161
ACBK1g00162,Crub-1-000162
ACBK1g00163,Crub-1-000163
ACBK1g00164,Crub-1-000164
ACBK1g00165,Crub-1-000165
ACBK1g00166,.
ACBK1g00167,Crub-1-000167
ACBK1g00168,Crub-1-000168
ACBK1g00169,Crub-1-000169
ACBK1g00170,Crub-1-000170
ACBK1g00171,Crub-1-000171
ACBK1g00172,Crub-1-000172
ACBK1g00173,Crub-1-000173
ACBK1g00174,Crub-1-000174
ACBK1g00175,Crub-1-000175
ACBK1g00176,Crub-1-000176
ACBK1g00177,Crub-1-000177
ACBK1g00178,Crub-1-000178
ACBK1g00179,.
ACBK1g00180,Crub-1-000180
ACBK1g00181,Crub-1-000181
ACBK1g00182,Crub-1-000182
ACBK1g00183,Crub-1-000183
ACBK1g00184,Crub-1-000184
ACBK1g00185,Crub-1-000185
ACBK1g00186,Crub-1-000186
ACBK1g00187,Crub-1-000187
ACBK1g00188,Crub-1-000188
ACBK1g00189,Crub-1-000189
ACBK1g00190,Crub-1-000190
ACBK1g00191,Crub-1-000191
ACBK1g00192,Crub-1-000192
ACBK1g00193,Crub-1-000193
ACBK1g00194,Crub-1-000194
ACBK1g00195,Crub-1-000195
ACBK1g00196,Crub-1-000196
ACBK1g00197,Crub-1-000197
ACBK1g00198,Crub-1-000198
ACBK1g00199,Crub-1-000199
ACBK1g00200,Crub-1-000200
ACBK1g00201,Crub-1-000201
ACBK1g00202,Crub-1-000202
ACBK1g00203,Crub-1-000203
ACBK1g00204,Crub-1-000204
ACBK1g00205,Crub-1-000205
ACBK1g00206,Crub-1-000206
ACBK1g00207,Crub-1-000207
ACBK1g00208,Crub-1-000208
ACBK1g00209,Crub-1-000209
ACBK1g00210,Crub-1-000210
ACBK1g00211,Crub-1-000211
ACBK1g00212,Crub-1-000212
ACBK1g00213,Crub-1-000213
ACBK1g00214,Crub-1-000214
ACBK1g00215,Crub-1-000215
ACBK1g00216,Crub-1-000216
ACBK1g00217,Crub-1-000217
ACBK1g00218,Crub-1-000218
ACBK1g00219,Crub-1-000219
ACBK1g00220,Crub-1-000220
ACBK1g00221,Crub-1-000221
ACBK1g00222,Crub-1-000222
ACBK1g00223,Crub-1-000223
ACBK1g00224,Crub-1-000224
ACBK1g00225,Crub-1-000225
ACBK1g00226,Crub-1-000226
ACBK1g00227,Crub-1-000227
ACBK1g00228,Crub-1-000228
ACBK1g00229,Crub-1-000229
ACBK1g00230,Crub-1-000230
ACBK1g00231,Crub-1-000231
ACBK1g00232,Crub-1-000232
ACBK1g00233,Crub-1-000233
ACBK1g00234,Crub-1-000234
ACBK1g00235,Crub-1-000235
ACBK1g00236,Crub-1-000236
ACBK1g00237,Crub-1-000237
ACBK1g00238,Crub-1-000238
ACBK1g00239,Crub-1-000239
ACBK1g00240,Crub-1-000240
ACBK1g00241,Crub-1-000241
ACBK1g00242,Crub-1-000242
ACBK1g00243,Crub-1-000243
ACBK1g00244,Crub-1-000244
ACBK1g00245,Crub-1-000245
ACBK1g00246,Crub-1-000246
ACBK1g00247,Crub-1-000247
ACBK1g00248,Crub-1-000248
ACBK1g00249,Crub-1-000249
ACBK1g00250,Crub-1-000250
ACBK1g00251,Crub-1-000251
ACBK1g00252,Crub-1-000252
ACBK1g00253,Crub-1-000253
ACBK1g00254,Crub-1-000254
ACBK1g00255,Crub-1-000255
ACBK1g00256,Crub-1-000256
ACBK1g00257,Crub-1-000257
ACBK1g00258,Crub-1-000258
ACBK1g00259,Crub-1-000259
ACBK1g00260,Crub-1-000260
ACBK1g00261,Crub-1-000261
ACBK1g00262,Crub-1-000262
ACBK1g00263,Crub-1-000263
ACBK1g00264,Crub-1-000264
ACBK1g00265,Crub-1-000265
ACBK1g00266,Crub-1-000266
ACBK1g00267,Crub-1-000267
ACBK1g00268,Crub-1-000268
ACBK1g00269,Crub-1-000269
ACBK1g00270,Crub-1-000270
ACBK1g00271,Crub-1-000271
ACBK1g00272,Crub-1-000272
ACBK1g00273,Crub-1-000273
ACBK1g00274,Crub-1-000274
ACBK1g00275,Crub-1-000275
ACBK1g00276,Crub-1-000276
ACBK1g00277,Crub-1-000277
ACBK1g00278,Crub-1-000278
ACBK1g00279,Crub-1-000279
ACBK1g00280,Crub-1-000280
ACBK1g00281,Crub-1-000281
ACBK1g00282,Crub-1-000282
ACBK1g00283,Crub-1-000283
ACBK1g00284,Crub-1-000284
ACBK1g00285,Crub-1-000285
ACBK1g00286,Crub-1-000286
ACBK1g00287,Crub-1-000287
ACBK1g00288,.
ACBK1g00289,Crub-1-000289
ACBK1g00290,Crub-1-000290
ACBK1g00291,Crub-1-000291
ACBK1g00292,Crub-1-000292
ACBK1g00293,Crub-1-000293
ACBK1g00294,Crub-1-000294
ACBK1g00295,Crub-1-000295
ACBK1g00296,Crub-1-000296
ACBK1g00297,Crub-1-000297
ACBK1g00298,Crub-1-000298
ACBK1g00299,Crub-1-000299
ACBK1g00300,Crub-1-000300
ACBK1g00301,Crub-1-000301
ACBK1g00302,Crub-1-000302
ACBK1g00303,Crub-1-000303
ACBK1g00304,Crub-1-000304
ACBK1g00305,Crub-1-000305
ACBK1g00306,Crub-1-000306
ACBK1g00307,Crub-1-000307
ACBK1g00308,Crub-1-000308
ACBK1g00309,Crub-1-000309
ACBK1g00310,Crub-1-000310
ACBK1g00311,Crub-1-000311
ACBK1g00312,Crub-1-000312
ACBK1g00313,Crub-1-000313
ACBK1g00314,Crub-1-000314
ACBK1g00315,Crub-1-000315
ACBK1g00316,Crub-1-000316
ACBK1g00317,Crub-1-000317
ACBK1g00318,Crub-1-000318
ACBK1g00319,Crub-1-000319
ACBK1g00320,Crub-1-000320
ACBK1g00321,Crub-1-000321
ACBK1g00322,Crub-1-000322
ACBK1g00323,Crub-1-000323
ACBK1g00324,Crub-1-000324
ACBK1g00325,Crub-1-000325
ACBK1g00326,Crub-1-000326
ACBK1g00327,Crub-1-000327
ACBK1g00328,Crub-1-000328
ACBK1g00329,Crub-1-000329
ACBK1g00330,Crub-1-000330
ACBK1g00331,Crub-1-000331
ACBK1g00332,Crub-1-000332
ACBK1g00333,Crub-1-000333
ACBK1g00334,Crub-1-000334
ACBK1g00335,Crub-1-000335
ACBK1g00336,Crub-1-000336
ACBK1g00337,Crub-1-000337
ACBK1g00338,Crub-1-000338
ACBK1g00339,Crub-1-000339
ACBK1g00340,Crub-1-000340
ACBK1g00341,Crub-1-000341
ACBK1g00342,Crub-1-000342
ACBK1g00343,Crub-1-000343
ACBK1g00344,Crub-1-000344
ACBK1g00345,Crub-1-000345
ACBK1g00346,Crub-1-000346
ACBK1g00347,Crub-1-000347
ACBK1g00348,Crub-1-000348
ACBK1g00349,Crub-1-000349
ACBK1g00350,Crub-1-000350
ACBK1g00351,Crub-1-000351
ACBK1g00352,Crub-1-000352
ACBK1g00353,Crub-1-000353
ACBK1g00354,Crub-1-000354
ACBK1g00355,.
ACBK1g00356,Crub-1-000356
ACBK1g00357,Crub-1-000357
ACBK1g00358,Crub-1-000358
ACBK1g00359,Crub-1-000359
ACBK1g00360,Crub-1-000360
ACBK1g00361,Crub-1-000361
ACBK1g00362,Crub-1-000362
ACBK1g00363,Crub-1-000363
ACBK1g00364,Crub-1-000364
ACBK1g00365,Crub-1-000365
ACBK1g00366,Crub-1-000366
ACBK1g00367,Crub-1-000367
ACBK1g00368,Crub-1-000368
ACBK1g00369,Crub-1-000369
ACBK1g00370,Crub-1-000370
ACBK1g00371,Crub-1-000371
ACBK1g00372,Crub-1-000372
ACBK1g00373,Crub-1-000373
ACBK1g00374,Crub-1-000374
ACBK1g00375,Crub-1-000375
ACBK1g00376,Crub-1-000376
ACBK1g00377,Crub-1-000377
ACBK1g00378,Crub-1-000378
ACBK1g00379,Crub-1-000379
ACBK1g00380,.
ACBK1g00381,Crub-1-000381
ACBK1g00382,Crub-1-000382
ACBK1g00383,Crub-1-000383
ACBK1g00384,Crub-1-000384
ACBK1g00385,Crub-1-000385
ACBK1g00386,Crub-1-000386
ACBK1g00387,Crub-1-000387
ACBK1g00388,Crub-1-000388
ACBK1g00389,Crub-1-000389
ACBK1g00390,Crub-1-000390
ACBK1g00391,Crub-1-000391
ACBK1g00392,Crub-1-000392
ACBK1g00393,.
ACBK1g00394,Crub-1-000394
ACBK1g00395,Crub-1-000395
ACBK1g00396,Crub-1-000396
ACBK1g00397,Crub-1-000397
ACBK1g00398,Crub-1-000398
ACBK1g00399,Crub-1-000399
ACBK1g00400,Crub-1-000400
ACBK1g00401,Crub-1-000401
ACBK1g00402,Crub-1-000402
ACBK1g00403,Crub-1-000403
ACBK1g00404,Crub-1-000404
ACBK1g00405,Crub-1-000405
ACBK1g00406,Crub-1-000406
ACBK1g00407,Crub-1-000407
ACBK1g00408,Crub-1-000408
ACBK1g00409,Crub-1-000409
ACBK1g00410,Crub-1-000410
ACBK1g00411,Crub-1-000411
ACBK1g00412,Crub-1-000412
ACBK1g00413,Crub-1-000413
ACBK1g00414,Crub-1-000414
ACBK1g00415,Crub-1-000415
ACBK1g00416,Crub-1-000416
ACBK1g00417,Crub-1-000417
ACBK1g00418,Crub-1-000418
ACBK1g00419,Crub-1-000419
ACBK1g00420,Crub-1-000420
ACBK1g00421,Crub-1-000421
ACBK1g00422,Crub-1-000422
ACBK1g00423,Crub-1-000423
ACBK1g00424,Crub-1-000424
ACBK1g00425,Crub-1-000425
ACBK1g00426,Crub-1-000426
ACBK1g00427,Crub-1-000427
ACBK1g00428,Crub-1-000428
ACBK1g00429,Crub-1-000429
ACBK1g00430,Crub-1-000430
ACBK1g00431,Crub-1-000431
ACBK1g00432,Crub-1-000432
ACBK1g00433,Crub-1-000433
ACBK1g00434,Crub-1-000434
ACBK1g00435,Crub-1-000435
ACBK1g00436,Crub-1-000436
ACBK1g00437,Crub-1-000437
ACBK1g00438,Crub-1-000438
ACBK1g00439,Crub-1-000439
ACBK1g00440,Crub-1-000440
ACBK1g00441,Crub-1-000441
ACBK1g00442,Crub-1-000442
ACBK1g00443,Crub-1-000443
ACBK1g00444,Crub-1-000444
ACBK1g00445,Crub-1-000445
ACBK1g00446,Crub-1-000446
ACBK1g00447,Crub-1-000447
ACBK1g00448,Crub-1-000448
ACBK1g00449,Crub-1-000449
ACBK1g00450,Crub-1-000450
ACBK1g00451,Crub-1-000451
ACBK1g00452,Crub-1-000452
ACBK1g00453,Crub-1-000453
ACBK1g00454,Crub-1-000454
ACBK1g00455,Crub-1-000455
ACBK1g00456,Crub-1-000456
ACBK1g00457,Crub-1-000457
ACBK1g00458,Crub-1-000458
ACBK1g00459,Crub-1-000459
ACBK1g00460,Crub-1-000460
ACBK1g00461,Crub-1-000461
ACBK1g00462,Crub-1-000462
ACBK1g00463,Crub-1-000463
ACBK1g00464,Crub-1-000464
ACBK1g00465,Crub-1-000465
ACBK1g00466,Crub-1-000466
ACBK1g00467,Crub-1-000467
ACBK1g00468,Crub-1-000468
ACBK1g00469,Crub-1-000469
ACBK1g00470,Crub-1-000470
ACBK1g00471,Crub-1-000471
ACBK1g00472,Crub-1-000472
ACBK1g00473,Crub-1-000473
ACBK1g00474,Crub-1-000474
ACBK1g00475,Crub-1-000475
ACBK1g00476,Crub-1-000476
ACBK1g00477,Crub-1-000477
ACBK1g00478,Crub-1-000478
ACBK1g00479,Crub-1-000479
ACBK1g00480,Crub-1-000480
ACBK1g00481,Crub-1-000481
ACBK1g00482,Crub-1-000482
ACBK1g00483,Crub-1-000483
ACBK1g00484,Crub-1-000484
ACBK1g00485,Crub-1-000485
ACBK1g00486,Crub-1-000486
ACBK1g00487,Crub-1-000487
ACBK1g00488,Crub-1-000488
ACBK1g00489,Crub-1-000489
ACBK1g00490,Crub-1-000490
ACBK1g00491,Crub-1-000491
ACBK1g00492,Crub-1-000492
ACBK1g00493,Crub-1-000493
ACBK1g00494,Crub-1-000494
ACBK1g00495,Crub-1-000495
ACBK1g00496,Crub-1-000496
ACBK1g00497,Crub-1-000497
ACBK1g00498,Crub-1-000498
ACBK1g00499,Crub-1-000499
ACBK1g00500,Crub-1-000500
ACBK1g00501,Crub-1-000501
ACBK1g00502,Crub-1-000502
ACBK1g00503,Crub-1-000503
ACBK1g00504,Crub-1-000504
ACBK1g00505,Crub-1-000505
ACBK1g00506,Crub-1-000506
ACBK1g00507,Crub-1-000507
ACBK1g00508,Crub-1-000508
ACBK1g00509,Crub-1-000509
ACBK1g00510,Crub-1-000510
ACBK1g00511,Crub-1-000511
ACBK1g00512,Crub-1-000512
ACBK1g00513,Crub-1-000513
ACBK1g00514,Crub-1-000514
ACBK1g00515,Crub-1-000515
ACBK1g00516,Crub-1-000516
ACBK1g00517,Crub-1-000517
ACBK1g00518,Crub-1-000518
ACBK1g00519,Crub-1-000519
ACBK1g00520,Crub-1-000520
ACBK1g00521,Crub-1-000521
ACBK1g00522,Crub-1-000522
ACBK1g00523,Crub-1-000523
ACBK1g00524,Crub-1-000524
ACBK1g00525,Crub-1-000525
ACBK1g00526,Crub-1-000526
ACBK1g00527,Crub-1-000527
ACBK1g00528,Crub-1-000528
ACBK1g00529,Crub-1-000529
ACBK1g00530,Crub-1-000530
ACBK1g00531,Crub-1-000531
ACBK1g00532,Crub-1-000532
ACBK1g00533,Crub-1-000533
ACBK1g00534,Crub-1-000534
ACBK1g00535,.
ACBK1g00536,Crub-1-000536
ACBK1g00537,Crub-1-000537
ACBK1g00538,Crub-1-000538
ACBK1g00539,Crub-1-000539
ACBK1g00540,Crub-1-000540
ACBK1g00541,Crub-1-000541
ACBK1g00542,Crub-1-000542
ACBK1g00543,Crub-1-000543
ACBK1g00544,Crub-1-000544
ACBK1g00545,Crub-1-000545
ACBK1g00546,Crub-1-000546
ACBK1g00547,Crub-1-000547
ACBK1g00548,Crub-1-000548
ACBK1g00549,Crub-1-000549
ACBK1g00550,Crub-1-000550
ACBK1g00551,Crub-1-000551
ACBK1g00552,Crub-1-000552
ACBK1g00553,Crub-1-000553
ACBK1g00554,Crub-1-000554
ACBK1g00555,Crub-1-000555
ACBK1g00556,Crub-1-000556
ACBK1g00557,Crub-1-000557
ACBK1g00558,Crub-1-000558
ACBK1g00559,Crub-1-000559
ACBK1g00560,Crub-1-000560
ACBK1g00561,Crub-1-000561
ACBK1g00562,Crub-1-000562
ACBK1g00563,Crub-1-000563
ACBK1g00564,Crub-1-000564
ACBK1g00565,Crub-1-000565
ACBK1g00566,Crub-1-000566
ACBK1g00567,Crub-1-000567
ACBK1g00568,Crub-1-000568
ACBK1g00569,Crub-1-000569
ACBK1g00570,Crub-1-000570
ACBK1g00571,Crub-1-000571
ACBK1g00572,Crub-1-000572
ACBK1g00573,Crub-1-000573
ACBK1g00574,Crub-1-000574
ACBK1g00575,Crub-1-000575
ACBK1g00576,Crub-1-000576
ACBK1g00577,Crub-1-000577
ACBK1g00578,Crub-1-000578
ACBK1g00579,Crub-1-000579
ACBK1g00580,Crub-1-000580
ACBK1g00581,Crub-1-000581
ACBK1g00582,Crub-1-000582
ACBK1g00583,Crub-1-000583
ACBK1g00584,Crub-1-000584
ACBK1g00585,Crub-1-000585
ACBK1g00586,Crub-1-000586
ACBK1g00587,Crub-1-000587
ACBK1g00588,Crub-1-000588
ACBK1g00589,Crub-1-000589
ACBK1g00590,Crub-1-000590
ACBK1g00591,Crub-1-000591
ACBK1g00592,Crub-1-000592
ACBK1g00593,Crub-1-000593
ACBK1g00594,Crub-1-000594
ACBK1g00595,Crub-1-000595
ACBK1g00596,Crub-1-000596
ACBK1g00597,Crub-1-000597
ACBK1g00598,Crub-1-000598
ACBK1g00599,Crub-1-000599
ACBK1g00600,Crub-1-000600
ACBK1g00601,Crub-1-000601
ACBK1g00602,Crub-1-000602
ACBK1g00603,Crub-1-000603
ACBK1g00604,Crub-1-000604
ACBK1g00605,Crub-1-000605
ACBK1g00606,Crub-1-000606
ACBK1g00607,Crub-1-000607
ACBK1g00608,Crub-1-000608
ACBK1g00609,Crub-1-000609
ACBK1g00610,Crub-1-000610
ACBK1g00611,Crub-1-000611
ACBK1g00612,Crub-1-000612
ACBK1g00613,Crub-1-000613
ACBK1g00614,Crub-1-000614
ACBK1g00615,Crub-1-000615
ACBK1g00616,Crub-1-000616
ACBK1g00617,Crub-1-000617
ACBK1g00618,Crub-1-000618
ACBK1g00619,Crub-1-000619
ACBK1g00620,Crub-1-000620
ACBK1g00621,Crub-1-000621
ACBK1g00622,Crub-1-000622
ACBK1g00623,Crub-1-000623
ACBK1g00624,Crub-1-000624
ACBK1g00625,Crub-1-000625
ACBK1g00626,Crub-1-000626
ACBK1g00627,Crub-1-000627
ACBK1g00628,Crub-1-000628
ACBK1g00629,Crub-1-000629
ACBK1g00630,Crub-1-000630
ACBK1g00631,Crub-1-000631
ACBK1g00632,Crub-1-000632
ACBK1g00633,Crub-1-000633
ACBK1g00634,Crub-1-000634
ACBK1g00635,Crub-1-000635
ACBK1g00636,Crub-1-000636
ACBK1g00637,Crub-1-000637
ACBK1g00638,Crub-1-000638
ACBK1g00639,Crub-1-000639
ACBK1g00640,Crub-1-000640
ACBK1g00641,Crub-1-000641
ACBK1g00642,Crub-1-000642
ACBK1g00643,Crub-1-000643
ACBK1g00644,Crub-1-000644
ACBK1g00645,Crub-1-000645
ACBK1g00646,Crub-1-000646
ACBK1g00647,Crub-1-000647
ACBK1g00648,Crub-1-000648
ACBK1g00649,Crub-1-000649
ACBK1g00650,Crub-1-000650
ACBK1g00651,Crub-1-000651
ACBK1g00652,Crub-1-000652
ACBK1g00653,Crub-1-000653
ACBK1g00654,Crub-1-000654
ACBK1g00655,Crub-1-000655
ACBK1g00656,Crub-1-000656
ACBK1g00657,Crub-1-000657
ACBK1g00658,.
ACBK1g00659,Crub-1-000659
ACBK1g00660,Crub-1-000660
ACBK1g00661,Crub-1-000661
ACBK1g00662,Crub-1-000662
ACBK1g00663,Crub-1-000663
ACBK1g00664,Crub-1-000664
ACBK1g00665,Crub-1-000665
ACBK1g00666,Crub-1-000666
ACBK1g00667,Crub-1-000667
ACBK1g00668,Crub-1-000668
ACBK1g00669,.
ACBK1g00670,.
ACBK1g00671,Crub-1-000671
ACBK1g00672,Crub-1-000672
ACBK1g00673,Crub-1-000673
ACBK1g00674,Crub-1-000674
ACBK1g00675,Crub-1-000675
ACBK1g00676,Crub-1-000676
ACBK1g00677,Crub-1-000677
ACBK1g00678,Crub-1-000678
ACBK1g00679,Crub-1-000679
ACBK1g00680,Crub-1-000680
ACBK1g00681,Crub-1-000681
ACBK1g00682,Crub-1-000682
ACBK1g00683,Crub-1-000683
ACBK1g00684,Crub-1-000684
ACBK1g00685,Crub-1-000685
ACBK1g00686,Crub-1-000686
ACBK1g00687,Crub-1-000687
ACBK1g00688,Crub-1-000688
ACBK1g00689,Crub-1-000689
ACBK1g00690,Crub-1-000690
ACBK1g00691,Crub-1-000691
ACBK1g00692,Crub-1-000692
ACBK1g00693,Crub-1-000693
ACBK1g00694,Crub-1-000694
ACBK1g00695,Crub-1-000695
ACBK1g00696,Crub-1-000696
ACBK1g00697,Crub-1-000697
ACBK1g00698,Crub-1-000698
ACBK1g00699,Crub-1-000699
ACBK1g00700,Crub-1-000700
ACBK1g00701,Crub-1-000701
ACBK1g00702,Crub-1-000702
ACBK1g00703,Crub-1-000703
ACBK1g00704,Crub-1-000704
ACBK1g00705,Crub-1-000705
ACBK1g00706,Crub-1-000706
ACBK1g00707,Crub-1-000707
ACBK1g00708,Crub-1-000708
ACBK1g00709,Crub-1-000709
ACBK1g00710,Crub-1-000710
ACBK1g00711,Crub-1-000711
ACBK1g00712,Crub-1-000712
ACBK1g00713,Crub-1-000713
ACBK1g00714,Crub-1-000714
ACBK1g00715,Crub-1-000715
ACBK1g00716,Crub-1-000716
ACBK1g00717,Crub-1-000717
ACBK1g00718,Crub-1-000718
ACBK1g00719,Crub-1-000719
ACBK1g00720,Crub-1-000720
ACBK1g00721,Crub-1-000721
ACBK1g00722,Crub-1-000722
ACBK1g00723,Crub-1-000723
ACBK1g00724,Crub-1-000724
ACBK1g00725,Crub-1-000725
ACBK1g00726,Crub-1-000726
ACBK1g00727,Crub-1-000727
ACBK1g00728,Crub-1-000728
ACBK1g00729,Crub-1-000729
ACBK1g00730,Crub-1-000730
ACBK1g00731,Crub-1-000731
ACBK1g00732,Crub-1-000732
ACBK1g00733,Crub-1-000733
ACBK1g00734,Crub-1-000734
ACBK1g00735,Crub-1-000735
ACBK1g00736,Crub-1-000736
ACBK1g00737,Crub-1-000737
ACBK1g00738,Crub-1-000738
ACBK1g00739,Crub-1-000739
ACBK1g00740,Crub-1-000740
ACBK1g00741,Crub-1-000741
ACBK1g00742,Crub-1-000742
ACBK1g00743,Crub-1-000743
ACBK1g00744,Crub-1-000744
ACBK1g00745,Crub-1-000745
ACBK1g00746,Crub-1-000746
ACBK1g00747,Crub-1-000747
ACBK1g00748,Crub-1-000748
ACBK1g00749,Crub-1-000749
ACBK1g00750,Crub-1-000750
ACBK1g00751,Crub-1-000751
ACBK1g00752,Crub-1-000752
ACBK1g00753,Crub-1-000753
ACBK1g00754,Crub-1-000754
ACBK1g00755,Crub-1-000755
ACBK1g00756,Crub-1-000756
ACBK1g00757,Crub-1-000757
ACBK1g00758,Crub-1-000758
ACBK1g00759,Crub-1-000759
ACBK1g00760,Crub-1-000760
ACBK1g00761,Crub-1-000761
ACBK1g00762,Crub-1-000762
ACBK1g00763,Crub-1-000763
ACBK1g00764,Crub-1-000764
ACBK1g00765,Crub-1-000765
ACBK1g00766,Crub-1-000766
ACBK1g00767,Crub-1-000767
ACBK1g00768,Crub-1-000768
ACBK1g00769,Crub-1-000769
ACBK1g00770,Crub-1-000770
ACBK1g00771,Crub-1-000771
ACBK1g00772,Crub-1-000772
ACBK1g00773,Crub-1-000773
ACBK1g00774,Crub-1-000774
ACBK1g00775,Crub-1-000775
ACBK1g00776,Crub-1-000776
ACBK1g00777,Crub-1-000777
ACBK1g00778,Crub-1-000778
ACBK1g00779,Crub-1-000779
ACBK1g00780,Crub-1-000780
ACBK1g00781,Crub-1-000781
